id,type,public,created_at,actor_id,actor_login,repo_id,repo_name,payload_ref,payload_ref_type,payload_pusher_type,payload_push_id,payload_size,payload_distinct_size,payload_commits,payload_action,payload_pr_number,payload_forkee_full_name,payload_changes,payload_member_id,payload_member_login,payload_member_type,payload_member_site_admin
19456658971,PullRequestEvent,TRUE,2021-12-23 00:02:47.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,,,,,,,,"""closed""",53515,,,,,,
19456660708,PushEvent,TRUE,2021-12-23 00:03:00.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,"""refs/heads/master""",,,8683836992,4,4,"[{""sha"":""51200ff8ddb9c43d3e06f6deb0904d2c5b71f749"",""author"":{""email"":""4c878c1ae364587078acae22009e8542fed717b6@google.com"",""name"":""Skye Wanderman-Milne""},""message"":""[jax] Combine GlobalJitState and ThreadLocalJitState into single JitState\n\nThis avoids duplication when defining new fields. This change also\ncreates standard getters for each field that check if there's\nthread-local state defined and make sure a global value is set when\nappropriate."",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/51200ff8ddb9c43d3e06f6deb0904d2c5b71f749""},{""sha"":""7d71e76c70dbf2a48fa00ac5430a6ee22eccb8c0"",""author"":{""email"":""4c878c1ae364587078acae22009e8542fed717b6@google.com"",""name"":""Skye Wanderman-Milne""},""message"":""Respond to PR comment"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/7d71e76c70dbf2a48fa00ac5430a6ee22eccb8c0""},{""sha"":""7ba73398c54046fa35717c3f989af0219cd67c69"",""author"":{""email"":""4c878c1ae364587078acae22009e8542fed717b6@google.com"",""name"":""Skye Wanderman-Milne""},""message"":""Update jax_jit.pyi"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/7ba73398c54046fa35717c3f989af0219cd67c69""},{""sha"":""ebdbd61a48f8d9e438fd02fa31eb4075b25bd278"",""author"":{""email"":""746aced590a184ef4169166e753f7c211e32e5fc@tensorflow.org"",""name"":""TensorFlower Gardener""},""message"":""Merge pull request #53515 from skye:jitstate\n\nPiperOrigin-RevId: 417898285\nChange-Id: Id6a2c0c48482e1186e46022729f84a858d5bfe1a"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/ebdbd61a48f8d9e438fd02fa31eb4075b25bd278""}]",,,,,,,,
19456703576,PushEvent,TRUE,2021-12-23 00:08:53.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,"""refs/heads/master""",,,8683861208,1,1,"[{""sha"":""d46a028f29530a4029d6a5a5990f75f4e1f790de"",""author"":{""email"":""631d11d9fe908fc8f04b5865032c3043cb48fdfb@google.com"",""name"":""Justin Lebar""},""message"":""Fix crash in hlo_graph_dumper when a computation root is a constant.\n\nPiperOrigin-RevId: 417901320\nChange-Id: I4f7d5f6875911641b2aedbb294a793887a017a2d"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/d46a028f29530a4029d6a5a5990f75f4e1f790de""}]",,,,,,,,
19456802803,PushEvent,TRUE,2021-12-23 00:23:14.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,"""refs/heads/master""",,,8683916121,1,1,"[{""sha"":""c7779e31602f155c1b28a995fdef03a615f28e44"",""author"":{""email"":""7b34e920d25f25a72cc1ba2e79265aef8bbecb12@google.com"",""name"":""Wilsin Gosti""},""message"":""[tf.data] Ramp down `max_parallelism_v2` experiment.\n\nPiperOrigin-RevId: 417904036\nChange-Id: Id87ba26ce23a2559bbeb2c9b23d7667c3947d743"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/c7779e31602f155c1b28a995fdef03a615f28e44""}]",,,,,,,,
19456807561,WatchEvent,TRUE,2021-12-23 00:23:58.000000 UTC,79321771,sentinm,45717250,tensorflow/tensorflow,,,,,,,,"""started""",,,,,,,
19456821281,WatchEvent,TRUE,2021-12-23 00:26:01.000000 UTC,33259827,macrozhang,45717250,tensorflow/tensorflow,,,,,,,,"""started""",,,,,,,
19456926931,PushEvent,TRUE,2021-12-23 00:41:26.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,"""refs/heads/master""",,,8683985522,1,1,"[{""sha"":""4674c9dec79906e3e8650304e03284e2ab94837c"",""author"":{""email"":""23f2b5dd93c922fa4b806faa35ad0644038a966e@google.com"",""name"":""Andrew Audibert""},""message"":""[tf.data service] Qualify compression enum with \""COMPRESSION_\"".\n\nThis makes usage more readable, e.g. DataServiceMetadata.COMPRESSION_OFF is clearer\nthan DataServiceMetadata.OFF.\n\nPiperOrigin-RevId: 417906110\nChange-Id: Id1a355ae53cea477887d52fe8e1b0c66ed7f9f9c"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/4674c9dec79906e3e8650304e03284e2ab94837c""}]",,,,,,,,
19457162266,PullRequestReviewEvent,TRUE,2021-12-23 01:15:39.000000 UTC,38085909,penpornk,45717250,tensorflow/tensorflow,,,,,,,,"""created""",53528,,,,,,
19457165496,PullRequestReviewEvent,TRUE,2021-12-23 01:16:06.000000 UTC,38085909,penpornk,45717250,tensorflow/tensorflow,,,,,,,,"""created""",53528,,,,,,
19457197693,IssueCommentEvent,TRUE,2021-12-23 01:20:50.000000 UTC,14342657,zpcalan,45717250,tensorflow/tensorflow,,,,,,,,"""created""",,,,,,,
19457324287,IssueCommentEvent,TRUE,2021-12-23 01:39:36.000000 UTC,2908505,terryheo,45717250,tensorflow/tensorflow,,,,,,,,"""created""",,,,,,,
19457337733,WatchEvent,TRUE,2021-12-23 01:41:29.000000 UTC,47787767,Indra2108,45717250,tensorflow/tensorflow,,,,,,,,"""started""",,,,,,,
19457350350,PushEvent,TRUE,2021-12-23 01:43:23.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,"""refs/heads/master""",,,8684220002,1,1,"[{""sha"":""6dad3c127cfc7aaca29dfd0a3eb60e911690d72c"",""author"":{""email"":""75345afb35f4286b9ab669066511068625741ef4@google.com"",""name"":""Isha Arkatkar""},""message"":""Fix flakiness in rpc_ops_test due to delay in server start, which resulted in getting Unavailable error instead of Deadline_exceeded error occasionally.\n\nAlso removed the deadline exceeded error check for client created with list_methods=true. Since sometimes the request succeeded instead of getting error.\n\nPiperOrigin-RevId: 417914184\nChange-Id: If6e22717db13eaf764e097a8254d932edea0592b"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/6dad3c127cfc7aaca29dfd0a3eb60e911690d72c""}]",,,,,,,,
19457350576,IssueCommentEvent,TRUE,2021-12-23 01:43:25.000000 UTC,49494444,BrownGenius,45717250,tensorflow/tensorflow,,,,,,,,"""created""",,,,,,,
19457387084,PushEvent,TRUE,2021-12-23 01:48:50.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,"""refs/heads/master""",,,8684240734,1,1,"[{""sha"":""bb19a4727625bb42da3040c70954654529a5b901"",""author"":{""email"":""65d81eb4203ec9a5a8b298abc5184127125bc9fe@google.com"",""name"":""Scott Zhu""},""message"":""Change the keras version used by tf for upcoming 2.8 release.\n\nThe Keras 2.8.0rc0 is released at https://pypi.org/project/keras/2.8.0rc0/.\n\nThis change will be cherrypicked to tensorflow r2.8 branch.\n\nPiperOrigin-RevId: 417914213\nChange-Id: I73918b64dc0a92507b81e885157253aeb40a86d5"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/bb19a4727625bb42da3040c70954654529a5b901""}]",,,,,,,,
19457392285,WatchEvent,TRUE,2021-12-23 01:49:36.000000 UTC,83273138,mattshroom,45717250,tensorflow/tensorflow,,,,,,,,"""started""",,,,,,,
19457445735,PushEvent,TRUE,2021-12-23 01:57:17.000000 UTC,56741989,copybara-service[bot],45717250,tensorflow/tensorflow,"""refs/heads/master""",,,8684273426,1,1,"[{""sha"":""f7e3c250eacbc7031df5994febdb83f4e92c6b69"",""author"":{""email"":""b1c859b0203793580f6fafdc9e88d8c10428cc59@google.com"",""name"":""Yang Chen""},""message"":""[tf.data service] Initialize DataServiceDataset before inserting map.\n\nWithout this fix, it keeps printing\n[dataset.cc:580] FAILED_PRECONDITION: Cannot compute input sources for\ndataset of type ParallelMapDatasetV2, because sources could not be\ncomputed for input dataset of type DataServiceDatasetV3.\n\nPiperOrigin-RevId: 417915235\nChange-Id: I361fa7f5b8da4c722b5b087536d8766c85d19f46"",""distinct"":true,""url"":""https://api.github.com/repos/tensorflow/tensorflow/commits/f7e3c250eacbc7031df5994febdb83f4e92c6b69""}]",,,,,,,,
