CaseID,StartTimestamp,Activity,People
3164,2021-01-27 00:56:21,OpenPR,12Me21
3164,2021-01-27 01:00:18,ClosePR,12Me21
3177,2021-01-06 13:56:53,ForkRepository,hifoolno
3177,2021-02-02 08:10:30,CreateBranch,hifoolno
3177,2021-02-03 20:31:45,ClosePR,urban-warrior
4103,2021-08-22 13:27:13,ForkRepository,indlin
4103,2021-08-23 07:51:47,CreateBranch,indlin
4103,2021-08-23 08:08:07,OpenPR,indlin
4103,2021-10-03 14:36:43,ClosePR,dlemstra
4270,2021-09-23 23:53:43,ForkRepository,mrbesen
4270,2021-09-24 11:01:07,CreateBranch,mrbesen
4270,2021-09-24 11:04:55,OpenPR,mrbesen
4270,2021-09-24 19:44:10,ClosePR,urban-warrior
4401,2021-10-22 03:46:55,SubmitCommit,infinnie
4623,2021-11-22 20:10:24,CreateBranch,dooman87
4623,2021-11-25 20:48:15,SubmitCommit,dooman87
4623,2021-11-28 21:30:33,SubmitCommit,dooman87
4623,2021-11-29 20:49:22,SubmitCommit,dooman87
4623,2021-12-12 18:56:12,SubmitCommit,dooman87
4623,2021-12-21 18:58:55,SubmitCommit,dooman87
4748,2022-01-24 07:21:40,CreateBranch,remicollet
4748,2022-01-24 07:23:38,SubmitCommit,remicollet
4748,2022-01-24 07:21:50,OpenPR,remicollet
4748,2022-01-24 07:25:09,ClosePR,dlemstra
5176,2022-05-29 00:58:04,ForkRepository,turrisxyz
5176,2022-05-29 00:58:44,CreateBranch,nathannaveen
5176,2022-05-29 00:58:54,OpenPR,nathannaveen
