CaseID,StartTimestamp,Activity,People
3064,2021-01-02 20:31:46,CreateBranch,reaperhulk
3064,2021-01-02 20:32:45,OpenPR,reaperhulk
3064,2021-01-02 21:06:23,MergePR,urban-warrior
3083,2021-01-06 13:56:53,ForkRepository,hifoolno
3083,2021-01-06 15:39:58,SubmitCommit,hifoolno
3083,2021-01-06 15:42:45,OpenPR,hifoolno
3083,2021-01-06 23:15:14,MergePR,urban-warrior
3087,2021-01-06 13:56:53,ForkRepository,hifoolno
3087,2021-01-07 02:48:34,CreateBranch,hifoolno
3087,2021-01-07 02:50:45,SubmitCommit,hifoolno
3087,2021-01-07 02:53:46,OpenPR,hifoolno
3087,2021-01-08 18:20:09,MergePR,urban-warrior
3116,2021-01-06 02:53:10,CreateBranch,dooman87
3116,2021-01-07 21:59:48,SubmitCommit,dooman87
3116,2021-01-12 21:43:53,SubmitCommit,dooman87
3116,2021-01-12 21:50:32,SubmitCommit,dooman87
3116,2021-01-12 22:00:44,SubmitCommit,dooman87
3116,2021-01-12 21:48:00,OpenPR,dooman87
3116,2021-01-12 23:47:08,MergePR,urban-warrior
3134,2021-01-18 16:42:22,ForkRepository,g0483hqg3
3134,2021-01-18 16:43:54,SubmitCommit,g0483hqg3
3134,2021-01-18 16:44:58,SubmitCommit,g0483hqg3
3134,2021-01-18 16:53:21,OpenPR,g0483hqg3
3134,2021-01-18 17:27:47,MergePR,dlemstra
3178,2021-01-06 13:56:53,ForkRepository,hifoolno
3178,2021-02-02 12:00:50,CreateBranch,hifoolno
3178,2021-02-02 12:01:08,OpenPR,hifoolno
3178,2021-02-03 20:24:12,MergePR,urban-warrior
3192,2021-01-06 13:56:53,ForkRepository,hifoolno
3192,2021-02-03 03:36:53,CreateBranch,hifoolno
3192,2021-02-03 03:37:39,OpenPR,hifoolno
3192,2021-02-03 20:22:59,MergePR,urban-warrior
3193,2021-01-06 13:56:53,ForkRepository,hifoolno
3193,2021-02-03 07:00:54,CreateBranch,hifoolno
3193,2021-02-03 07:05:22,SubmitCommit,hifoolno
3193,2021-02-03 07:17:52,OpenPR,hifoolno
3193,2021-02-03 20:20:36,MergePR,urban-warrior
3194,2021-01-06 13:56:53,ForkRepository,hifoolno
3194,2021-02-03 08:04:11,CreateBranch,hifoolno
3194,2021-02-03 08:07:06,OpenPR,hifoolno
3194,2021-02-03 20:19:09,MergePR,urban-warrior
3306,2021-02-26 07:30:11,CreateBranch,pfusik
3306,2021-02-26 07:32:06,OpenPR,pfusik
3306,2021-02-26 10:14:19,PRReviewApprove,dlemstra
3306,2021-02-26 10:14:32,MergePR,dlemstra
3380,2021-03-08 23:15:10,ForkRepository,njdoyle
3380,2021-03-08 23:24:30,CreateBranch,njdoyle
3380,2021-03-12 14:17:05,DeleteBranch,njdoyle
3380,2021-03-11 21:26:45,SubmitCommit,njdoyle
3380,2021-03-08 23:26:50,OpenPR,njdoyle
3380,2021-03-12 12:10:29,PRReviewApprove,dlemstra
3380,2021-03-12 12:10:34,MergePR,dlemstra
3430,2021-03-22 17:56:19,ForkRepository,tomplus
3430,2021-03-22 19:39:14,SubmitCommit,tomplus
3430,2021-03-22 19:44:29,SubmitCommit,tomplus
3430,2021-03-22 19:10:40,OpenPR,tomplus
3430,2021-03-22 20:19:10,MergePR,dlemstra
3548,2021-04-14 14:10:29,CreateBranch,dooman87
3548,2021-04-14 14:13:26,SubmitCommit,dooman87
3548,2021-04-14 14:16:34,OpenPR,dooman87
3548,2021-04-14 14:49:36,MergePR,dlemstra
3566,2021-04-20 14:00:01,MergePR,urban-warrior
3809,2021-06-10 02:23:30,ForkRepository,diego-choi
3809,2021-06-10 02:45:38,CreateBranch,diego-choi
3809,2021-06-10 02:55:12,OpenPR,diego-choi
3809,2021-06-10 16:46:42,MergePR,dlemstra
3858,2021-06-23 14:42:24,CreateBranch,remicollet
3858,2021-06-23 14:42:57,OpenPR,remicollet
3858,2021-06-23 14:45:14,PRReviewComment,remicollet
3858,2021-06-23 14:45:13,PRReviewComment,remicollet
3858,2021-06-24 19:00:14,MergePR,dlemstra
4041,2021-08-05 07:14:23,ForkRepository,xiaoxiaoafeifei
4041,2021-08-05 08:46:11,SubmitCommit,xiaoxiaoafeifei
4041,2021-08-05 11:27:48,OpenPR,xiaoxiaoafeifei
4041,2021-08-07 16:39:45,MergePR,urban-warrior
4073,2021-08-14 04:57:34,ForkRepository,sampatbadhe
4073,2021-08-14 05:18:14,SubmitCommit,sampatbadhe
4073,2021-08-14 05:20:59,OpenPR,sampatbadhe
4073,2021-08-14 08:08:59,MergePR,dlemstra
4080,2021-08-05 07:14:23,ForkRepository,xiaoxiaoafeifei
4080,2021-08-05 08:46:11,SubmitCommit,xiaoxiaoafeifei
4080,2021-08-16 08:15:21,SubmitCommit,xiaoxiaoafeifei
4080,2021-08-16 12:12:53,SubmitCommit,xiaoxiaoafeifei
4080,2021-08-16 12:25:20,OpenPR,xiaoxiaoafeifei
4080,2021-08-17 06:07:59,MergePR,dlemstra
4091,2021-08-18 13:28:31,ForkRepository,jkaving
4091,2021-08-18 13:30:54,CreateBranch,jkaving
4091,2021-08-18 13:49:30,DeleteBranch,jkaving
4091,2021-08-18 13:33:40,SubmitCommit,jkaving
4091,2021-08-18 13:36:03,OpenPR,jkaving
4091,2021-08-18 13:47:39,MergePR,dlemstra
4092,2021-08-18 13:28:31,ForkRepository,jkaving
4092,2021-08-18 13:37:50,CreateBranch,jkaving
4092,2021-08-18 13:44:45,SubmitCommit,jkaving
4092,2021-08-18 13:48:35,OpenPR,jkaving
4092,2021-08-18 20:57:12,MergePR,dlemstra
4098,2021-08-05 07:14:23,ForkRepository,xiaoxiaoafeifei
4098,2021-08-05 08:46:11,SubmitCommit,xiaoxiaoafeifei
4098,2021-08-16 08:15:21,SubmitCommit,xiaoxiaoafeifei
4098,2021-08-16 12:12:53,SubmitCommit,xiaoxiaoafeifei
4098,2021-08-21 06:20:47,SubmitCommit,xiaoxiaoafeifei
4098,2021-08-21 08:01:05,SubmitCommit,xiaoxiaoafeifei
4098,2021-08-21 08:18:07,OpenPR,xiaoxiaoafeifei
4098,2021-08-21 11:34:44,MergePR,dlemstra
4186,2021-09-11 21:03:18,ForkRepository,atlesn
4186,2021-09-11 21:24:58,SubmitCommit,atlesn
4186,2021-09-11 21:28:19,OpenPR,atlesn
4186,2021-09-12 10:31:33,MergePR,dlemstra
4221,2021-09-14 08:43:26,ForkRepository,SubhadeepG
4221,2021-09-14 09:31:25,SubmitCommit,SubhadeepG
4221,2021-09-14 09:39:19,OpenPR,SubhadeepG
4221,2021-09-14 10:59:41,MergePR,dlemstra
4428,2021-10-30 15:26:27,CreateBranch,Danack
4428,2021-10-30 15:25:41,SubmitCommit,Danack
4428,2021-10-30 15:29:26,OpenPR,Danack
4428,2021-10-30 16:54:21,PRReviewComment,dlemstra
4428,2021-10-30 16:54:29,PRReviewApprove,dlemstra
4428,2021-10-30 16:54:36,MergePR,dlemstra
4430,2021-10-31 21:31:36,CreateBranch,Danack
4430,2021-10-31 21:35:26,OpenPR,Danack
4430,2021-11-17 01:03:01,MergePR,urban-warrior
4431,2021-10-31 17:23:46,CreateBranch,Danack
4431,2021-10-31 21:31:46,SubmitCommit,Danack
4431,2021-10-31 21:36:36,OpenPR,Danack
4431,2021-10-31 22:32:08,MergePR,urban-warrior
4531,2021-11-02 15:13:59,CreateBranch,Danack
4531,2021-12-01 20:37:36,OpenPR,Danack
4531,2021-12-07 21:41:00,MergePR,dlemstra
4653,2022-01-03 01:15:11,ForkRepository,jmaselbas
4653,2022-01-03 01:16:45,CreateBranch,jmaselbas
