CaseID,StartTimestamp,Activity,People
1939,2021-01-28 08:12:53,ForkRepository,hudeqiWH
1939,2021-01-28 09:31:45,SubmitCommit,hudeqiWH
1939,2021-01-28 09:38:47,OpenPR,hudeqiWH
1939,2021-03-17 01:35:07,ClosePR,hudeqiWH
1940,2021-03-15 07:51:05,ForkRepository,zavorka
1940,2021-03-15 08:17:31,CreateBranch,zavorka
1940,2021-03-15 08:18:05,OpenPR,zavorka
1940,2021-03-15 11:34:51,ClosePR,zavorka
1979,2021-10-15 06:25:04,OpenPR,UEFICharlesZhang
1981,2021-11-02 15:54:00,ForkRepository,BruceFangShengzhou
1981,2021-11-02 15:57:45,CreateBranch,BruceFangShengzhou
1981,2021-11-03 01:31:30,ClosePR,BruceFangShengzhou
1982,2021-11-28 09:21:00,ForkRepository,jg1uaa
1982,2021-11-28 09:51:26,OpenPR,jg1uaa
1983,2021-12-01 10:22:29,ForkRepository,Linatsea
1983,2021-12-01 10:23:29,OpenPR,tbultel
1984,2022-01-19 10:12:16,ForkRepository,Herrie82
1984,2022-01-19 10:13:18,SubmitCommit,Herrie82
1984,2022-01-19 10:13:26,OpenPR,Herrie82
1984,2022-01-19 10:49:12,ClosePR,Herrie82
