CaseID,StartTimestamp,Activity,People
1942,2021-06-10 09:15:46,CreateBranch,dependabot[bot]
1942,2021-06-16 12:50:25,DeleteBranch,dependabot[bot]
1942,2021-06-10 09:15:56,OpenPR,dependabot[bot]
1942,2021-06-16 12:50:24,ClosePR,dependabot[bot]
1943,2021-08-13 01:17:44,CreateBranch,dependabot[bot]
1943,2021-08-16 02:19:30,DeleteBranch,dependabot[bot]
1943,2021-08-13 01:17:54,OpenPR,dependabot[bot]
1943,2021-08-16 02:19:30,ClosePR,dependabot[bot]
1985,2022-05-16 16:40:33,CreateBranch,dependabot[bot]
1985,2022-05-20 02:41:43,DeleteBranch,dependabot[bot]
1985,2022-05-20 02:41:42,ClosePR,dependabot[bot]
