CaseID,StartTimestamp,Activity,People
7104,2021-01-15 15:50:20,DeleteBranch,chickenlj
7104,2021-01-07 09:36:02,SubmitCommit,chickenlj
7104,2021-01-15 09:41:09,SubmitCommit,chickenlj
7104,2021-01-15 15:43:22,SubmitCommit,chickenlj
7104,2021-01-15 15:47:59,OpenPR,chickenlj
7104,2021-01-15 15:48:29,MergePR,chickenlj
7308,2021-03-03 06:41:23,CreateBranch,chickenlj
7308,2021-03-04 06:18:06,DeleteBranch,chickenlj
7308,2021-03-03 06:41:33,OpenPR,chickenlj
7308,2021-03-03 07:51:53,PRReviewApprove,AlbumenJ
7308,2021-03-03 08:08:02,MergePR,chickenlj
7387,2021-03-16 15:18:25,CreateBranch,chickenlj
7387,2021-03-16 15:18:51,DeleteBranch,chickenlj
7387,2021-03-16 15:18:31,OpenPR,chickenlj
7387,2021-03-16 15:18:44,MergePR,chickenlj
7532,2021-04-11 09:48:09,CreateBranch,AlbumenJ
7532,2021-04-11 09:48:37,DeleteBranch,AlbumenJ
7532,2021-04-11 09:48:15,OpenPR,AlbumenJ
7532,2021-04-11 09:48:27,MergePR,AlbumenJ
7561,2021-04-15 08:56:45,CreateBranch,AlbumenJ
7561,2021-04-15 08:57:11,DeleteBranch,AlbumenJ
7561,2021-04-15 08:56:51,OpenPR,AlbumenJ
7561,2021-04-15 08:57:07,MergePR,AlbumenJ
7569,2021-04-16 03:51:47,CreateBranch,AlbumenJ
7569,2021-04-16 03:53:20,DeleteBranch,AlbumenJ
7569,2021-04-16 03:53:02,OpenPR,AlbumenJ
7569,2021-04-16 03:53:14,MergePR,AlbumenJ
7927,2021-05-26 14:47:22,CreateBranch,AlbumenJ
7927,2021-05-26 15:42:13,SubmitCommit,AlbumenJ
7927,2021-05-27 07:53:46,SubmitCommit,AlbumenJ
7927,2021-05-28 09:51:02,SubmitCommit,AlbumenJ
7927,2021-05-31 02:00:11,OpenPR,AlbumenJ
7927,2021-06-01 06:14:14,PRReviewApprove,chickenlj
7927,2021-06-01 06:14:36,MergePR,chickenlj
8577,2021-08-23 07:43:11,CreateBranch,chickenlj
8577,2021-08-23 07:43:32,DeleteBranch,chickenlj
8577,2021-08-23 07:43:21,OpenPR,chickenlj
8577,2021-08-23 07:43:27,MergePR,chickenlj
8662,2021-08-19 12:31:57,CreateBranch,kylixs
8662,2021-09-02 09:54:35,DeleteBranch,AlbumenJ
8662,2021-08-20 07:38:34,SubmitCommit,kylixs
8662,2021-08-20 19:04:46,SubmitCommit,kylixs
8662,2021-08-24 03:12:37,SubmitCommit,kylixs
8662,2021-08-28 15:00:20,SubmitCommit,AlbumenJ
8662,2021-08-28 15:09:47,SubmitCommit,AlbumenJ
8662,2021-08-28 15:33:10,SubmitCommit,AlbumenJ
8662,2021-08-28 15:55:06,SubmitCommit,AlbumenJ
8662,2021-08-29 01:20:23,SubmitCommit,AlbumenJ
8662,2021-08-29 01:59:23,SubmitCommit,AlbumenJ
8662,2021-08-29 02:13:49,SubmitCommit,AlbumenJ
8662,2021-08-29 02:45:13,SubmitCommit,AlbumenJ
8662,2021-08-29 03:07:30,SubmitCommit,AlbumenJ
8662,2021-08-29 03:54:23,SubmitCommit,AlbumenJ
8662,2021-08-29 04:03:59,SubmitCommit,AlbumenJ
8662,2021-08-29 04:54:20,SubmitCommit,AlbumenJ
8662,2021-08-29 07:50:06,SubmitCommit,AlbumenJ
8662,2021-08-29 08:39:50,SubmitCommit,AlbumenJ
8662,2021-08-29 08:42:34,SubmitCommit,AlbumenJ
8662,2021-08-29 08:50:39,SubmitCommit,AlbumenJ
8662,2021-08-29 10:15:05,SubmitCommit,AlbumenJ
8662,2021-08-29 10:32:54,SubmitCommit,AlbumenJ
8662,2021-08-29 10:43:36,SubmitCommit,AlbumenJ
8662,2021-08-29 11:32:57,SubmitCommit,AlbumenJ
8662,2021-08-29 13:24:39,SubmitCommit,AlbumenJ
8662,2021-08-29 14:06:07,SubmitCommit,AlbumenJ
8662,2021-08-29 15:20:48,SubmitCommit,AlbumenJ
8662,2021-08-29 15:46:18,SubmitCommit,AlbumenJ
8662,2021-08-31 01:58:03,SubmitCommit,AlbumenJ
8662,2021-08-31 02:25:18,SubmitCommit,AlbumenJ
8662,2021-08-31 03:23:50,SubmitCommit,kylixs
8662,2021-08-31 03:47:43,SubmitCommit,kylixs
8662,2021-08-31 07:36:11,SubmitCommit,kylixs
8662,2021-08-31 09:20:21,SubmitCommit,AlbumenJ
8662,2021-08-31 12:09:33,SubmitCommit,AlbumenJ
8662,2021-08-31 17:09:02,SubmitCommit,AlbumenJ
8662,2021-09-02 09:54:21,MergePR,AlbumenJ
8938,2021-09-18 03:46:57,CreateBranch,CrazyHZM
8938,2021-09-27 12:44:31,DeleteBranch,CrazyHZM
8938,2021-09-18 16:17:26,SubmitCommit,CrazyHZM
8938,2021-09-27 12:17:13,OpenPR,CrazyHZM
8938,2021-09-27 12:43:25,MergePR,CrazyHZM
9103,2021-12-09 07:43:24,DeleteBranch,chickenlj
9506,2021-11-04 14:27:55,CreateBranch,chickenlj
9506,2022-01-17 02:02:42,DeleteBranch,chickenlj
9506,2021-11-04 14:32:19,SubmitCommit,chickenlj
9506,2021-11-04 14:33:32,SubmitCommit,chickenlj
9506,2021-11-05 04:09:58,SubmitCommit,chickenlj
9506,2021-11-08 06:48:21,SubmitCommit,chickenlj
9506,2021-11-23 03:12:05,SubmitCommit,chickenlj
9506,2021-11-23 06:24:49,SubmitCommit,chickenlj
9506,2021-11-25 07:29:18,SubmitCommit,chickenlj
9506,2021-12-03 01:27:02,SubmitCommit,chickenlj
9506,2021-12-03 02:43:33,SubmitCommit,chickenlj
9506,2021-12-03 07:20:04,SubmitCommit,chickenlj
9506,2021-12-06 06:28:05,SubmitCommit,chickenlj
9506,2021-12-07 04:18:38,SubmitCommit,chickenlj
9506,2021-12-07 06:44:54,SubmitCommit,chickenlj
9506,2021-12-07 07:56:12,SubmitCommit,chickenlj
9506,2021-12-08 01:36:37,SubmitCommit,chickenlj
9506,2021-12-08 03:15:17,SubmitCommit,chickenlj
9506,2021-12-08 04:07:51,SubmitCommit,chickenlj
9506,2021-12-09 08:27:38,SubmitCommit,chickenlj
9506,2021-12-11 10:45:57,SubmitCommit,chickenlj
9506,2021-12-13 07:38:14,SubmitCommit,chickenlj
9506,2021-12-13 07:41:50,SubmitCommit,chickenlj
9506,2021-12-16 08:19:58,SubmitCommit,chickenlj
9506,2021-12-16 14:39:31,SubmitCommit,chickenlj
9506,2021-12-17 01:25:02,SubmitCommit,chickenlj
9506,2021-12-27 06:23:08,SubmitCommit,chickenlj
9506,2021-12-27 08:50:55,SubmitCommit,chickenlj
9506,2021-12-28 05:47:23,SubmitCommit,chickenlj
9506,2021-12-28 05:49:45,SubmitCommit,chickenlj
9506,2021-12-28 05:50:16,OpenPR,chickenlj
9506,2021-12-29 02:56:06,MergePR,chickenlj
9727,2022-02-28 04:11:36,CreateBranch,chickenlj
9727,2022-02-28 04:11:58,DeleteBranch,chickenlj
9727,2022-02-28 04:11:47,OpenPR,chickenlj
9727,2022-02-28 04:11:53,MergePR,chickenlj
9743,2022-02-25 07:51:20,CreateBranch,chickenlj
9743,2022-03-07 07:28:43,DeleteBranch,chickenlj
9743,2022-02-25 07:54:10,SubmitCommit,chickenlj
9743,2022-02-28 11:15:13,SubmitCommit,CrazyHZM
9743,2022-03-07 07:27:14,SubmitCommit,chickenlj
9743,2022-03-07 07:27:31,OpenPR,chickenlj
9743,2022-03-07 07:28:39,MergePR,chickenlj
9788,2022-03-15 13:00:58,CreateBranch,chickenlj
9788,2022-03-15 13:01:16,DeleteBranch,chickenlj
9788,2022-03-15 13:01:04,OpenPR,chickenlj
9788,2022-03-15 13:01:12,MergePR,chickenlj
9845,2022-03-28 03:45:33,CreateBranch,chickenlj
9845,2022-03-28 03:46:24,DeleteBranch,chickenlj
9845,2022-03-28 03:46:12,OpenPR,chickenlj
9845,2022-03-28 03:46:20,MergePR,chickenlj
9874,2022-03-28 01:42:20,CreateBranch,chickenlj
9874,2022-04-01 12:11:27,DeleteBranch,chickenlj
9874,2022-03-28 01:43:25,SubmitCommit,chickenlj
9874,2022-03-28 03:46:22,SubmitCommit,chickenlj
9874,2022-04-01 12:08:59,SubmitCommit,chickenlj
