CaseID,StartTimestamp,Activity,People
1673,2021-01-06 21:48:23,SubmitCommit,Jamaika1
1673,2021-01-07 06:41:34,SubmitCommit,Jamaika1
1673,2021-01-07 08:58:40,SubmitCommit,Jamaika1
1673,2021-01-07 09:23:36,SubmitCommit,Jamaika1
1673,2021-01-06 21:48:36,OpenPR,Jamaika1
1673,2021-01-07 09:26:36,ClosePR,jeanlf
1697,2021-03-04 13:16:30,ForkRepository,DavidKorczynski
1697,2021-03-04 13:18:35,SubmitCommit,DavidKorczynski
1697,2021-03-04 13:19:40,OpenPR,DavidKorczynski
1697,2021-04-21 09:32:33,ClosePR,aureliendavid
1801,2021-05-25 03:36:57,ForkRepository,hifoolno
1801,2021-05-25 03:43:59,CreateBranch,hifoolno
1801,2021-05-25 03:44:41,OpenPR,hifoolno
1801,2021-05-25 07:34:11,ClosePR,jeanlf
1803,2021-05-25 03:36:57,ForkRepository,hifoolno
1803,2021-05-25 13:36:30,CreateBranch,hifoolno
1803,2021-05-25 13:37:18,OpenPR,hifoolno
1803,2021-05-25 15:17:36,ClosePR,jeanlf
1804,2021-05-25 03:36:57,ForkRepository,hifoolno
1804,2021-05-25 13:49:13,CreateBranch,hifoolno
1804,2021-05-25 13:53:00,OpenPR,hifoolno
1804,2021-05-25 15:28:59,ClosePR,jeanlf
1914,2021-08-17 12:38:21,ForkRepository,K-os
1914,2021-09-16 09:28:45,CreateBranch,K-os
1914,2021-09-17 13:05:04,SubmitCommit,K-os
1914,2021-09-16 09:31:57,OpenPR,K-os
1914,2021-09-28 08:47:31,ClosePR,K-os
2009,2021-12-22 23:04:00,ForkRepository,JamieSlome
2009,2021-12-22 23:09:04,SubmitCommit,JamieSlome
2009,2021-12-22 23:09:06,OpenPR,JamieSlome
2009,2022-01-17 12:02:46,ClosePR,aureliendavid
2083,2022-01-28 12:06:51,ForkRepository,m-i-dyer
2083,2022-01-28 14:07:56,CreateBranch,m-i-dyer
2083,2022-01-28 14:10:34,SubmitCommit,m-i-dyer
2083,2022-01-28 14:16:21,OpenPR,m-i-dyer
2083,2022-01-28 16:21:39,ClosePR,m-i-dyer
2085,2022-01-26 15:32:45,ForkRepository,inrustwetrust
2085,2022-01-27 11:57:28,CreateBranch,inrustwetrust
2085,2022-01-31 10:15:04,SubmitCommit,inrustwetrust
2085,2022-01-31 10:21:57,OpenPR,inrustwetrust
2085,2022-02-01 13:36:23,ClosePR,jeanlf
2174,2022-04-16 07:40:58,ForkRepository,xidoo123
2174,2022-04-16 08:04:42,SubmitCommit,xidoo123
2174,2022-04-16 08:17:02,SubmitCommit,xidoo123
2174,2022-04-16 08:20:11,OpenPR,xidoo123
2174,2022-04-19 07:16:31,ClosePR,jeanlf
