CaseID,StartTimestamp,Activity,People
1710,2021-03-12 02:34:09,ForkRepository,tdaede
1710,2021-03-17 02:33:14,CreateBranch,tdaede
1710,2021-03-17 02:37:14,SubmitCommit,tdaede
1710,2021-03-17 02:33:24,OpenPR,tdaede
1710,2021-03-17 09:02:31,MergePR,jeanlf
1717,2021-03-12 02:34:09,ForkRepository,tdaede
1717,2021-03-25 00:39:34,CreateBranch,tdaede
1717,2021-04-16 03:47:37,SubmitCommit,tdaede
1717,2021-03-25 04:34:44,OpenPR,tdaede
1717,2021-03-25 08:53:36,PRReviewReject,jeanlf
1717,2021-03-25 08:53:36,PRReviewReject,jeanlf
1717,2021-03-25 08:51:16,PRReviewComment,jeanlf
1717,2021-03-25 08:52:08,PRReviewComment,jeanlf
1730,2021-04-06 14:42:05,CreateBranch,rbouqueau
1730,2021-04-06 14:42:37,OpenPR,rbouqueau
1730,2021-04-09 13:53:48,MergePR,jeanlf
1739,2021-04-09 13:48:15,CreateBranch,rbouqueau
1739,2021-04-14 04:39:04,SubmitCommit,rbouqueau
1739,2021-04-09 13:48:40,OpenPR,rbouqueau
1739,2021-04-14 08:50:58,MergePR,jeanlf
1748,2021-03-12 02:34:09,ForkRepository,tdaede
1750,2021-04-20 21:03:13,OpenPR,gorinje
1750,2021-04-21 08:23:49,MergePR,jeanlf
1793,2021-05-17 16:20:41,CreateBranch,rbouqueau
1793,2021-05-18 09:37:16,SubmitCommit,rbouqueau
1793,2021-05-18 09:39:34,SubmitCommit,rbouqueau
1793,2021-05-18 10:00:12,SubmitCommit,rbouqueau
1793,2021-05-18 09:40:12,OpenPR,rbouqueau
1793,2021-05-18 10:15:49,MergePR,jeanlf
1845,2021-07-06 20:05:29,CreateBranch,rbouqueau
1845,2021-07-06 20:05:57,OpenPR,rbouqueau
1845,2021-07-09 12:37:31,MergePR,jeanlf
1867,2021-08-01 01:51:18,ForkRepository,gmaen
1867,2021-08-01 02:33:43,SubmitCommit,gmaen
1867,2021-08-01 02:56:06,OpenPR,gmaen
1867,2021-08-02 10:57:13,MergePR,jeanlf
1878,2021-08-17 12:38:21,ForkRepository,K-os
1878,2021-08-17 12:39:07,CreateBranch,K-os
1878,2021-08-17 12:41:53,SubmitCommit,K-os
1878,2021-08-17 12:42:53,OpenPR,K-os
1878,2021-09-01 10:04:04,MergePR,jeanlf
1930,2021-08-17 12:38:21,ForkRepository,K-os
1930,2021-10-21 09:19:11,DeleteBranch,K-os
1930,2021-10-07 12:41:38,SubmitCommit,K-os
1932,2021-10-10 01:16:25,ForkRepository,adripo
1932,2021-10-10 01:18:24,SubmitCommit,adripo
2156,2022-03-30 11:58:35,ForkRepository,hieule96
2156,2022-03-30 12:00:27,SubmitCommit,hieule96
2156,2022-03-30 12:01:08,OpenPR,hieule96
2156,2022-05-17 11:54:50,MergePR,jeanlf
2195,2022-05-17 05:27:06,CreateBranch,rbouqueau
2195,2022-05-17 13:50:46,SubmitCommit,rbouqueau
2195,2022-05-18 20:32:31,SubmitCommit,rbouqueau
2195,2022-05-17 05:28:25,OpenPR,rbouqueau
2195,2022-05-19 08:01:35,MergePR,jeanlf
2198,2022-05-17 11:19:00,CreateBranch,rbouqueau
2198,2022-05-17 11:19:48,OpenPR,rbouqueau
2198,2022-05-17 11:54:08,MergePR,jeanlf
2203,2022-05-21 14:10:52,ForkRepository,quietvoid
2203,2022-06-08 01:26:09,SubmitCommit,quietvoid
2203,2022-06-08 01:24:51,OpenPR,quietvoid
2203,2022-06-08 10:06:40,MergePR,jeanlf
2206,2022-06-19 17:53:09,ForkRepository,rwfpl
2206,2022-06-19 18:16:08,SubmitCommit,rwfpl
2206,2022-06-19 18:22:38,OpenPR,rwfpl
2206,2022-06-20 09:51:06,MergePR,jeanlf
