CaseID,StartTimestamp,Activity,People
1678,2021-01-11 15:23:47,CreateBranch,aureliendavid
1678,2021-02-24 17:34:46,DeleteBranch,jeanlf
1678,2021-01-11 15:49:56,SubmitCommit,aureliendavid
1678,2021-01-12 09:59:30,SubmitCommit,aureliendavid
1678,2021-01-12 10:25:04,SubmitCommit,aureliendavid
1678,2021-01-11 17:15:12,OpenPR,aureliendavid
1678,2021-01-13 10:07:17,MergePR,aureliendavid
1709,2021-03-15 16:24:34,CreateBranch,aureliendavid
1709,2021-05-07 09:51:59,DeleteBranch,jeanlf
1709,2021-03-15 16:56:24,SubmitCommit,aureliendavid
1709,2021-03-16 12:54:55,OpenPR,aureliendavid
1709,2021-03-17 14:25:43,MergePR,aureliendavid
1712,2021-03-20 04:04:02,CreateBranch,cconcolato
1712,2021-03-25 18:46:49,DeleteBranch,cconcolato
1712,2021-03-20 04:04:16,OpenPR,cconcolato
1712,2021-03-22 14:02:04,MergePR,jeanlf
1744,2021-04-14 20:29:34,CreateBranch,cconcolato
1744,2021-05-07 09:51:53,DeleteBranch,jeanlf
1744,2021-04-14 21:07:50,SubmitCommit,cconcolato
1744,2021-04-14 20:31:42,OpenPR,cconcolato
1744,2021-04-16 16:17:00,MergePR,rbouqueau
1824,2021-06-09 19:26:49,CreateBranch,rbouqueau
1824,2021-06-09 19:27:09,OpenPR,rbouqueau
1824,2021-06-10 08:59:06,MergePR,jeanlf
1836,2021-06-29 19:46:01,CreateBranch,rbouqueau
1836,2021-07-06 07:46:29,MergePR,jeanlf
1837,2021-07-06 07:47:14,MergePR,jeanlf
1848,2021-07-09 08:25:44,CreateBranch,rbouqueau
1848,2021-07-09 08:26:00,OpenPR,rbouqueau
1848,2021-07-09 12:36:48,MergePR,jeanlf
1915,2021-09-20 16:11:22,CreateBranch,cconcolato
1915,2021-10-04 16:26:40,SubmitCommit,cconcolato
1915,2021-09-20 16:12:19,OpenPR,cconcolato
1915,2021-09-21 09:51:16,PRReviewComment,rbouqueau
1915,2021-09-21 09:51:15,PRReviewComment,rbouqueau
1915,2021-10-04 16:26:46,PRReviewComment,cconcolato
1917,2021-09-22 04:38:46,CreateBranch,cconcolato
1917,2021-09-22 04:39:09,OpenPR,cconcolato
1917,2021-09-22 07:24:57,MergePR,rbouqueau
1918,2021-09-22 17:28:25,CreateBranch,cconcolato
1918,2021-09-23 18:35:52,SubmitCommit,cconcolato
1918,2021-09-22 17:28:45,OpenPR,cconcolato
1918,2021-09-22 19:38:29,PRReviewComment,rbouqueau
1918,2021-09-22 20:59:12,PRReviewComment,cconcolato
1918,2021-09-22 20:59:11,PRReviewComment,cconcolato
1918,2021-09-23 06:26:56,PRReviewComment,rbouqueau
1918,2021-09-23 06:26:56,PRReviewComment,rbouqueau
1918,2021-09-23 18:36:22,PRReviewComment,cconcolato
1918,2021-09-23 18:36:22,PRReviewComment,cconcolato
1918,2021-09-24 07:00:17,PRReviewComment,rbouqueau
1918,2021-09-24 07:00:16,PRReviewComment,rbouqueau
1918,2021-09-24 07:00:23,MergePR,rbouqueau
1926,2021-09-29 19:33:12,CreateBranch,rbouqueau
1926,2021-10-04 18:47:56,SubmitCommit,rbouqueau
1926,2021-10-04 20:32:08,SubmitCommit,rbouqueau
1926,2021-10-04 20:43:02,SubmitCommit,rbouqueau
1926,2021-10-05 16:14:56,SubmitCommit,rbouqueau
1926,2021-10-02 20:16:05,OpenPR,rbouqueau
1953,2021-12-05 11:31:21,CreateBranch,rbouqueau
1953,2021-12-05 16:33:30,SubmitCommit,rbouqueau
1953,2021-12-05 16:34:18,OpenPR,rbouqueau
1953,2021-12-05 16:34:23,MergePR,rbouqueau
2145,2022-03-16 22:07:51,CreateBranch,cconcolato
2145,2022-03-17 09:01:59,MergePR,jeanlf
