CaseID,StartTimestamp,Activity,People
2635,2021-01-21 09:14:38,CreateBranch,jojochuang
2635,2021-01-21 09:14:49,OpenPR,jojochuang
2635,2021-04-06 08:48:59,ClosePR,jojochuang
2996,2021-05-12 15:50:37,PRReviewReject,shuzirra
3000,2021-05-12 03:00:00,CreateBranch,dependabot[bot]
3000,2021-05-12 03:00:10,OpenPR,dependabot[bot]
3001,2021-05-12 03:00:26,CreateBranch,dependabot[bot]
3001,2021-05-12 03:00:37,OpenPR,dependabot[bot]
3002,2021-05-12 03:01:03,CreateBranch,dependabot[bot]
3002,2021-05-19 03:15:09,DeleteBranch,dependabot[bot]
3002,2021-05-12 03:01:14,OpenPR,dependabot[bot]
3002,2021-05-19 03:15:07,ClosePR,dependabot[bot]
3163,2021-08-23 11:44:19,PRReviewComment,bogthe
3163,2021-08-23 11:44:18,PRReviewComment,bogthe
3316,2021-08-20 06:17:14,CreateBranch,smengcl
3316,2021-08-20 06:17:24,OpenPR,smengcl
3432,2021-09-14 04:36:35,CreateBranch,Hexiaoqiao
3432,2021-09-14 04:37:10,OpenPR,Hexiaoqiao
3432,2021-09-14 06:21:15,ClosePR,Hexiaoqiao
3626,2021-11-07 07:54:45,CreateBranch,GauthamBanasandra
3626,2021-11-07 07:54:57,OpenPR,GauthamBanasandra
3626,2021-11-07 07:58:51,ClosePR,GauthamBanasandra
4015,2022-02-22 17:54:04,CreateBranch,asfgit
4015,2022-02-22 18:02:42,OpenPR,shvachko
4015,2022-03-16 00:04:43,ClosePR,omalley
4146,2022-04-07 07:20:42,CreateBranch,dependabot[bot]
4146,2022-04-07 07:20:52,OpenPR,dependabot[bot]
4475,2022-06-20 22:47:53,CreateBranch,dependabot[bot]
4475,2022-06-20 22:48:05,OpenPR,dependabot[bot]
4476,2022-01-18 10:49:53,CreateBranch,mukund-thakur
4476,2022-06-21 01:22:19,SubmitCommit,mukund-thakur
