CaseID,StartTimestamp,Activity,People
2843,2021-03-31 06:49:32,CreateBranch,dependabot[bot]
2843,2021-04-10 16:30:54,DeleteBranch,aajisaka
2843,2021-03-31 06:49:43,OpenPR,dependabot[bot]
2843,2021-04-10 16:30:00,PRReviewApprove,aajisaka
2843,2021-04-10 16:30:50,MergePR,aajisaka
2891,2021-04-10 16:35:04,CreateBranch,dependabot[bot]
2891,2021-07-25 17:16:24,DeleteBranch,aajisaka
2891,2021-04-10 16:35:14,OpenPR,dependabot[bot]
2891,2021-07-25 17:14:07,PRReviewApprove,aajisaka
2891,2021-07-25 17:16:22,MergePR,aajisaka
2900,2021-04-13 03:44:11,CreateBranch,goiri
2900,2021-04-13 03:44:18,OpenPR,goiri
2900,2021-04-13 03:44:32,MergePR,goiri
2974,2021-05-04 08:41:56,CreateBranch,dependabot[bot]
2974,2021-05-12 01:57:50,DeleteBranch,aajisaka
2974,2021-05-05 19:47:39,SubmitCommit,aajisaka
2974,2021-05-06 05:34:48,SubmitCommit,aajisaka
2974,2021-05-12 01:54:38,SubmitCommit,aajisaka
2974,2021-05-04 08:42:06,OpenPR,dependabot[bot]
2974,2021-05-05 17:42:15,PRReviewReject,aajisaka
2974,2021-05-05 19:48:48,PRReviewComment,aajisaka
2974,2021-05-12 01:57:46,MergePR,aajisaka
2974,2021-05-20 10:19:44,PRReviewComment,haiyang1987
2974,2021-05-20 10:19:44,PRReviewComment,haiyang1987
2997,2021-05-13 12:54:17,DeleteBranch,dependabot[bot]
2997,2021-05-12 15:41:27,PRReviewApprove,shuzirra
2997,2021-05-13 12:54:08,MergePR,jojochuang
3003,2021-05-12 03:01:26,CreateBranch,dependabot[bot]
3003,2021-05-13 12:51:52,DeleteBranch,dependabot[bot]
3003,2021-05-12 03:01:37,OpenPR,dependabot[bot]
3003,2021-05-12 15:37:08,PRReviewApprove,shuzirra
3003,2021-05-13 12:51:44,MergePR,jojochuang
3004,2021-05-12 03:01:58,CreateBranch,dependabot[bot]
3004,2021-05-19 03:14:28,DeleteBranch,dependabot[bot]
3004,2021-05-12 03:02:08,OpenPR,dependabot[bot]
3004,2021-05-19 03:14:19,MergePR,jojochuang
3443,2021-09-15 21:27:35,CreateBranch,steveloughran
3443,2021-09-15 21:27:56,DeleteBranch,steveloughran
3443,2021-09-15 21:27:40,OpenPR,steveloughran
3443,2021-09-15 21:27:50,MergePR,steveloughran
3489,2021-09-27 16:39:50,CreateBranch,goiri
3489,2021-09-27 16:39:55,OpenPR,goiri
3489,2021-09-27 16:40:48,MergePR,goiri
3697,2021-11-22 02:03:09,CreateBranch,ferhui
3697,2021-11-22 02:04:27,OpenPR,ferhui
3697,2021-11-22 02:05:24,MergePR,ferhui
3706,2021-11-23 06:36:47,CreateBranch,dependabot[bot]
3706,2021-12-08 18:39:05,DeleteBranch,dependabot[bot]
3706,2021-11-23 06:36:58,OpenPR,dependabot[bot]
3706,2021-12-04 06:15:30,PRReviewApprove,ayushtkn
3706,2021-12-04 06:17:40,PRReviewApprove,ayushtkn
3706,2021-12-08 13:35:07,PRReviewApprove,aajisaka
3706,2021-12-08 18:38:55,MergePR,ayushtkn
3890,2022-01-17 07:33:09,CreateBranch,dependabot[bot]
3890,2022-01-20 12:44:19,DeleteBranch,aajisaka
3890,2022-01-17 07:33:20,OpenPR,dependabot[bot]
3890,2022-01-17 10:08:12,PRReviewApprove,aajisaka
3890,2022-01-20 12:44:10,MergePR,aajisaka
4038,2022-02-28 13:04:47,CreateBranch,ferhui
4038,2022-02-28 13:04:54,OpenPR,ferhui
4038,2022-02-28 13:05:20,MergePR,ferhui
4232,2022-04-24 09:18:07,CreateBranch,ferhui
4232,2022-04-24 09:18:12,OpenPR,ferhui
4232,2022-04-24 09:18:32,MergePR,ferhui
4306,2022-05-13 06:42:15,CreateBranch,ferhui
4306,2022-05-13 06:44:27,OpenPR,ferhui
4306,2022-05-13 06:44:42,MergePR,ferhui
