CaseID,StartTimestamp,Activity,People
165,2021-01-05 11:30:51,CreateBranch,andrii-suse
165,2021-01-05 13:31:07,OpenPR,andrii-suse
166,2021-01-07 11:29:42,CreateBranch,andrii-suse
166,2021-01-07 12:28:54,OpenPR,andrii-suse
166,2021-07-14 11:53:09,PRReviewApprove,gifhuppp
167,2021-01-28 09:57:02,CreateBranch,notroj
167,2021-01-28 09:57:37,OpenPR,notroj
167,2021-01-29 12:43:10,ClosePR,asfgit
168,2021-02-05 09:03:00,CreateBranch,rpluem
168,2021-03-02 19:41:37,DeleteBranch,rpluem
168,2021-02-05 09:03:10,OpenPR,rpluem
168,2021-03-02 19:41:28,ClosePR,rpluem
169,2021-02-06 00:59:20,CreateBranch,ylavic
169,2021-02-06 10:37:19,SubmitCommit,ylavic
169,2021-02-06 01:07:56,OpenPR,ylavic
169,2021-02-06 12:17:53,ClosePR,asfgit
170,2021-02-11 10:16:42,CreateBranch,rpluem
170,2021-03-02 20:04:19,DeleteBranch,rpluem
170,2021-02-11 10:16:53,OpenPR,rpluem
170,2021-03-02 20:04:15,ClosePR,rpluem
172,2021-02-24 10:51:59,CreateBranch,notroj
172,2021-02-24 10:54:34,SubmitCommit,notroj
172,2021-02-24 14:45:41,SubmitCommit,notroj
172,2021-02-24 10:52:34,OpenPR,notroj
172,2021-02-25 09:12:08,ClosePR,asfgit
173,2021-02-25 06:07:02,ForkRepository,DamianFekete
173,2021-02-25 09:03:19,CreateBranch,DamianFekete
173,2021-02-25 09:04:24,OpenPR,DamianFekete
173,2021-02-25 10:53:55,PRReviewComment,ylavic
173,2021-02-25 10:53:55,PRReviewComment,ylavic
173,2021-02-25 13:01:37,ClosePR,DamianFekete
174,2021-03-02 17:06:15,CreateBranch,notroj
174,2021-03-03 10:50:15,SubmitCommit,notroj
174,2021-03-02 17:06:27,OpenPR,notroj
174,2021-03-03 14:27:42,ClosePR,asfgit
175,2021-03-03 10:15:31,ForkRepository,icing
175,2021-03-03 10:37:04,CreateBranch,icing
175,2021-06-11 10:49:35,DeleteBranch,icing
175,2021-03-03 10:38:24,OpenPR,icing
175,2021-06-02 13:16:42,ClosePR,icing
176,2021-03-03 17:52:45,CreateBranch,notroj
176,2021-03-19 16:35:36,SubmitCommit,notroj
176,2021-03-03 17:53:33,OpenPR,notroj
177,2021-03-08 13:02:11,CreateBranch,notroj
177,2021-03-17 11:01:31,SubmitCommit,notroj
177,2021-03-17 11:11:44,SubmitCommit,notroj
177,2021-03-18 09:02:44,SubmitCommit,notroj
177,2021-03-08 13:02:29,OpenPR,notroj
177,2021-03-11 15:28:41,PRReviewComment,notroj
177,2021-03-11 15:28:41,PRReviewComment,notroj
177,2021-03-11 15:29:27,PRReviewComment,notroj
177,2021-03-11 15:29:27,PRReviewComment,notroj
177,2021-03-11 18:38:30,PRReviewReject,michael-o
177,2021-03-11 18:38:30,PRReviewReject,michael-o
177,2021-03-11 18:34:25,PRReviewComment,michael-o
177,2021-03-11 18:37:05,PRReviewComment,michael-o
177,2021-03-11 18:36:20,PRReviewComment,michael-o
177,2021-03-17 12:14:41,PRReviewReject,michael-o
177,2021-03-17 12:14:41,PRReviewReject,michael-o
177,2021-03-17 12:14:37,PRReviewComment,michael-o
177,2021-03-18 07:55:59,PRReviewComment,notroj
177,2021-03-18 07:55:58,PRReviewComment,notroj
177,2021-03-19 15:15:51,ClosePR,asfgit
178,2021-03-03 10:15:31,ForkRepository,icing
178,2021-06-11 10:49:33,DeleteBranch,icing
178,2021-03-24 13:46:24,SubmitCommit,icing
178,2021-03-24 14:08:49,OpenPR,icing
179,2021-03-03 10:15:31,ForkRepository,icing
179,2021-06-11 10:49:33,DeleteBranch,icing
179,2021-03-24 13:46:24,SubmitCommit,icing
179,2021-03-26 12:51:42,SubmitCommit,icing
179,2021-03-26 15:18:06,SubmitCommit,icing
179,2021-03-26 16:01:59,SubmitCommit,icing
