CaseID,StartTimestamp,Activity,People
496,2021-06-03 14:04:20,ForkRepository,dg0yt
496,2021-06-03 14:45:46,SubmitCommit,dg0yt
496,2021-06-03 14:58:37,SubmitCommit,dg0yt
496,2021-06-03 14:52:08,OpenPR,dg0yt
496,2021-06-04 14:54:39,PRReviewComment,hartwork
496,2021-06-04 14:56:56,PRReviewComment,hartwork
496,2021-06-04 21:14:22,ClosePR,hartwork
500,2021-06-26 23:07:44,ForkRepository,pkasting
500,2021-06-26 23:11:19,SubmitCommit,pkasting
500,2021-06-29 14:37:51,SubmitCommit,pkasting
500,2021-06-29 15:44:12,SubmitCommit,pkasting
500,2021-06-26 23:12:09,OpenPR,pkasting
500,2021-06-27 17:25:43,PRReviewReject,hartwork
500,2021-06-27 17:25:43,PRReviewReject,hartwork
500,2021-06-27 17:08:26,PRReviewComment,hartwork
500,2021-06-27 17:12:23,PRReviewComment,hartwork
500,2021-06-27 17:06:09,PRReviewComment,hartwork
500,2021-06-29 14:40:24,PRReviewComment,pkasting
500,2021-06-29 14:40:23,PRReviewComment,pkasting
500,2021-06-29 14:40:46,PRReviewComment,pkasting
500,2021-06-29 14:40:46,PRReviewComment,pkasting
500,2021-06-29 14:40:54,PRReviewComment,pkasting
500,2021-06-29 14:40:53,PRReviewComment,pkasting
500,2021-06-29 16:00:41,PRReviewApprove,hartwork
500,2021-07-06 14:46:59,ClosePR,hartwork
518,2021-11-12 20:15:31,ForkRepository,sebres
518,2021-11-12 20:26:22,CreateBranch,sebres
518,2021-11-12 20:56:02,SubmitCommit,sebres
518,2021-11-15 17:03:26,SubmitCommit,sebres
518,2021-11-12 20:56:34,OpenPR,sebres
518,2021-11-18 18:57:26,ClosePR,sebres
576,2022-03-03 16:40:10,ForkRepository,jonringer
576,2022-03-03 17:24:48,CreateBranch,jonringer
576,2022-03-03 17:42:57,DeleteBranch,jonringer
576,2022-03-03 17:27:00,SubmitCommit,jonringer
576,2022-03-03 17:28:15,OpenPR,jonringer
606,2022-06-27 08:06:12,ForkRepository,Tieske
606,2022-06-27 08:06:35,CreateBranch,Tieske
606,2022-06-27 09:20:18,SubmitCommit,Tieske
607,2022-06-29 13:43:29,SubmitCommit,dfaure-kdab
607,2022-06-29 13:44:46,OpenPR,dfaure-kdab
607,2022-06-29 14:38:58,ClosePR,dfaure-kdab
