CaseID,StartTimestamp,Activity,People
439,2021-03-01 01:04:27,ForkRepository,timbray
439,2021-03-01 01:21:03,OpenPR,timbray
439,2021-03-01 02:51:15,PRReviewReject,hartwork
439,2021-03-01 02:55:00,PRReviewReject,hartwork
439,2021-03-01 02:55:51,PRReviewReject,hartwork
439,2021-03-01 16:27:01,PRReviewReject,hartwork
439,2021-03-01 16:27:01,PRReviewReject,hartwork
439,2021-03-01 16:02:50,PRReviewComment,hartwork
439,2021-03-01 16:03:40,PRReviewComment,hartwork
439,2021-03-02 22:56:09,PRReviewReject,hartwork
439,2021-03-02 22:56:09,PRReviewReject,hartwork
439,2021-03-02 22:53:58,PRReviewComment,hartwork
439,2021-03-02 23:23:10,PRReviewComment,timbray
439,2021-03-02 23:23:09,PRReviewComment,timbray
439,2021-03-03 13:58:58,PRReviewComment,hartwork
439,2021-03-03 13:58:58,PRReviewComment,hartwork
439,2021-03-04 16:11:42,PRReviewReject,hartwork
439,2021-03-12 15:32:11,PRReviewReject,hartwork
439,2021-03-12 15:29:19,PRReviewComment,hartwork
439,2021-03-12 15:32:11,PRReviewReject,hartwork
439,2021-03-12 15:26:28,PRReviewComment,hartwork
439,2021-03-12 15:32:26,PRReviewReject,hartwork
439,2021-03-12 16:01:38,PRReviewComment,hartwork
439,2021-03-12 16:01:38,PRReviewComment,hartwork
439,2021-03-16 23:47:22,PRReviewReject,hartwork
439,2021-03-16 23:47:22,PRReviewReject,hartwork
439,2021-03-16 23:31:56,PRReviewComment,hartwork
439,2021-03-16 23:53:13,PRReviewComment,timbray
439,2021-03-16 23:53:12,PRReviewComment,timbray
439,2021-03-17 00:05:44,PRReviewComment,hartwork
439,2021-03-17 00:05:44,PRReviewComment,hartwork
439,2021-03-17 00:23:28,PRReviewComment,hartwork
439,2021-03-17 00:23:28,PRReviewComment,hartwork
439,2021-03-17 01:06:34,PRReviewComment,timbray
439,2021-03-17 01:06:33,PRReviewComment,timbray
439,2021-03-17 01:25:23,PRReviewComment,hartwork
439,2021-03-17 01:25:22,PRReviewComment,hartwork
439,2021-03-17 02:02:40,PRReviewComment,timbray
439,2021-03-17 02:02:39,PRReviewComment,timbray
439,2021-03-17 02:22:45,PRReviewComment,hartwork
439,2021-03-17 02:22:45,PRReviewComment,hartwork
439,2021-03-17 19:26:40,PRReviewApprove,hartwork
439,2021-03-17 20:47:30,MergePR,hartwork
442,2021-03-16 00:36:54,ForkRepository,arichardson
442,2021-03-16 00:39:59,CreateBranch,arichardson
442,2021-03-16 17:19:32,DeleteBranch,arichardson
442,2021-03-16 15:57:20,SubmitCommit,arichardson
442,2021-03-16 00:40:23,OpenPR,arichardson
442,2021-03-16 01:22:55,PRReviewComment,hartwork
442,2021-03-16 14:23:04,PRReviewReject,hartwork
442,2021-03-16 16:12:00,PRReviewApprove,hartwork
442,2021-03-16 17:17:17,MergePR,hartwork
453,2021-03-25 17:17:27,ForkRepository,nschonni
453,2021-03-25 18:29:04,DeleteBranch,nschonni
453,2021-03-25 17:18:09,SubmitCommit,nschonni
453,2021-03-25 17:18:20,OpenPR,nschonni
453,2021-03-25 17:19:33,PRReviewApprove,hartwork
453,2021-03-25 18:11:20,MergePR,hartwork
465,2021-04-20 08:26:21,ForkRepository,TomasKorbar
465,2021-04-20 08:42:26,CreateBranch,TomasKorbar
465,2021-04-20 09:48:44,OpenPR,TomasKorbar
465,2021-04-20 10:34:55,MergePR,hartwork
514,2021-10-16 13:21:14,CreateBranch,corona10
514,2021-10-17 11:45:28,SubmitCommit,corona10
553,2022-01-28 18:23:15,ForkRepository,czentgr
553,2022-01-28 18:27:18,CreateBranch,czentgr
553,2022-01-28 23:16:05,SubmitCommit,czentgr
553,2022-01-28 23:45:12,SubmitCommit,czentgr
553,2022-01-28 18:36:01,OpenPR,czentgr
553,2022-01-28 23:39:03,PRReviewApprove,hartwork
553,2022-01-29 00:21:42,MergePR,hartwork
558,2022-02-15 12:08:49,ForkRepository,ferivoz
558,2022-02-15 12:16:28,CreateBranch,ferivoz
558,2022-02-15 12:17:45,OpenPR,ferivoz
558,2022-02-18 16:59:51,MergePR,hartwork
559,2022-02-15 12:08:49,ForkRepository,ferivoz
559,2022-02-15 12:17:15,CreateBranch,ferivoz
559,2022-02-18 17:00:25,MergePR,hartwork
560,2022-02-15 12:08:49,ForkRepository,ferivoz
560,2022-02-15 12:16:52,CreateBranch,ferivoz
566,2022-02-15 12:08:49,ForkRepository,ferivoz
566,2022-02-20 11:56:00,CreateBranch,ferivoz
566,2022-02-20 11:56:55,OpenPR,ferivoz
566,2022-02-20 14:57:54,MergePR,hartwork
570,2022-02-23 21:16:09,ForkRepository,petitlapin
570,2022-02-23 21:21:37,CreateBranch,petitlapin
570,2022-02-24 22:12:56,DeleteBranch,petitlapin
570,2022-02-24 21:26:46,SubmitCommit,petitlapin
570,2022-02-23 21:29:12,OpenPR,petitlapin
570,2022-02-23 21:44:38,PRReviewComment,hartwork
570,2022-02-23 21:47:31,PRReviewReject,hartwork
570,2022-02-23 21:36:39,PRReviewComment,hartwork
