CaseID,StartTimestamp,Activity,People
438,2021-02-23 21:05:44,CreateBranch,hartwork
438,2021-02-26 20:36:33,DeleteBranch,hartwork
438,2021-02-24 02:34:58,SubmitCommit,hartwork
438,2021-02-23 22:44:35,OpenPR,hartwork
438,2021-02-26 12:00:57,PRReviewApprove,RMJ10
438,2021-02-26 15:00:20,MergePR,hartwork
441,2021-03-16 17:12:16,DeleteBranch,hartwork
441,2021-03-11 01:55:55,MergePR,hartwork
443,2021-03-16 17:36:08,CreateBranch,hartwork
443,2021-03-17 01:12:51,DeleteBranch,hartwork
443,2021-03-16 17:36:46,OpenPR,hartwork
443,2021-03-16 23:49:36,MergePR,hartwork
444,2021-03-19 20:56:56,CreateBranch,hartwork
444,2021-03-20 20:34:11,DeleteBranch,hartwork
444,2021-03-20 17:20:20,SubmitCommit,hartwork
444,2021-03-19 20:58:38,OpenPR,hartwork
444,2021-03-19 21:11:15,PRReviewComment,timbray
444,2021-03-19 21:11:16,PRReviewComment,timbray
444,2021-03-19 21:08:20,PRReviewComment,timbray
444,2021-03-19 21:07:14,PRReviewComment,timbray
444,2021-03-19 21:23:55,PRReviewComment,hartwork
444,2021-03-19 21:23:55,PRReviewComment,hartwork
444,2021-03-19 21:19:31,PRReviewComment,hartwork
444,2021-03-19 21:18:38,PRReviewComment,hartwork
444,2021-03-19 21:28:56,PRReviewApprove,timbray
444,2021-03-20 20:32:59,MergePR,hartwork
446,2021-03-20 01:46:25,CreateBranch,hartwork
446,2021-03-20 14:47:40,DeleteBranch,hartwork
446,2021-03-20 13:06:57,SubmitCommit,hartwork
446,2021-03-20 13:19:14,OpenPR,hartwork
446,2021-03-20 14:47:06,MergePR,hartwork
447,2021-03-20 14:39:50,CreateBranch,hartwork
447,2021-03-20 16:10:57,DeleteBranch,hartwork
447,2021-03-20 14:40:54,OpenPR,hartwork
447,2021-03-20 16:10:11,MergePR,hartwork
447,2021-03-25 19:06:31,PRReviewComment,SpaceIm
447,2021-03-25 19:06:30,PRReviewComment,SpaceIm
447,2021-03-25 19:39:21,PRReviewComment,hartwork
447,2021-03-25 19:39:21,PRReviewComment,hartwork
447,2021-03-25 19:59:42,PRReviewComment,SpaceIm
447,2021-03-25 19:59:41,PRReviewComment,SpaceIm
447,2021-03-25 20:27:27,PRReviewComment,hartwork
447,2021-03-25 20:27:27,PRReviewComment,hartwork
448,2021-03-21 14:21:27,CreateBranch,hartwork
448,2021-03-25 00:57:55,DeleteBranch,hartwork
448,2021-03-22 23:54:53,SubmitCommit,hartwork
448,2021-03-24 19:12:59,SubmitCommit,hartwork
448,2021-03-24 20:29:50,SubmitCommit,hartwork
448,2021-03-21 14:26:10,OpenPR,hartwork
448,2021-03-21 22:32:06,PRReviewComment,abdukh
448,2021-03-25 00:49:30,MergePR,hartwork
450,2021-03-22 17:23:12,CreateBranch,hartwork
450,2021-03-22 18:55:55,DeleteBranch,hartwork
450,2021-03-22 17:28:48,SubmitCommit,hartwork
450,2021-03-22 17:24:11,OpenPR,hartwork
450,2021-03-22 18:36:19,MergePR,hartwork
451,2021-03-22 21:25:00,CreateBranch,hartwork
451,2021-03-22 22:43:46,DeleteBranch,hartwork
451,2021-03-22 21:30:11,SubmitCommit,hartwork
451,2021-03-22 21:32:29,SubmitCommit,hartwork
451,2021-03-22 21:33:56,SubmitCommit,hartwork
451,2021-03-22 21:37:49,SubmitCommit,hartwork
451,2021-03-22 21:41:05,SubmitCommit,hartwork
451,2021-03-22 21:41:40,OpenPR,hartwork
451,2021-03-22 22:43:14,MergePR,hartwork
452,2021-03-22 22:47:44,CreateBranch,hartwork
452,2021-03-22 23:49:38,DeleteBranch,hartwork
452,2021-03-22 23:01:46,SubmitCommit,hartwork
452,2021-03-22 23:02:26,OpenPR,hartwork
452,2021-03-22 23:49:18,MergePR,hartwork
455,2021-03-26 15:23:16,CreateBranch,hartwork
455,2021-04-05 12:47:27,DeleteBranch,hartwork
455,2021-03-26 17:05:28,SubmitCommit,hartwork
455,2021-03-26 15:25:35,OpenPR,hartwork
455,2021-03-26 15:42:50,PRReviewComment,tbeu
455,2021-03-26 15:45:26,PRReviewComment,tbeu
455,2021-03-26 15:45:37,PRReviewComment,tbeu
455,2021-03-29 09:47:55,PRReviewApprove,SpaceIm
455,2021-03-29 12:22:06,MergePR,hartwork
456,2021-04-05 16:11:50,CreateBranch,hartwork
456,2021-04-05 18:03:54,DeleteBranch,hartwork
456,2021-04-05 16:34:50,SubmitCommit,hartwork
456,2021-04-05 16:52:25,SubmitCommit,hartwork
456,2021-04-05 16:58:23,OpenPR,hartwork
456,2021-04-05 17:11:09,PRReviewComment,1480c1
456,2021-04-05 17:11:08,PRReviewComment,1480c1
456,2021-04-05 18:02:46,PRReviewComment,hartwork
456,2021-04-05 18:02:45,PRReviewComment,hartwork
456,2021-04-05 18:03:15,MergePR,hartwork
456,2021-04-05 18:03:45,PRReviewComment,1480c1
456,2021-04-05 18:03:44,PRReviewComment,1480c1
457,2021-04-05 18:07:19,CreateBranch,hartwork
457,2021-04-05 20:39:41,DeleteBranch,hartwork
457,2021-04-05 18:12:37,SubmitCommit,hartwork
457,2021-04-05 19:44:33,SubmitCommit,hartwork
457,2021-04-05 18:07:58,OpenPR,hartwork
457,2021-04-05 20:39:26,MergePR,hartwork
459,2021-04-06 17:51:26,CreateBranch,hartwork
459,2021-04-06 21:12:31,DeleteBranch,hartwork
459,2021-04-06 17:52:12,OpenPR,hartwork
459,2021-04-06 20:32:05,PRReviewApprove,rffontenelle
459,2021-04-06 20:55:22,MergePR,hartwork
463,2021-04-19 17:34:00,CreateBranch,hartwork
463,2021-04-25 19:54:26,DeleteBranch,hartwork
463,2021-04-20 11:34:55,MergePR,hartwork
466,2021-04-20 22:13:50,CreateBranch,hartwork
466,2021-04-20 23:12:01,OpenPR,hartwork
467,2021-04-21 22:11:51,CreateBranch,hartwork
467,2021-04-25 19:54:26,DeleteBranch,hartwork
467,2021-04-21 22:12:05,OpenPR,hartwork
467,2021-04-21 22:58:17,MergePR,hartwork
468,2021-04-25 15:29:28,CreateBranch,hartwork
468,2021-04-25 19:54:27,DeleteBranch,hartwork
468,2021-04-25 15:49:34,SubmitCommit,hartwork
468,2021-04-25 15:29:54,OpenPR,hartwork
468,2021-04-25 17:01:47,MergePR,hartwork
469,2021-04-25 17:14:14,CreateBranch,hartwork
469,2021-04-25 19:54:27,DeleteBranch,hartwork
469,2021-04-25 17:14:48,OpenPR,hartwork
469,2021-04-25 18:30:09,MergePR,hartwork
470,2021-03-21 13:46:54,CreateBranch,hartwork
470,2021-04-30 03:25:48,DeleteBranch,hartwork
470,2021-04-25 20:51:45,SubmitCommit,hartwork
470,2021-04-26 12:15:02,SubmitCommit,hartwork
470,2021-04-26 12:18:20,SubmitCommit,hartwork
470,2021-04-26 12:17:14,OpenPR,hartwork
470,2021-04-30 03:25:18,MergePR,hartwork
472,2021-05-01 22:52:26,CreateBranch,hartwork
472,2021-05-02 17:53:21,DeleteBranch,hartwork
472,2021-05-01 23:03:43,OpenPR,hartwork
472,2021-05-01 23:52:48,MergePR,hartwork
473,2021-05-02 17:55:15,CreateBranch,hartwork
473,2021-05-02 21:52:26,DeleteBranch,hartwork
473,2021-05-02 18:36:01,OpenPR,hartwork
473,2021-05-02 21:52:02,MergePR,hartwork
474,2021-05-02 18:41:55,CreateBranch,hartwork
474,2021-05-02 21:52:25,DeleteBranch,hartwork
474,2021-05-02 18:49:58,SubmitCommit,hartwork
474,2021-05-02 18:42:47,OpenPR,hartwork
474,2021-05-02 20:40:40,MergePR,hartwork
475,2021-05-04 19:29:45,CreateBranch,hartwork
475,2021-05-04 23:24:34,DeleteBranch,hartwork
475,2021-05-04 19:35:38,SubmitCommit,hartwork
475,2021-05-04 19:37:36,SubmitCommit,hartwork
475,2021-05-04 19:58:24,SubmitCommit,hartwork
475,2021-05-04 21:48:47,SubmitCommit,hartwork
475,2021-05-04 21:49:12,SubmitCommit,hartwork
475,2021-05-04 19:32:26,OpenPR,hartwork
475,2021-05-04 23:24:11,MergePR,hartwork
480,2021-05-22 22:26:50,DeleteBranch,hartwork
480,2021-05-22 17:43:09,SubmitCommit,hartwork
480,2021-05-22 22:26:07,MergePR,hartwork
481,2021-05-12 12:02:02,CreateBranch,hartwork
481,2021-05-13 16:34:10,DeleteBranch,hartwork
481,2021-05-12 13:05:48,SubmitCommit,hartwork
481,2021-05-12 12:04:05,OpenPR,hartwork
481,2021-05-13 16:33:28,MergePR,hartwork
482,2021-05-13 14:27:27,CreateBranch,hartwork
482,2021-05-13 16:34:09,DeleteBranch,hartwork
482,2021-05-13 14:55:45,SubmitCommit,hartwork
482,2021-05-13 14:57:28,OpenPR,hartwork
