CaseID,StartTimestamp,Activity,People
2645,2021-01-07 06:35:39,CreateBranch,jlahoda
2645,2021-01-07 22:11:08,SubmitCommit,jlahoda
2645,2021-01-08 06:50:41,SubmitCommit,jlahoda
2645,2021-01-07 06:39:12,OpenPR,jlahoda
2645,2021-01-07 07:09:18,PRReviewApprove,sdedic
2645,2021-01-07 07:10:51,PRReviewApprove,JaroslavTulach
2645,2021-01-15 06:29:32,ClosePR,jlahoda
2672,2021-01-11 01:49:48,CreateBranch,lkishalmi
2672,2021-01-15 22:36:24,SubmitCommit,lkishalmi
2672,2021-01-15 22:55:09,SubmitCommit,lkishalmi
2672,2021-01-11 01:51:38,OpenPR,lkishalmi
2672,2021-01-19 12:07:21,PRReviewApprove,Akshay-Gupta-Oracle
2687,2021-01-17 22:55:22,ForkRepository,moacirrf
2687,2021-01-18 04:02:56,CreateBranch,moacirrf
2687,2021-01-18 11:11:49,OpenPR,moacirrf
2687,2021-01-18 11:13:50,ClosePR,moacirrf
2688,2021-01-17 22:55:22,ForkRepository,moacirrf
2688,2021-01-18 12:31:43,CreateBranch,moacirrf
2688,2021-01-19 21:18:48,SubmitCommit,moacirrf
2688,2021-01-18 12:34:04,OpenPR,moacirrf
2688,2021-01-21 19:36:08,ClosePR,matthiasblaesing
2690,2021-01-18 17:30:51,CreateBranch,neilcsmith-net
2690,2021-03-02 16:40:29,DeleteBranch,neilcsmith-net
2690,2021-02-05 15:29:01,SubmitCommit,neilcsmith-net
2690,2021-01-18 17:38:08,OpenPR,neilcsmith-net
2690,2021-01-18 18:16:42,PRReviewApprove,geertjanw
2690,2021-01-20 03:14:35,PRReviewApprove,JaroslavTulach
2690,2021-01-20 03:14:35,PRReviewApprove,JaroslavTulach
2690,2021-01-20 03:10:40,PRReviewComment,JaroslavTulach
2690,2021-01-20 03:13:43,PRReviewComment,JaroslavTulach
2690,2021-01-20 03:12:31,PRReviewComment,JaroslavTulach
2690,2021-01-20 16:41:18,PRReviewComment,sdedic
2690,2021-01-20 16:41:17,PRReviewComment,sdedic
2690,2021-01-20 16:41:57,PRReviewComment,sdedic
2690,2021-01-20 16:41:56,PRReviewComment,sdedic
2690,2021-01-20 16:43:45,PRReviewApprove,sdedic
2690,2021-03-02 16:32:00,ClosePR,neilcsmith-net
2695,2021-01-20 20:21:33,CreateBranch,ses1112
2695,2021-02-24 13:03:10,DeleteBranch,ses1112
2695,2021-01-20 20:22:35,OpenPR,ses1112
2695,2021-01-21 12:02:01,ClosePR,ses1112
2695,2021-01-21 12:02:16,ReopenPR,ses1112
2695,2021-02-24 13:02:54,ClosePR,ses1112
2696,2021-01-20 20:25:45,CreateBranch,ses1112
2696,2021-01-20 20:26:54,OpenPR,ses1112
2696,2021-12-17 19:40:52,ClosePR,matthiasblaesing
2708,2021-01-24 16:44:36,CreateBranch,KacerCZ
2708,2021-01-28 19:19:35,SubmitCommit,KacerCZ
2708,2021-01-24 16:45:53,OpenPR,KacerCZ
2708,2021-01-25 08:40:00,PRReviewComment,lbruun
2708,2021-01-25 08:39:59,PRReviewComment,lbruun
2724,2021-02-02 15:14:54,OpenPR,Akshay-Gupta-Oracle
2724,2021-02-02 15:43:42,PRReviewApprove,JaroslavTulach
2724,2021-02-02 15:43:42,PRReviewApprove,JaroslavTulach
2724,2021-02-02 15:40:37,PRReviewComment,JaroslavTulach
2724,2021-02-02 15:38:35,PRReviewComment,JaroslavTulach
2724,2021-02-02 20:38:58,PRReviewReject,matthiasblaesing
2724,2021-02-03 03:30:29,PRReviewApprove,JaroslavTulach
2724,2021-02-13 22:37:35,ClosePR,matthiasblaesing
2728,2021-02-03 20:19:37,ForkRepository,wwalery
2728,2021-02-03 22:01:24,CreateBranch,wwalery
2728,2021-02-03 22:02:27,SubmitCommit,wwalery
2728,2021-02-03 22:03:29,OpenPR,wwalery
2728,2021-02-16 21:56:09,ClosePR,lkishalmi
2741,2021-02-06 21:26:21,CreateBranch,KacerCZ
2741,2021-02-07 07:11:37,DeleteBranch,KacerCZ
2741,2021-02-06 21:27:16,OpenPR,KacerCZ
2741,2021-02-07 07:11:27,ClosePR,KacerCZ
2750,2021-02-09 15:56:22,ForkRepository,MartinBalin
2750,2021-02-09 15:57:13,CreateBranch,MartinBalin
2750,2021-02-09 16:19:13,OpenPR,MartinBalin
2750,2021-02-09 16:30:27,ClosePR,MartinBalin
2756,2021-02-11 18:45:48,CreateBranch,BradWalker
2756,2021-09-16 03:26:09,DeleteBranch,BradWalker
2756,2021-02-11 18:46:52,OpenPR,BradWalker
2756,2021-02-17 15:05:43,PRReviewComment,sdedic
2756,2021-02-17 15:05:43,PRReviewComment,sdedic
2756,2021-02-17 15:05:36,PRReviewComment,sdedic
2756,2021-02-19 07:59:57,PRReviewComment,JaroslavTulach
2756,2021-02-19 07:59:57,PRReviewComment,JaroslavTulach
2756,2021-03-17 14:17:28,PRReviewReject,sdedic
2756,2021-09-16 03:26:09,ClosePR,BradWalker
2758,2021-02-12 10:22:47,OpenPR,Akshay-Gupta-Oracle
2758,2021-02-15 17:57:22,ClosePR,neilcsmith-net
2765,2021-02-16 18:46:46,OpenPR,sdedic
2765,2021-02-18 18:07:38,PRReviewApprove,JaroslavTulach
2765,2021-02-18 18:07:38,PRReviewApprove,JaroslavTulach
2765,2021-02-18 18:02:13,PRReviewComment,JaroslavTulach
2765,2021-02-18 18:04:29,PRReviewComment,JaroslavTulach
2765,2021-02-18 18:02:45,PRReviewComment,JaroslavTulach
2765,2021-02-18 18:05:08,PRReviewComment,JaroslavTulach
2765,2021-02-18 18:05:40,PRReviewComment,JaroslavTulach
2765,2021-02-19 09:11:49,PRReviewComment,sdedic
2765,2021-02-19 09:11:49,PRReviewComment,sdedic
2765,2021-02-19 09:14:23,PRReviewComment,sdedic
2765,2021-02-19 09:14:23,PRReviewComment,sdedic
2765,2021-02-19 09:15:38,PRReviewComment,sdedic
2765,2021-02-19 09:15:37,PRReviewComment,sdedic
2765,2021-02-19 13:36:05,PRReviewComment,sdedic
2765,2021-02-19 13:36:04,PRReviewComment,sdedic
2765,2021-02-19 13:38:33,PRReviewComment,sdedic
2765,2021-02-19 13:38:33,PRReviewComment,sdedic
2765,2021-03-17 15:00:43,PRReviewReject,lkishalmi
2765,2021-03-17 15:00:43,PRReviewReject,lkishalmi
2765,2021-03-17 15:05:01,PRReviewComment,sdedic
2765,2021-03-17 15:05:01,PRReviewComment,sdedic
2765,2021-03-19 11:28:12,PRReviewComment,sdedic
2765,2021-03-19 11:28:11,PRReviewComment,sdedic
2765,2021-04-21 14:01:38,ClosePR,sdedic
2772,2021-02-18 18:34:24,CreateBranch,KacerCZ
2772,2021-02-18 18:35:10,OpenPR,KacerCZ
2772,2021-04-01 17:53:28,ClosePR,KacerCZ
2773,2021-02-09 15:56:22,ForkRepository,MartinBalin
2773,2021-02-19 14:37:05,CreateBranch,MartinBalin
2773,2021-02-19 16:04:59,SubmitCommit,MartinBalin
2773,2021-02-24 17:01:30,SubmitCommit,MartinBalin
2773,2021-02-25 07:31:57,SubmitCommit,MartinBalin
2773,2021-02-19 16:07:07,OpenPR,MartinBalin
2773,2021-02-19 16:27:51,PRReviewApprove,dbalek
2773,2021-02-20 06:29:55,PRReviewComment,jtulach
2773,2021-02-20 06:29:55,PRReviewComment,jtulach
2773,2021-02-25 16:34:31,ClosePR,MartinBalin
2781,2021-02-24 22:18:28,CreateBranch,jlahoda
2781,2021-02-25 06:49:09,SubmitCommit,jlahoda
