CaseID,StartTimestamp,Activity,People
2712,2021-01-23 16:59:31,CreateBranch,neilcsmith-net
2712,2021-04-01 16:23:25,DeleteBranch,geertjanw
2712,2021-01-26 09:36:04,SubmitCommit,neilcsmith-net
2712,2021-01-26 09:37:47,SubmitCommit,neilcsmith-net
2712,2021-01-26 09:39:23,SubmitCommit,neilcsmith-net
2712,2021-01-26 09:42:41,OpenPR,neilcsmith-net
2712,2021-01-26 09:45:40,MergePR,neilcsmith-net
2713,2021-01-23 16:59:31,CreateBranch,neilcsmith-net
2713,2021-04-01 16:23:25,DeleteBranch,geertjanw
2713,2021-01-26 09:36:04,SubmitCommit,neilcsmith-net
2713,2021-01-26 09:37:47,SubmitCommit,neilcsmith-net
2713,2021-01-26 09:39:23,SubmitCommit,neilcsmith-net
2713,2021-01-26 09:43:42,OpenPR,neilcsmith-net
2713,2021-01-28 13:27:51,MergePR,neilcsmith-net
2715,2021-01-23 16:59:31,CreateBranch,neilcsmith-net
2715,2021-04-01 16:23:25,DeleteBranch,geertjanw
2715,2021-01-26 09:36:04,SubmitCommit,neilcsmith-net
2715,2021-01-26 09:37:47,SubmitCommit,neilcsmith-net
2715,2021-01-26 09:39:23,SubmitCommit,neilcsmith-net
2715,2021-01-28 15:46:12,SubmitCommit,geertjanw
2715,2021-02-02 14:32:33,SubmitCommit,dbalek
2715,2021-02-03 13:20:56,SubmitCommit,neilcsmith-net
2715,2021-02-03 13:21:16,SubmitCommit,neilcsmith-net
2715,2021-02-03 13:21:37,SubmitCommit,neilcsmith-net
2715,2021-02-03 13:21:55,SubmitCommit,neilcsmith-net
2715,2021-01-28 15:48:48,OpenPR,geertjanw
2715,2021-02-03 13:25:59,MergePR,neilcsmith-net
2716,2021-01-23 16:59:31,CreateBranch,neilcsmith-net
2716,2021-04-01 16:23:25,DeleteBranch,geertjanw
2716,2021-01-26 09:36:04,SubmitCommit,neilcsmith-net
2716,2021-01-26 09:37:47,SubmitCommit,neilcsmith-net
2716,2021-01-26 09:39:23,SubmitCommit,neilcsmith-net
2716,2021-01-28 15:46:12,SubmitCommit,geertjanw
2716,2021-02-02 14:32:33,SubmitCommit,dbalek
2716,2021-02-03 13:20:56,SubmitCommit,neilcsmith-net
2716,2021-02-03 13:21:16,SubmitCommit,neilcsmith-net
2716,2021-02-03 13:21:37,SubmitCommit,neilcsmith-net
2716,2021-02-03 13:21:55,SubmitCommit,neilcsmith-net
2716,2021-01-28 16:51:35,OpenPR,neilcsmith-net
2716,2021-02-04 18:35:59,MergePR,neilcsmith-net
2732,2021-02-04 21:04:11,CreateBranch,emilianbold
2732,2021-02-05 11:42:43,SubmitCommit,emilianbold
2732,2021-02-05 22:55:52,SubmitCommit,emilianbold
2732,2021-02-04 21:14:48,OpenPR,emilianbold
2732,2021-02-04 21:23:44,PRReviewComment,geertjanw
2732,2021-02-08 05:50:36,PRReviewApprove,JaroslavTulach
2732,2021-03-29 20:14:45,MergePR,geertjanw
2748,2021-01-23 16:59:31,CreateBranch,neilcsmith-net
2748,2021-04-01 16:23:25,DeleteBranch,geertjanw
2748,2021-02-02 14:32:33,SubmitCommit,dbalek
2748,2021-02-03 13:20:56,SubmitCommit,neilcsmith-net
2748,2021-02-03 13:21:16,SubmitCommit,neilcsmith-net
2748,2021-02-03 13:21:37,SubmitCommit,neilcsmith-net
2748,2021-02-03 13:21:55,SubmitCommit,neilcsmith-net
2748,2021-02-06 15:13:52,SubmitCommit,lkishalmi
2748,2021-02-08 22:19:43,SubmitCommit,lkishalmi
2748,2021-02-08 22:22:13,SubmitCommit,lkishalmi
2748,2021-02-09 16:05:40,SubmitCommit,lkishalmi
2748,2021-02-11 13:21:25,SubmitCommit,sdedic
2748,2021-02-11 14:19:34,SubmitCommit,geertjanw
2748,2021-02-11 14:19:59,SubmitCommit,geertjanw
2748,2021-02-11 14:20:31,SubmitCommit,geertjanw
2748,2021-02-11 14:21:16,SubmitCommit,geertjanw
2748,2021-02-11 14:21:34,SubmitCommit,geertjanw
2748,2021-02-11 14:22:07,SubmitCommit,geertjanw
2748,2021-02-11 14:22:28,SubmitCommit,geertjanw
2748,2021-02-11 14:23:05,SubmitCommit,geertjanw
2748,2021-02-14 05:34:57,SubmitCommit,JaroslavTulach
2748,2021-02-15 17:52:25,SubmitCommit,neilcsmith-net
2748,2021-02-15 17:54:40,SubmitCommit,neilcsmith-net
2748,2021-02-16 11:22:38,SubmitCommit,geertjanw
2748,2021-02-09 11:54:27,OpenPR,neilcsmith-net
2748,2021-02-16 11:27:47,MergePR,geertjanw
2866,2021-04-06 15:32:09,SubmitCommit,geertjanw
2866,2021-04-06 15:40:21,OpenPR,neilcsmith-net
2866,2021-04-06 19:34:05,MergePR,geertjanw
2908,2021-04-21 09:58:58,CreateBranch,geertjanw
2908,2021-07-20 13:44:34,DeleteBranch,neilcsmith-net
2908,2021-01-26 09:36:04,SubmitCommit,neilcsmith-net
2908,2021-01-26 09:37:47,SubmitCommit,neilcsmith-net
2908,2021-01-26 09:39:23,SubmitCommit,neilcsmith-net
2908,2021-01-28 15:46:12,SubmitCommit,geertjanw
2908,2021-02-02 14:32:33,SubmitCommit,dbalek
2908,2021-02-03 13:20:56,SubmitCommit,neilcsmith-net
2908,2021-02-03 13:21:16,SubmitCommit,neilcsmith-net
2908,2021-02-03 13:21:37,SubmitCommit,neilcsmith-net
2908,2021-02-03 13:21:55,SubmitCommit,neilcsmith-net
2908,2021-02-06 15:13:52,SubmitCommit,lkishalmi
2908,2021-02-08 22:19:43,SubmitCommit,lkishalmi
2908,2021-02-08 22:22:13,SubmitCommit,lkishalmi
2908,2021-02-09 16:05:40,SubmitCommit,lkishalmi
2908,2021-02-11 13:21:25,SubmitCommit,sdedic
2908,2021-02-11 14:19:34,SubmitCommit,geertjanw
2908,2021-02-11 14:19:59,SubmitCommit,geertjanw
2908,2021-02-11 14:20:31,SubmitCommit,geertjanw
2908,2021-02-11 14:21:16,SubmitCommit,geertjanw
2908,2021-02-11 14:21:34,SubmitCommit,geertjanw
2908,2021-02-11 14:22:07,SubmitCommit,geertjanw
2908,2021-02-11 14:22:28,SubmitCommit,geertjanw
2908,2021-02-11 14:23:05,SubmitCommit,geertjanw
2908,2021-02-14 05:34:57,SubmitCommit,JaroslavTulach
2908,2021-02-15 17:52:25,SubmitCommit,neilcsmith-net
