CaseID,StartTimestamp,Activity,People
4230,2021-03-02 13:46:28,OpenPR,eksperimental
4234,2021-03-04 05:18:08,CreateBranch,aaronrenner
4234,2021-03-04 05:29:19,OpenPR,aaronrenner
4261,2021-03-16 22:36:24,ForkRepository,ijt
4261,2021-03-16 22:37:21,CreateBranch,ijt
4261,2021-03-16 23:05:12,OpenPR,ijt
4261,2021-03-17 03:01:42,ClosePR,chrismccord
4262,2021-03-16 15:26:23,ForkRepository,toyoaki-k
4262,2021-03-17 02:02:02,CreateBranch,toyoaki-k
4262,2021-05-13 01:54:09,SubmitCommit,toyoaki-k
4262,2021-03-17 02:09:09,OpenPR,toyoaki-k
4262,2021-06-22 21:13:03,ClosePR,chrismccord
4265,2021-03-19 08:48:47,ForkRepository,rktjmp
4265,2021-03-19 08:51:46,CreateBranch,rktjmp
4265,2021-03-19 09:07:16,OpenPR,rktjmp
4265,2021-04-06 13:20:26,ClosePR,Gazler
4271,2021-03-23 07:46:29,ForkRepository,ericacheong
4271,2021-03-23 07:57:23,CreateBranch,ericacheong
4271,2021-03-23 08:02:09,OpenPR,ericacheong
4271,2021-03-23 18:17:45,ClosePR,josevalim
4297,2021-04-20 17:33:30,DeleteBranch,Awlexus
4297,2021-04-19 20:08:00,SubmitCommit,Awlexus
4297,2021-04-19 23:59:10,PRReviewReject,eksperimental
4297,2021-04-19 23:59:10,PRReviewReject,eksperimental
4297,2021-04-19 23:58:37,PRReviewComment,eksperimental
4297,2021-04-19 23:59:04,PRReviewComment,eksperimental
4297,2021-04-20 16:39:03,ClosePR,mcrumm
4310,2021-05-01 19:11:58,SubmitCommit,acconrad
4310,2021-06-08 13:20:58,SubmitCommit,acconrad
4310,2021-06-16 05:49:57,PRReviewComment,totaltrash
4310,2021-06-16 05:49:56,PRReviewComment,totaltrash
4310,2021-06-16 08:13:52,PRReviewComment,cw789
4310,2021-06-16 08:13:52,PRReviewComment,cw789
4310,2021-06-22 20:37:49,ClosePR,chrismccord
4326,2021-05-12 21:27:20,CreateBranch,azizk
4326,2021-05-12 21:36:47,SubmitCommit,azizk
4326,2021-05-12 22:47:27,SubmitCommit,azizk
4326,2021-05-12 21:45:23,OpenPR,azizk
4326,2021-05-13 01:51:07,ClosePR,chrismccord
4327,2021-05-13 20:09:08,CreateBranch,azizk
4327,2021-05-13 20:10:29,OpenPR,azizk
4327,2021-06-07 21:18:58,ClosePR,josevalim
4329,2021-05-16 13:29:39,ForkRepository,sofly
4329,2021-05-16 13:51:57,CreateBranch,sofly
4329,2021-05-16 14:31:28,OpenPR,sofly
4329,2021-05-17 16:41:33,ClosePR,chrismccord
4332,2021-05-17 16:33:23,SubmitCommit,RobertDober
4332,2021-05-17 16:38:19,OpenPR,RobertDober
4332,2021-06-07 21:18:20,ClosePR,josevalim
4335,2021-05-21 07:05:44,ForkRepository,sevenseacat
4335,2021-05-21 07:35:24,SubmitCommit,sevenseacat
4335,2021-05-21 07:17:48,OpenPR,sevenseacat
4335,2021-05-21 07:37:25,ClosePR,sevenseacat
