CaseID,StartTimestamp,Activity,People
4217,2021-02-22 07:17:46,ForkRepository,fivetanley
4217,2021-02-24 19:01:51,CreateBranch,fivetanley
4217,2021-03-04 00:01:13,SubmitCommit,fivetanley
4217,2021-02-24 19:02:37,OpenPR,fivetanley
4217,2021-03-03 23:27:39,PRReviewComment,mcrumm
4217,2021-03-03 23:19:57,PRReviewComment,mcrumm
4217,2021-03-03 23:27:39,PRReviewComment,mcrumm
4217,2021-03-04 00:04:21,PRReviewComment,fivetanley
4217,2021-03-04 00:04:20,PRReviewComment,fivetanley
4217,2021-03-04 17:36:56,PRReviewComment,mcrumm
4217,2021-03-04 17:36:56,PRReviewComment,mcrumm
4217,2021-03-04 17:53:35,MergePR,josevalim
4218,2021-02-24 23:38:48,ForkRepository,4goodapp
4218,2021-02-24 23:43:10,SubmitCommit,4goodapp
4218,2021-02-24 23:44:45,OpenPR,4goodapp
4218,2021-03-07 19:49:21,MergePR,josevalim
4219,2021-02-24 23:38:48,ForkRepository,4goodapp
4219,2021-02-25 02:32:04,SubmitCommit,4goodapp
4219,2021-02-25 02:34:58,OpenPR,4goodapp
4219,2021-03-02 13:17:05,PRReviewApprove,aaronrenner
4219,2021-03-02 13:17:43,MergePR,aaronrenner
4220,2021-02-27 19:20:04,DeleteBranch,maartenvanvliet
4220,2021-02-25 18:57:23,SubmitCommit,maartenvanvliet
4220,2021-02-25 18:58:02,OpenPR,maartenvanvliet
4220,2021-02-27 16:51:29,PRReviewApprove,aaronrenner
4220,2021-02-27 16:51:44,MergePR,aaronrenner
4222,2021-02-27 18:57:18,CreateBranch,aaronrenner
4222,2021-02-27 20:38:23,DeleteBranch,aaronrenner
4222,2021-02-27 19:51:18,OpenPR,aaronrenner
4222,2021-02-27 20:30:47,PRReviewApprove,josevalim
4222,2021-02-27 20:38:20,MergePR,aaronrenner
4223,2021-02-28 04:11:36,CreateBranch,aaronrenner
4223,2021-03-01 13:10:32,DeleteBranch,aaronrenner
4223,2021-02-28 04:18:57,SubmitCommit,aaronrenner
4223,2021-02-28 04:20:09,OpenPR,aaronrenner
4223,2021-02-28 08:38:08,PRReviewApprove,josevalim
4223,2021-02-28 14:21:46,MergePR,aaronrenner
4224,2021-03-01 01:11:13,OpenPR,eksperimental
4224,2021-03-01 01:16:19,PRReviewComment,eksperimental
4224,2021-03-01 01:16:19,PRReviewComment,eksperimental
4224,2021-03-01 01:15:30,PRReviewComment,eksperimental
4224,2021-03-07 19:52:18,PRReviewComment,josevalim
4224,2021-03-07 19:52:18,PRReviewComment,josevalim
4224,2021-03-07 19:52:51,PRReviewComment,josevalim
4224,2021-03-07 19:52:51,PRReviewComment,josevalim
4224,2021-03-07 20:02:57,PRReviewComment,eksperimental
4224,2021-03-07 20:02:56,PRReviewComment,eksperimental
4224,2021-03-07 20:11:49,MergePR,josevalim
