CaseID,StartTimestamp,Activity,People
4295,2021-04-19 09:53:49,CreateBranch,dependabot[bot]
4295,2021-06-22 14:20:42,DeleteBranch,dependabot[bot]
4295,2021-04-19 09:53:59,OpenPR,dependabot[bot]
4295,2021-06-22 14:20:41,ClosePR,dependabot[bot]
4296,2021-04-19 09:56:13,CreateBranch,dependabot[bot]
4296,2021-06-22 14:20:36,DeleteBranch,dependabot[bot]
4296,2021-05-20 18:34:36,SubmitCommit,dependabot[bot]
4296,2021-04-19 09:56:24,OpenPR,dependabot[bot]
4296,2021-06-22 14:20:35,ClosePR,dependabot[bot]
4315,2021-05-06 22:44:27,CreateBranch,dependabot[bot]
4315,2021-06-22 14:20:37,DeleteBranch,dependabot[bot]
4315,2021-05-06 22:44:37,OpenPR,dependabot[bot]
4315,2021-06-22 14:20:36,ClosePR,dependabot[bot]
4657,2022-01-13 16:54:23,DeleteBranch,mcrumm
4657,2022-01-13 16:49:07,OpenPR,mcrumm
4657,2022-01-13 16:53:51,ClosePR,mcrumm
4672,2022-01-27 14:41:32,CreateBranch,dependabot[bot]
4672,2022-04-14 14:37:27,DeleteBranch,chrismccord
4672,2022-01-27 14:41:42,OpenPR,dependabot[bot]
4672,2022-04-14 14:37:25,ClosePR,chrismccord
4693,2022-02-18 23:56:40,CreateBranch,dependabot[bot]
4693,2022-02-27 02:14:11,ClosePR,dependabot[bot]
4755,2022-04-13 15:55:54,CreateBranch,dependabot[bot]
4755,2022-04-13 16:00:50,DeleteBranch,dependabot[bot]
4755,2022-04-13 15:56:05,OpenPR,dependabot[bot]
4755,2022-04-13 16:00:49,ClosePR,dependabot[bot]
4761,2022-04-13 15:56:23,CreateBranch,dependabot[bot]
4761,2022-04-13 16:04:28,DeleteBranch,chrismccord
4761,2022-04-13 15:56:33,OpenPR,dependabot[bot]
4761,2022-04-13 16:04:26,ClosePR,chrismccord
4769,2022-04-13 16:56:19,CreateBranch,dependabot[bot]
4769,2022-04-14 14:18:14,DeleteBranch,dependabot[bot]
4769,2022-04-13 16:56:29,OpenPR,dependabot[bot]
4769,2022-04-14 14:18:06,ClosePR,chrismccord
4770,2022-04-14 10:00:45,CreateBranch,dependabot[bot]
4770,2022-04-14 14:18:15,DeleteBranch,dependabot[bot]
4770,2022-04-14 10:00:56,OpenPR,dependabot[bot]
4771,2022-04-14 10:01:08,CreateBranch,dependabot[bot]
4771,2022-04-14 14:18:15,DeleteBranch,dependabot[bot]
4771,2022-04-14 10:01:19,OpenPR,dependabot[bot]
4771,2022-04-14 14:18:07,ClosePR,chrismccord
4772,2022-04-14 10:01:18,CreateBranch,dependabot[bot]
4772,2022-04-14 14:18:15,DeleteBranch,dependabot[bot]
4772,2022-04-14 14:18:07,ClosePR,chrismccord
4774,2022-04-14 14:13:02,CreateBranch,dependabot[bot]
4774,2022-04-14 14:16:39,SubmitCommit,dependabot[bot]
4774,2022-04-14 14:13:12,OpenPR,dependabot[bot]
4774,2022-04-14 14:16:50,ClosePR,chrismccord
4788,2022-04-15 10:34:37,CreateBranch,dependabot[bot]
4788,2022-04-16 20:48:15,DeleteBranch,dependabot[bot]
4788,2022-04-15 10:34:48,OpenPR,dependabot[bot]
4788,2022-04-16 20:48:06,ClosePR,aaronrenner
4821,2022-05-09 10:35:09,CreateBranch,dependabot[bot]
4821,2022-05-11 17:39:39,DeleteBranch,dependabot[bot]
4821,2022-05-09 10:35:20,OpenPR,dependabot[bot]
4821,2022-05-11 17:39:38,ClosePR,dependabot[bot]
4824,2022-05-11 17:39:25,CreateBranch,dependabot[bot]
4824,2022-06-06 10:23:56,DeleteBranch,dependabot[bot]
4824,2022-05-30 21:58:53,SubmitCommit,dependabot[bot]
4824,2022-05-11 17:39:35,OpenPR,dependabot[bot]
4824,2022-06-06 10:23:56,ClosePR,dependabot[bot]
4835,2022-06-06 10:24:10,DeleteBranch,dependabot[bot]
4835,2022-05-30 21:59:03,SubmitCommit,dependabot[bot]
4835,2022-05-23 10:22:16,OpenPR,dependabot[bot]
4835,2022-06-06 10:24:10,ClosePR,dependabot[bot]
4836,2022-05-30 21:58:29,SubmitCommit,dependabot[bot]
4836,2022-05-23 10:22:55,OpenPR,dependabot[bot]
4836,2022-06-08 17:48:06,ClosePR,dependabot[bot]
4837,2022-05-23 10:23:47,CreateBranch,dependabot[bot]
4837,2022-06-06 10:26:15,DeleteBranch,dependabot[bot]
4837,2022-05-30 21:58:36,SubmitCommit,dependabot[bot]
4837,2022-06-06 10:26:15,ClosePR,dependabot[bot]
4838,2022-05-23 10:24:20,CreateBranch,dependabot[bot]
4838,2022-05-30 10:35:14,DeleteBranch,dependabot[bot]
4838,2022-05-23 10:24:31,OpenPR,dependabot[bot]
4838,2022-05-30 10:35:14,ClosePR,dependabot[bot]
4844,2022-05-30 21:58:06,DeleteBranch,dependabot[bot]
4844,2022-05-30 21:58:05,ClosePR,dependabot[bot]
4845,2022-05-30 10:35:10,CreateBranch,dependabot[bot]
4845,2022-06-08 17:48:07,DeleteBranch,dependabot[bot]
4845,2022-05-30 10:35:10,OpenPR,dependabot[bot]
