CaseID,StartTimestamp,Activity,People
4247,2021-03-08 18:18:09,CreateBranch,dependabot[bot]
4247,2021-04-19 06:37:35,DeleteBranch,josevalim
4247,2021-03-08 18:18:19,OpenPR,dependabot[bot]
4247,2021-04-19 06:37:30,MergePR,josevalim
4279,2021-03-29 17:18:22,CreateBranch,dependabot[bot]
4279,2021-04-19 06:37:14,DeleteBranch,josevalim
4279,2021-03-29 17:18:33,OpenPR,dependabot[bot]
4279,2021-04-19 06:37:09,MergePR,josevalim
4309,2021-04-30 01:01:53,CreateBranch,mcrumm
4309,2021-05-13 18:32:26,DeleteBranch,chrismccord
4309,2021-05-06 21:25:54,SubmitCommit,mcrumm
4309,2021-05-13 18:31:02,SubmitCommit,chrismccord
4309,2021-04-30 01:02:41,OpenPR,mcrumm
4309,2021-04-30 01:47:53,PRReviewApprove,jeregrine
4309,2021-05-13 18:30:54,PRReviewComment,chrismccord
4309,2021-05-13 18:30:54,PRReviewComment,chrismccord
4309,2021-05-13 18:32:21,MergePR,chrismccord
4318,2021-05-09 10:10:02,CreateBranch,dependabot[bot]
4318,2021-06-22 20:37:11,DeleteBranch,dependabot[bot]
4318,2021-05-09 10:10:12,OpenPR,dependabot[bot]
4318,2021-06-22 20:37:04,MergePR,chrismccord
4319,2021-05-09 15:44:13,CreateBranch,dependabot[bot]
4319,2021-06-22 20:36:49,DeleteBranch,chrismccord
4319,2021-05-09 15:44:23,OpenPR,dependabot[bot]
4319,2021-06-22 20:36:46,MergePR,chrismccord
4346,2021-06-12 06:58:50,CreateBranch,josevalim
4346,2021-06-14 17:51:39,DeleteBranch,josevalim
4346,2021-06-12 07:05:59,SubmitCommit,josevalim
4346,2021-06-12 07:15:54,SubmitCommit,josevalim
4346,2021-06-12 07:17:18,SubmitCommit,josevalim
4346,2021-06-12 08:16:39,SubmitCommit,josevalim
4346,2021-06-12 08:28:17,SubmitCommit,josevalim
4346,2021-06-12 13:02:25,SubmitCommit,josevalim
4346,2021-06-14 15:31:58,SubmitCommit,josevalim
4346,2021-06-14 15:39:13,SubmitCommit,josevalim
4346,2021-06-14 15:40:38,SubmitCommit,josevalim
4346,2021-06-14 16:07:50,SubmitCommit,josevalim
4346,2021-06-14 16:20:36,SubmitCommit,josevalim
4346,2021-06-14 17:38:41,SubmitCommit,josevalim
4346,2021-06-12 06:59:22,OpenPR,josevalim
