CaseID,StartTimestamp,Activity,People
10219,2022-01-31 15:15:22,CreateBranch,dependabot[bot]
10219,2022-02-02 08:39:43,DeleteBranch,yossigo
10219,2022-02-02 08:22:25,SubmitCommit,yossigo
10219,2022-01-31 15:15:33,OpenPR,dependabot[bot]
10219,2022-02-02 08:38:53,PRReviewApprove,yossigo
10219,2022-02-02 08:39:35,MergePR,yossigo
10390,2022-03-30 13:17:55,SubmitCommit,dependabot[bot]
10390,2022-03-07 15:21:27,OpenPR,dependabot[bot]
10463,2022-03-21 15:15:02,CreateBranch,dependabot[bot]
10463,2022-03-30 13:16:33,DeleteBranch,dependabot[bot]
10463,2022-03-21 15:15:13,OpenPR,dependabot[bot]
10463,2022-03-30 13:15:59,PRReviewApprove,yossigo
10566,2022-04-11 15:43:05,CreateBranch,dependabot[bot]
10566,2022-04-12 10:23:31,PRReviewApprove,yossigo
10566,2022-04-12 10:23:42,MergePR,yossigo
10635,2022-04-25 15:16:17,CreateBranch,dependabot[bot]
10635,2022-05-04 08:40:15,DeleteBranch,yossigo
10635,2022-05-02 09:51:52,SubmitCommit,yossigo
10635,2022-04-25 15:16:27,OpenPR,dependabot[bot]
10635,2022-05-02 09:34:51,PRReviewApprove,yossigo
10635,2022-05-04 08:40:09,MergePR,yossigo
