CaseID,StartTimestamp,Activity,People
627,2021-01-08 18:40:53,ForkRepository,ddobrin
627,2021-01-10 16:32:32,SubmitCommit,ddobrin
627,2021-01-10 16:33:39,OpenPR,ddobrin
627,2021-01-11 10:02:34,ClosePR,olegz
646,2021-02-09 19:20:52,CreateBranch,dzou
646,2021-02-09 19:23:13,OpenPR,dzou
646,2021-02-09 20:13:45,PRReviewApprove,meltsufin
646,2021-03-02 23:47:04,ClosePR,dzou
655,2021-02-20 18:08:42,ForkRepository,apoupard
655,2021-02-20 18:36:44,CreateBranch,apoupard
655,2021-02-21 17:37:06,SubmitCommit,apoupard
655,2021-02-21 23:47:10,SubmitCommit,apoupard
655,2021-02-23 00:05:45,SubmitCommit,apoupard
655,2021-02-24 18:18:41,SubmitCommit,apoupard
655,2021-02-23 22:34:50,OpenPR,apoupard
655,2021-02-24 13:38:30,PRReviewComment,olegz
655,2021-02-24 13:38:30,PRReviewComment,olegz
655,2021-02-24 13:44:30,PRReviewComment,olegz
655,2021-02-24 13:44:30,PRReviewComment,olegz
655,2021-02-24 18:22:54,PRReviewComment,apoupardsmartb
655,2021-02-24 18:22:54,PRReviewComment,apoupardsmartb
655,2021-02-24 18:23:03,PRReviewComment,apoupardsmartb
655,2021-02-24 18:23:02,PRReviewComment,apoupardsmartb
655,2021-03-02 07:56:27,ClosePR,olegz
656,2021-02-22 23:45:15,ForkRepository,pguti778
656,2021-02-23 23:21:07,SubmitCommit,pguti778
656,2021-02-24 14:02:11,OpenPR,pguti778
656,2021-02-24 14:05:40,ClosePR,olegz
670,2021-03-17 18:43:55,CreateBranch,sobychacko
670,2021-03-17 18:44:55,OpenPR,sobychacko
670,2021-03-18 18:59:33,ClosePR,olegz
693,2021-04-30 22:09:57,CreateBranch,dzou
693,2021-04-30 22:11:29,SubmitCommit,dzou
693,2021-04-30 22:14:10,SubmitCommit,dzou
693,2021-04-30 22:20:28,SubmitCommit,dzou
693,2021-04-30 22:27:12,OpenPR,dzou
693,2021-05-03 16:14:01,PRReviewApprove,meltsufin
700,2021-05-19 12:10:50,ForkRepository,dmittriy13
700,2021-05-19 13:37:39,CreateBranch,dmittriy13
700,2021-05-19 14:24:08,SubmitCommit,dmittriy13
700,2021-05-19 21:00:32,SubmitCommit,dmittriy13
700,2021-05-19 13:42:49,OpenPR,dmittriy13
700,2021-05-20 05:04:46,ClosePR,olegz
702,2021-05-19 12:10:50,ForkRepository,dmittriy13
702,2021-05-21 15:08:17,OpenPR,dmittriy13
702,2021-05-24 12:01:43,ClosePR,olegz
719,2021-08-03 08:45:23,ForkRepository,ripper2hl
719,2021-08-03 08:46:15,CreateBranch,ripper2hl
719,2021-08-03 08:48:29,OpenPR,ripper2hl
719,2021-08-06 13:51:32,ClosePR,olegz
733,2021-08-30 12:55:12,ClosePR,olegz
740,2021-09-08 05:36:06,CreateBranch,sobychacko
740,2021-09-08 05:36:26,OpenPR,sobychacko
740,2021-09-30 09:52:34,ClosePR,olegz
767,2021-11-11 09:58:40,ForkRepository,msailes
767,2021-11-11 19:31:41,CreateBranch,msailes
767,2021-11-11 19:38:38,SubmitCommit,msailes
767,2021-11-11 19:35:16,OpenPR,msailes
767,2021-11-12 12:08:10,ClosePR,olegz
775,2021-11-29 22:04:44,CreateBranch,spencergibb
775,2021-11-30 21:06:25,SubmitCommit,spencergibb
775,2021-11-29 22:05:55,OpenPR,spencergibb
775,2021-12-01 07:59:59,ClosePR,olegz
782,2021-12-10 22:26:02,ForkRepository,elefeint
782,2021-12-10 22:50:43,CreateBranch,elefeint
782,2021-12-10 22:53:24,OpenPR,elefeint
782,2021-12-13 11:58:18,ClosePR,olegz
798,2022-02-02 17:08:48,CreateBranch,artembilan
798,2022-02-02 19:16:22,SubmitCommit,artembilan
798,2022-02-02 17:09:00,OpenPR,artembilan
798,2022-02-02 18:35:09,PRReviewComment,onobc
798,2022-02-02 18:35:08,PRReviewComment,onobc
798,2022-02-02 18:36:26,PRReviewComment,onobc
798,2022-02-02 18:36:26,PRReviewComment,onobc
798,2022-02-02 18:38:58,PRReviewComment,onobc
798,2022-02-02 18:38:58,PRReviewComment,onobc
798,2022-02-02 18:39:18,PRReviewComment,olegz
798,2022-02-02 18:39:18,PRReviewComment,olegz
798,2022-02-02 18:43:17,PRReviewComment,artembilan
798,2022-02-02 18:43:16,PRReviewComment,artembilan
798,2022-02-02 18:43:22,PRReviewComment,olegz
798,2022-02-02 18:43:22,PRReviewComment,olegz
798,2022-02-02 18:44:21,PRReviewComment,artembilan
798,2022-02-02 18:44:20,PRReviewComment,artembilan
798,2022-02-02 19:40:07,PRReviewApprove,onobc
798,2022-02-03 08:48:03,PRReviewApprove,marcingrzejszczak
798,2022-02-07 14:23:43,ClosePR,olegz
807,2022-02-05 16:47:09,ForkRepository,onobc
807,2022-02-12 02:30:05,CreateBranch,onobc
807,2022-02-12 02:31:19,OpenPR,onobc
807,2022-02-12 02:39:50,PRReviewComment,onobc
807,2022-02-12 02:39:50,PRReviewComment,onobc
807,2022-02-12 02:34:45,PRReviewComment,onobc
807,2022-02-12 02:38:52,PRReviewComment,onobc
807,2022-02-12 02:32:02,PRReviewComment,onobc
807,2022-02-16 10:05:00,PRReviewComment,olegz
807,2022-02-16 10:04:59,PRReviewComment,olegz
807,2022-02-16 10:05:34,ClosePR,olegz
807,2022-02-16 15:20:29,PRReviewComment,olegz
807,2022-02-16 15:20:28,PRReviewComment,olegz
807,2022-02-16 15:47:38,PRReviewComment,onobc
807,2022-02-16 15:47:37,PRReviewComment,onobc
807,2022-02-16 15:53:22,PRReviewComment,onobc
807,2022-02-16 15:53:21,PRReviewComment,onobc
808,2022-02-05 16:47:09,ForkRepository,onobc
808,2022-02-12 16:25:24,CreateBranch,onobc
808,2022-02-12 16:27:55,OpenPR,onobc
808,2022-02-16 10:24:01,ClosePR,olegz
809,2022-02-13 11:39:00,ForkRepository,rssdev10
809,2022-02-13 11:41:34,SubmitCommit,rssdev10
809,2022-02-13 16:09:41,SubmitCommit,rssdev10
809,2022-02-15 19:38:41,ClosePR,olegz
810,2022-02-05 16:47:09,ForkRepository,onobc
810,2022-02-13 16:22:06,OpenPR,onobc
811,2022-02-05 16:47:09,ForkRepository,onobc
811,2022-02-13 17:06:39,PRReviewComment,onobc
811,2022-02-13 17:07:10,PRReviewComment,onobc
811,2022-02-13 17:07:10,PRReviewComment,onobc
811,2022-02-13 17:08:46,PRReviewComment,onobc
811,2022-02-13 17:08:46,PRReviewComment,onobc
811,2022-02-15 16:01:56,ClosePR,olegz
813,2022-02-05 16:47:09,ForkRepository,onobc
813,2022-02-19 03:37:29,CreateBranch,onobc
813,2022-02-19 03:39:27,OpenPR,onobc
814,2022-02-05 16:47:09,ForkRepository,onobc
814,2022-02-19 06:38:09,CreateBranch,onobc
814,2022-02-19 06:38:31,OpenPR,onobc
814,2022-02-19 06:44:08,PRReviewComment,onobc
814,2022-02-19 06:44:08,PRReviewComment,onobc
814,2022-02-19 06:40:23,PRReviewComment,onobc
814,2022-02-19 06:43:55,PRReviewComment,onobc
814,2022-02-19 06:41:23,PRReviewComment,onobc
814,2022-02-19 06:42:43,PRReviewComment,onobc
814,2022-02-23 14:45:16,ClosePR,olegz
820,2022-02-05 16:47:09,ForkRepository,onobc
820,2022-03-01 01:49:58,CreateBranch,onobc
820,2022-03-01 04:36:22,SubmitCommit,onobc
820,2022-03-01 19:55:29,SubmitCommit,onobc
820,2022-03-01 01:52:46,OpenPR,onobc
820,2022-03-01 14:26:04,PRReviewComment,RouxAntoine
820,2022-03-01 14:26:04,PRReviewComment,RouxAntoine
820,2022-03-01 14:21:18,PRReviewComment,RouxAntoine
820,2022-03-08 13:57:46,ClosePR,olegz
826,2022-02-05 16:47:09,ForkRepository,onobc
826,2022-03-13 19:29:12,CreateBranch,onobc
826,2022-03-13 19:40:12,SubmitCommit,onobc
826,2022-03-15 15:11:11,SubmitCommit,onobc
826,2022-03-13 19:37:26,OpenPR,onobc
826,2022-03-13 19:38:20,PRReviewComment,onobc
826,2022-03-13 19:38:20,PRReviewComment,onobc
826,2022-03-13 19:39:18,PRReviewComment,onobc
826,2022-03-13 19:39:17,PRReviewComment,onobc
826,2022-03-14 13:40:10,PRReviewComment,sbrannen
826,2022-03-14 13:40:09,PRReviewComment,sbrannen
826,2022-03-14 15:21:04,PRReviewComment,onobc
826,2022-03-14 15:21:05,PRReviewComment,onobc
826,2022-03-15 15:11:50,PRReviewComment,onobc
826,2022-03-15 15:11:49,PRReviewComment,onobc
826,2022-03-15 15:13:03,PRReviewComment,onobc
826,2022-03-15 15:13:02,PRReviewComment,onobc
826,2022-03-23 10:33:59,ClosePR,olegz
831,2022-03-17 18:55:28,ForkRepository,rahulmlokurte
831,2022-03-17 19:42:38,CreateBranch,rahulmlokurte
831,2022-03-22 18:37:12,DeleteBranch,rahulmlokurte
831,2022-03-17 19:46:40,OpenPR,rahulmlokurte
831,2022-03-21 13:45:30,ClosePR,olegz
842,2022-03-14 10:21:14,ForkRepository,Twometer
842,2022-03-28 15:32:37,SubmitCommit,Twometer
842,2022-03-28 15:31:38,OpenPR,Twometer
842,2022-04-01 07:36:59,ClosePR,Twometer
846,2022-03-31 14:44:28,ForkRepository,stefnoten
846,2022-03-31 15:37:42,SubmitCommit,stefnoten
846,2022-03-31 15:44:31,OpenPR,stefnoten
846,2022-04-01 10:23:28,ClosePR,olegz
848,2022-03-27 14:31:30,ForkRepository,testivy
848,2022-04-01 01:42:40,SubmitCommit,testivy
848,2022-04-01 01:47:24,OpenPR,testivy
848,2022-04-01 10:29:21,ClosePR,olegz
850,2022-03-17 18:55:28,ForkRepository,rahulmlokurte
850,2022-04-04 08:21:56,CreateBranch,rahulmlokurte
850,2022-05-09 17:10:42,DeleteBranch,rahulmlokurte
850,2022-04-04 08:26:04,OpenPR,rahulmlokurte
850,2022-04-21 07:03:26,ClosePR,olegz
853,2022-02-05 16:47:09,ForkRepository,onobc
853,2022-04-11 04:11:12,CreateBranch,onobc
853,2022-04-11 04:11:23,OpenPR,onobc
853,2022-04-11 04:12:01,PRReviewComment,onobc
853,2022-04-11 04:12:00,PRReviewComment,onobc
853,2022-04-11 04:13:18,PRReviewComment,onobc
853,2022-04-11 04:13:18,PRReviewComment,onobc
853,2022-04-21 08:42:21,ClosePR,olegz
855,2022-04-12 09:00:38,ForkRepository,vidourem
855,2022-04-12 12:04:21,SubmitCommit,vidourem
855,2022-04-12 12:18:04,OpenPR,vidourem
855,2022-04-15 00:26:21,PRReviewApprove,cdurham-life360
855,2022-04-21 09:22:39,ClosePR,olegz
860,2022-03-14 10:21:14,ForkRepository,Twometer
860,2022-04-20 07:43:13,CreateBranch,Twometer
860,2022-04-20 09:45:06,SubmitCommit,Twometer
860,2022-04-20 09:45:39,OpenPR,Twometer
860,2022-04-21 07:11:59,ClosePR,olegz
869,2022-03-17 18:55:28,ForkRepository,rahulmlokurte
869,2022-05-09 17:13:22,CreateBranch,rahulmlokurte
869,2022-05-11 15:40:20,DeleteBranch,rahulmlokurte
869,2022-05-09 17:16:29,SubmitCommit,rahulmlokurte
869,2022-05-09 17:21:46,SubmitCommit,rahulmlokurte
869,2022-05-09 17:17:35,OpenPR,rahulmlokurte
869,2022-05-11 15:40:10,ClosePR,rahulmlokurte
871,2022-05-12 18:34:56,CreateBranch,artembilan
871,2022-05-12 18:35:11,OpenPR,artembilan
889,2022-06-10 18:10:40,ForkRepository,atyamlalithya
889,2022-06-27 19:29:37,SubmitCommit,atyamlalithya
889,2022-06-27 19:29:54,SubmitCommit,atyamlalithya
889,2022-06-27 19:38:53,OpenPR,atyamlalithya
