CaseID,StartTimestamp,Activity,People
637,2021-01-26 05:17:28,ForkRepository,timmyowl
637,2021-01-26 05:18:37,SubmitCommit,timmyowl
637,2021-01-26 05:18:49,OpenPR,timmyowl
637,2021-01-26 07:13:24,MergePR,olegz
658,2021-03-02 11:36:50,ForkRepository,KSVarun
658,2021-03-02 11:52:25,SubmitCommit,KSVarun
658,2021-03-02 11:54:18,OpenPR,KSVarun
658,2021-03-03 05:40:12,MergePR,olegz
659,2021-02-22 23:45:15,ForkRepository,pguti778
659,2021-03-03 01:09:42,SubmitCommit,pguti778
659,2021-03-03 01:09:55,OpenPR,pguti778
659,2021-03-03 15:17:31,MergePR,olegz
683,2021-04-09 16:48:06,CreateBranch,tdanylchuk
683,2021-04-10 15:19:27,DeleteBranch,tdanylchuk
683,2021-04-09 16:48:52,OpenPR,tdanylchuk
683,2021-04-10 05:57:21,MergePR,olegz
687,2021-04-14 15:45:06,CreateBranch,meltsufin
687,2021-04-14 18:58:20,DeleteBranch,meltsufin
687,2021-04-14 15:45:16,OpenPR,meltsufin
687,2021-04-14 17:41:13,MergePR,olegz
690,2021-04-22 23:59:58,CreateBranch,sobychacko
690,2021-04-23 00:00:15,OpenPR,sobychacko
690,2021-04-26 13:24:22,MergePR,olegz
690,2021-04-26 13:24:23,MergePR,olegz
715,2021-07-15 16:05:16,ForkRepository,jon-ruckwood
715,2021-07-15 16:10:24,CreateBranch,jon-ruckwood
715,2021-07-15 16:12:29,OpenPR,jon-ruckwood
715,2021-07-16 13:29:36,MergePR,olegz
721,2021-08-17 06:17:51,ForkRepository,YunLemon
721,2021-08-17 06:18:20,CreateBranch,YunLemon
721,2021-08-17 06:18:20,OpenPR,YunLemon
721,2021-09-30 09:53:21,MergePR,olegz
763,2021-11-05 07:19:15,ForkRepository,GreenRover
763,2021-11-05 08:53:44,SubmitCommit,GreenRover
763,2021-11-05 09:02:04,OpenPR,GreenRover
763,2021-11-08 10:14:22,MergePR,olegz
800,2022-02-03 09:26:34,ForkRepository,salaboy
800,2022-02-03 09:29:55,CreateBranch,salaboy
800,2022-02-03 09:32:14,OpenPR,salaboy
800,2022-02-03 09:33:04,MergePR,olegz
818,2022-02-24 11:42:09,ForkRepository,FalkWoldmann6232
818,2022-02-24 11:44:50,SubmitCommit,FalkWoldmann6232
818,2022-02-24 11:47:10,OpenPR,FalkWoldmann6232
818,2022-03-08 14:14:55,MergePR,olegz
827,2022-03-14 10:21:14,ForkRepository,Twometer
827,2022-03-14 10:34:01,CreateBranch,Twometer
827,2022-03-14 10:41:30,SubmitCommit,Twometer
827,2022-03-14 10:39:55,OpenPR,Twometer
827,2022-03-21 13:47:41,MergePR,olegz
875,2022-05-13 15:03:55,ForkRepository,ddixit14
875,2022-05-23 18:50:42,CreateBranch,ddixit14
875,2022-05-25 14:37:43,SubmitCommit,ddixit14
875,2022-05-25 21:13:07,SubmitCommit,ddixit14
875,2022-05-26 16:34:01,SubmitCommit,ddixit14
875,2022-05-23 18:51:54,OpenPR,ddixit14
875,2022-05-23 19:13:32,PRReviewReject,elefeint
875,2022-05-23 19:07:22,PRReviewComment,elefeint
875,2022-05-23 19:13:32,PRReviewReject,elefeint
875,2022-05-23 19:09:09,PRReviewComment,elefeint
875,2022-05-23 19:08:20,PRReviewComment,elefeint
875,2022-05-25 14:46:38,PRReviewComment,elefeint
875,2022-05-25 14:46:37,PRReviewComment,elefeint
875,2022-05-25 15:02:06,PRReviewComment,elefeint
875,2022-05-25 15:02:24,PRReviewComment,elefeint
875,2022-05-25 15:02:59,PRReviewComment,elefeint
875,2022-05-25 19:11:22,PRReviewComment,elefeint
875,2022-05-26 14:04:20,PRReviewReject,elefeint
875,2022-05-26 14:04:20,PRReviewReject,elefeint
875,2022-05-26 15:52:34,PRReviewReject,elefeint
875,2022-05-26 16:34:20,PRReviewComment,ddixit14
875,2022-05-26 16:34:25,PRReviewComment,ddixit14
875,2022-05-26 16:34:25,PRReviewComment,ddixit14
875,2022-05-30 11:34:54,MergePR,olegz
