CaseID,StartTimestamp,Activity,People
26336,2021-01-03 15:43:51,OpenPR,liugq2016
26336,2021-01-03 15:47:30,ClosePR,bclozel
26340,2021-01-04 01:19:51,ForkRepository,paulcwarren
26340,2021-01-04 01:20:43,CreateBranch,paulcwarren
26340,2021-01-04 21:28:21,SubmitCommit,paulcwarren
26340,2021-01-04 01:22:01,OpenPR,paulcwarren
26340,2021-01-06 19:51:59,ClosePR,bclozel
26348,2021-01-05 16:25:27,CreateBranch,runningcode
26348,2021-01-11 09:21:50,DeleteBranch,runningcode
26348,2021-01-05 16:54:14,SubmitCommit,runningcode
26348,2021-01-05 16:25:38,OpenPR,runningcode
26348,2021-01-09 03:26:22,PRReviewApprove,mkakim95
26348,2021-01-11 08:41:02,ClosePR,bclozel
26362,2021-01-08 09:07:32,ForkRepository,Hubtwork
26362,2021-01-08 11:03:53,SubmitCommit,Hubtwork
26362,2021-01-08 11:07:13,OpenPR,Hubtwork
26362,2021-01-08 12:24:14,ClosePR,rstoyanchev
26366,2021-01-07 21:39:04,ForkRepository,rod2j
26366,2021-01-11 00:41:04,CreateBranch,rod2j
26366,2021-01-11 00:46:38,SubmitCommit,rod2j
26366,2021-01-11 00:48:48,OpenPR,rod2j
26366,2021-01-11 09:20:24,PRReviewComment,sbrannen
26366,2021-01-11 09:20:24,PRReviewComment,sbrannen
26366,2021-01-11 09:28:57,PRReviewComment,rod2j
26366,2021-01-11 09:28:56,PRReviewComment,rod2j
26366,2021-01-11 09:36:46,PRReviewComment,jhoeller
26366,2021-01-11 09:36:46,PRReviewComment,jhoeller
26366,2021-01-11 10:12:53,ClosePR,jhoeller
26374,2021-01-12 12:28:19,CreateBranch,runningcode
26374,2021-01-12 12:59:56,DeleteBranch,runningcode
26374,2021-01-12 12:28:30,OpenPR,runningcode
26374,2021-01-12 12:47:06,ClosePR,bclozel
26376,2021-01-11 14:20:14,CreateBranch,lijinxiong
26376,2021-01-12 13:58:09,OpenPR,lijinxiong
26376,2021-01-13 05:06:07,ClosePR,lijinxiong
26376,2021-01-13 05:11:27,ReopenPR,lijinxiong
26383,2021-01-14 05:32:26,CreateBranch,liweifan0616
26383,2021-01-14 06:24:35,OpenPR,liweifan0616
