CaseID,StartTimestamp,Activity,People
26418,2021-01-21 04:49:47,CreateBranch,limo520
26418,2021-01-21 04:58:41,OpenPR,limo520
26418,2021-02-14 16:29:09,MergePR,jhoeller
26436,2021-01-24 12:43:37,ForkRepository,daisuzz
26436,2021-01-24 13:16:05,CreateBranch,daisuzz
26436,2021-01-24 15:49:50,DeleteBranch,daisuzz
26436,2021-01-24 13:18:05,OpenPR,daisuzz
26436,2021-01-24 13:38:34,MergePR,sbrannen
26442,2021-01-25 11:50:16,ForkRepository,koen-serneels
26442,2021-01-25 21:15:30,SubmitCommit,koen-serneels
26442,2021-01-25 21:18:23,OpenPR,koen-serneels
26442,2021-03-12 10:15:45,MergePR,jhoeller
26446,2021-01-26 15:03:37,CreateBranch,izeye
26446,2021-01-26 23:28:18,DeleteBranch,izeye
26446,2021-01-26 15:03:40,OpenPR,izeye
26446,2021-01-26 16:15:48,MergePR,rstoyanchev
26450,2021-01-27 10:27:27,DeleteBranch,izeye
26450,2021-01-27 03:51:05,SubmitCommit,izeye
26450,2021-01-27 03:52:48,OpenPR,izeye
26450,2021-01-27 10:23:23,MergePR,sbrannen
26471,2021-01-29 02:39:36,CreateBranch,quaff
26471,2021-02-01 01:02:30,SubmitCommit,quaff
26471,2021-02-01 01:02:41,SubmitCommit,quaff
26471,2021-01-29 02:39:38,OpenPR,quaff
26471,2021-02-15 10:15:37,MergePR,jhoeller
26484,2021-02-01 08:04:15,CreateBranch,limo520
26484,2021-02-01 08:06:11,OpenPR,limo520
26484,2021-02-01 08:27:41,MergePR,rstoyanchev
26487,2021-02-02 16:56:32,DeleteBranch,making
26487,2021-02-01 13:46:45,SubmitCommit,making
26487,2021-02-01 13:55:54,OpenPR,making
26487,2021-02-02 16:55:11,MergePR,rstoyanchev
26551,2021-02-15 15:02:12,ForkRepository,cprayer
26551,2021-02-15 15:17:36,CreateBranch,cprayer
26551,2021-02-16 01:12:53,DeleteBranch,cprayer
26551,2021-02-15 16:02:36,SubmitCommit,cprayer
26551,2021-02-15 15:20:00,OpenPR,cprayer
26551,2021-02-15 18:40:45,MergePR,sbrannen
26556,2021-02-15 15:02:12,ForkRepository,cprayer
26556,2021-02-16 16:44:44,CreateBranch,cprayer
26556,2021-02-17 00:40:51,DeleteBranch,cprayer
26556,2021-02-16 17:04:34,SubmitCommit,cprayer
26556,2021-02-16 17:07:54,OpenPR,cprayer
26556,2021-02-16 17:22:00,MergePR,sbrannen
26574,2021-02-20 05:28:28,SubmitCommit,candrews
26574,2021-02-20 05:35:44,OpenPR,candrews
26574,2021-02-25 16:55:25,MergePR,jhoeller
26575,2021-02-20 18:07:18,SubmitCommit,candrews
26575,2021-02-20 06:06:04,OpenPR,candrews
26575,2021-02-25 16:55:55,MergePR,jhoeller
26586,2021-02-22 04:20:22,CreateBranch,izeye
26586,2021-02-22 10:10:01,DeleteBranch,izeye
26586,2021-02-22 04:20:32,OpenPR,izeye
26586,2021-02-22 10:05:26,MergePR,sbrannen
26592,2021-02-23 09:58:10,DeleteBranch,izeye
26592,2021-02-23 05:13:30,SubmitCommit,izeye
26592,2021-02-23 05:13:19,OpenPR,izeye
26592,2021-02-23 09:43:39,MergePR,sbrannen
26613,2021-02-26 08:06:49,ForkRepository,kevin0x90
26613,2021-02-26 15:49:20,CreateBranch,kevin0x90
26613,2021-02-26 15:52:10,OpenPR,kevin0x90
26613,2021-02-26 16:00:33,MergePR,jhoeller
26622,2021-02-11 16:28:23,ForkRepository,alex-krav
26622,2021-03-01 15:55:25,CreateBranch,alex-krav
26622,2021-03-01 15:56:04,OpenPR,alex-krav
26622,2021-03-01 19:22:59,MergePR,sbrannen
26634,2021-03-03 11:48:23,CreateBranch,chenqimiao
26634,2021-04-29 13:59:02,DeleteBranch,chenqimiao
26634,2021-03-04 11:10:41,SubmitCommit,chenqimiao
26634,2021-03-03 11:55:01,OpenPR,chenqimiao
26634,2021-03-08 17:56:23,MergePR,jhoeller
26635,2021-02-15 15:02:12,ForkRepository,cprayer
26635,2021-03-03 13:21:13,CreateBranch,cprayer
26635,2021-03-03 13:49:32,DeleteBranch,cprayer
26635,2021-03-03 13:32:12,OpenPR,cprayer
26635,2021-03-03 13:44:41,MergePR,sbrannen
26639,2021-03-04 08:27:36,CreateBranch,chenqimiao
26639,2021-05-13 12:34:57,DeleteBranch,chenqimiao
26639,2021-03-04 09:00:29,OpenPR,chenqimiao
26639,2021-03-08 17:56:47,MergePR,jhoeller
26640,2021-02-11 16:28:23,ForkRepository,alex-krav
26640,2021-03-04 17:20:21,CreateBranch,alex-krav
26640,2021-03-04 17:21:50,OpenPR,alex-krav
26640,2021-03-05 14:07:23,MergePR,rstoyanchev
26658,2021-03-11 14:57:33,MergePR,jhoeller
26675,2021-03-13 11:26:59,ForkRepository,Rebwon
26675,2021-03-14 12:53:05,CreateBranch,Rebwon
26675,2021-04-14 01:39:58,DeleteBranch,Rebwon
26675,2021-03-14 12:57:03,OpenPR,Rebwon
26675,2021-03-15 11:02:41,MergePR,sbrannen
26676,2021-03-14 14:56:04,CreateBranch,drgnchan
26676,2021-03-14 14:58:05,OpenPR,drgnchan
26676,2021-03-15 10:47:17,MergePR,sbrannen
26680,2021-03-15 09:55:39,CreateBranch,mp911de
26680,2021-03-15 12:43:00,DeleteBranch,mp911de
26680,2021-03-15 09:59:02,SubmitCommit,mp911de
26680,2021-03-15 09:59:12,OpenPR,mp911de
26680,2021-03-15 10:26:16,MergePR,sbrannen
26700,2021-03-18 15:26:33,CreateBranch,filiphr
26700,2021-03-18 15:31:09,SubmitCommit,filiphr
26700,2021-03-18 15:26:44,OpenPR,filiphr
26700,2021-07-09 13:10:56,MergePR,jhoeller
26732,2021-03-26 02:19:04,ForkRepository,HwangNara
26732,2021-03-26 02:46:47,CreateBranch,HwangNara
26732,2021-03-29 15:38:54,DeleteBranch,HwangNara
26732,2021-03-26 02:48:01,OpenPR,HwangNara
26732,2021-03-29 10:40:56,MergePR,rstoyanchev
26758,2021-04-04 10:02:31,CreateBranch,hrybs
26758,2021-04-04 10:08:27,OpenPR,hrybs
26758,2021-04-21 12:06:44,MergePR,sbrannen
26773,2021-04-07 15:30:41,CreateBranch,hrybs
26773,2021-04-29 07:54:00,SubmitCommit,hrybs
26773,2021-04-07 15:41:08,OpenPR,hrybs
26773,2021-04-08 08:43:46,PRReviewApprove,cuspymd
26773,2021-04-29 16:08:55,MergePR,sbrannen
26782,2021-04-09 14:14:20,CreateBranch,hrybs
26782,2021-04-09 14:15:42,OpenPR,hrybs
26782,2021-04-09 14:32:18,MergePR,sbrannen
26783,2021-04-09 14:42:21,CreateBranch,hrybs
26783,2021-04-09 14:45:20,OpenPR,hrybs
26783,2021-04-09 14:59:48,MergePR,sbrannen
26797,2021-04-13 13:17:30,CreateBranch,hrybs
26797,2021-04-13 13:33:22,OpenPR,hrybs
26797,2021-04-20 17:08:28,MergePR,sbrannen
26812,2021-04-15 12:26:46,CreateBranch,hrybs
26812,2021-04-15 12:37:18,OpenPR,hrybs
26812,2021-04-15 16:45:14,MergePR,sbrannen
26816,2021-04-16 09:03:36,CreateBranch,hrybs
26816,2021-04-16 09:10:36,OpenPR,hrybs
26816,2021-04-16 09:39:45,MergePR,sbrannen
26822,2021-04-18 08:56:27,CreateBranch,stsypanov
