CaseID,StartTimestamp,Activity,People
399,2021-01-13 03:13:15,ForkRepository,iccaszhulili
399,2021-01-13 03:21:35,CreateBranch,iccaszhulili
399,2021-01-13 03:22:13,OpenPR,iccaszhulili
399,2021-01-13 12:02:19,MergePR,stefanberger
442,2021-05-18 19:46:12,CreateBranch,elmarco
442,2021-05-18 19:46:15,OpenPR,elmarco
442,2021-05-18 22:24:51,MergePR,stefanberger
443,2021-05-19 08:28:43,CreateBranch,diabonas
443,2021-05-21 21:42:35,DeleteBranch,diabonas
443,2021-05-19 08:32:24,OpenPR,diabonas
443,2021-05-21 17:26:11,MergePR,stefanberger
452,2021-06-03 08:55:01,ForkRepository,andreabolognani
452,2021-06-03 18:20:09,CreateBranch,andreabolognani
452,2021-06-04 06:55:02,DeleteBranch,andreabolognani
452,2021-06-03 19:03:48,PRReviewComment,stefanberger
452,2021-06-03 20:09:02,MergePR,stefanberger
460,2021-06-15 09:55:29,ForkRepository,franciozzy
460,2021-06-15 09:58:09,CreateBranch,franciozzy
460,2021-06-15 14:43:15,DeleteBranch,franciozzy
460,2021-06-15 09:58:25,OpenPR,franciozzy
460,2021-06-15 12:35:54,MergePR,stefanberger
470,2021-06-23 06:28:15,CreateBranch,Etsukata
470,2021-07-15 01:51:19,DeleteBranch,Etsukata
470,2021-06-24 06:31:57,SubmitCommit,Etsukata
470,2021-06-23 06:30:27,OpenPR,Etsukata
470,2021-06-23 11:41:30,PRReviewComment,stefanberger
470,2021-06-23 11:41:30,PRReviewComment,stefanberger
470,2021-06-23 11:40:25,PRReviewComment,stefanberger
470,2021-06-23 11:41:16,PRReviewComment,stefanberger
470,2021-06-23 12:18:32,PRReviewComment,Etsukata
470,2021-06-23 12:18:32,PRReviewComment,Etsukata
470,2021-06-23 12:41:51,PRReviewComment,stefanberger
470,2021-06-23 12:41:51,PRReviewComment,stefanberger
470,2021-06-24 00:07:29,PRReviewComment,Etsukata
470,2021-06-24 00:07:29,PRReviewComment,Etsukata
470,2021-06-24 01:32:19,PRReviewComment,pksnx
470,2021-06-24 01:32:19,PRReviewComment,pksnx
470,2021-06-24 06:29:28,PRReviewComment,Etsukata
470,2021-06-24 06:29:28,PRReviewComment,Etsukata
470,2021-06-24 20:20:00,MergePR,stefanberger
480,2021-06-03 08:55:01,ForkRepository,andreabolognani
480,2021-07-06 12:30:03,CreateBranch,andreabolognani
480,2021-07-08 13:37:23,DeleteBranch,andreabolognani
480,2021-07-06 12:30:34,OpenPR,andreabolognani
480,2021-07-08 12:29:03,MergePR,stefanberger
490,2021-08-13 03:31:13,SubmitCommit,Etsukata
490,2021-07-21 19:54:35,MergePR,stefanberger
490,2021-07-21 19:54:39,ReopenPR,stefanberger
490,2021-07-30 20:55:53,PRReviewComment,stefanberger
490,2021-07-30 20:55:54,PRReviewComment,stefanberger
490,2021-07-30 21:00:00,PRReviewComment,stefanberger
490,2021-07-30 20:59:59,PRReviewComment,stefanberger
490,2021-07-30 21:00:01,PRReviewComment,stefanberger
490,2021-07-30 21:00:01,PRReviewComment,stefanberger
490,2021-08-02 03:14:21,PRReviewComment,Etsukata
490,2021-08-02 03:14:20,PRReviewComment,Etsukata
490,2021-08-02 03:14:57,PRReviewComment,Etsukata
490,2021-08-02 03:14:57,PRReviewComment,Etsukata
490,2021-08-02 03:21:25,PRReviewComment,Etsukata
490,2021-08-02 03:21:25,PRReviewComment,Etsukata
490,2021-08-02 15:01:40,PRReviewComment,stefanberger
490,2021-08-02 15:01:39,PRReviewComment,stefanberger
490,2021-08-02 15:02:38,PRReviewComment,stefanberger
490,2021-08-02 15:02:37,PRReviewComment,stefanberger
490,2021-08-02 15:03:00,PRReviewComment,stefanberger
490,2021-08-02 15:03:00,PRReviewComment,stefanberger
490,2021-08-03 02:55:17,PRReviewComment,Etsukata
490,2021-08-03 02:55:16,PRReviewComment,Etsukata
490,2021-08-03 02:55:21,PRReviewComment,Etsukata
490,2021-08-03 02:55:21,PRReviewComment,Etsukata
490,2021-08-03 20:55:44,PRReviewComment,stefanberger
490,2021-08-03 21:03:39,PRReviewComment,stefanberger
490,2021-08-03 21:03:39,PRReviewComment,stefanberger
490,2021-08-05 06:47:29,PRReviewComment,Etsukata
490,2021-08-05 06:47:28,PRReviewComment,Etsukata
490,2021-08-05 06:52:04,PRReviewComment,Etsukata
490,2021-08-05 06:52:04,PRReviewComment,Etsukata
490,2021-08-11 12:48:37,PRReviewComment,stefanberger
490,2021-08-11 12:48:37,PRReviewComment,stefanberger
490,2021-08-11 13:18:03,PRReviewComment,stefanberger
490,2021-08-11 13:18:02,PRReviewComment,stefanberger
490,2021-08-11 14:08:35,PRReviewComment,stefanberger
490,2021-08-12 01:13:42,PRReviewComment,Etsukata
490,2021-08-12 01:15:04,PRReviewComment,Etsukata
490,2021-08-12 01:15:03,PRReviewComment,Etsukata
490,2021-08-13 03:06:57,PRReviewApprove,pksnx
490,2021-08-13 10:35:19,MergePR,stefanberger
491,2021-07-20 22:48:15,ForkRepository,nchevsky
491,2021-07-20 23:14:29,SubmitCommit,nchevsky
491,2021-07-20 23:20:36,SubmitCommit,nchevsky
491,2021-07-20 23:21:57,SubmitCommit,nchevsky
491,2021-07-20 23:16:25,OpenPR,nchevsky
491,2021-07-21 00:57:31,MergePR,stefanberger
492,2021-07-20 22:48:15,ForkRepository,nchevsky
492,2021-07-20 23:25:43,CreateBranch,nchevsky
492,2021-07-26 16:41:14,DeleteBranch,nchevsky
492,2021-07-21 02:33:38,SubmitCommit,nchevsky
492,2021-07-20 23:26:49,OpenPR,nchevsky
492,2021-07-21 11:34:27,MergePR,stefanberger
494,2021-07-20 22:48:15,ForkRepository,nchevsky
494,2021-07-21 03:35:01,CreateBranch,nchevsky
494,2021-07-26 16:41:16,DeleteBranch,nchevsky
494,2021-07-21 03:35:55,OpenPR,nchevsky
494,2021-07-21 11:55:33,MergePR,stefanberger
496,2021-07-20 22:48:15,ForkRepository,nchevsky
496,2021-07-21 16:59:50,CreateBranch,nchevsky
496,2021-07-26 16:41:18,DeleteBranch,nchevsky
496,2021-07-21 19:11:51,SubmitCommit,nchevsky
