id,type,public,created_at,actor_id,actor_login,repo_id,repo_name,payload_ref,payload_ref_type,payload_pusher_type,payload_push_id,payload_size,payload_distinct_size,payload_commits,payload_action,payload_pr_number,payload_forkee_full_name,payload_changes,payload_review_state,payload_review_author_association,payload_member_id,payload_member_login,payload_member_type,payload_member_site_admin,pr_number
14691037502,PullRequestEvent,1,2021-01-02 17:50:17,31284574,kloczek,5108051,opencv/opencv,,,,,,,,opened,19247,,,,,,,,,19247
14694345677,PullRequestReviewEvent,1,2021-01-03 13:32:57,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19247,,,approved,CONTRIBUTOR,,,,,19247
14694353878,PullRequestEvent,1,2021-01-03 13:35:07,2051563,opencv-pushbot,5108051,opencv/opencv,,,,,,,,closed,19247,,,,,,,,,19247
14693541001,CreateEvent,1,2021-01-03 09:34:14,3591626,LaurentBerger,130590077,LaurentBerger/opencv,forum,branch,user,,,,,,,,,,,,,,,19248
15032150752,DeleteEvent,1,2021-02-02 09:49:39,3591626,LaurentBerger,130590077,LaurentBerger/opencv,forum,branch,user,,,,,,,,,,,,,,,19248
14781354451,PushEvent,1,2021-01-11 18:41:22,4981219,alalek,130590077,LaurentBerger/opencv,refs/heads/forum,,,6332036898,5.0,2.0,8f66dad65b8ffef1e6aea59159f38258da480318#5b598c1812a691b5bb38863e86f4c8b42e42cd4f#4f9cb3871a5d6552ef25229c2f81d2e1531c7df9#2d2d72afbb6a4f1936e2fa5ba28fc1744a8047d2#9fb48d5f44c48103b26d3fe1860c97c612883c05,,,,,,,,,,,19248
14693606295,PullRequestEvent,1,2021-01-03 09:56:21,3591626,LaurentBerger,5108051,opencv/opencv,,,,,,,,opened,19248.0,,,,,,,,,19248
14782250177,PullRequestEvent,1,2021-01-11 20:03:14,2051563,opencv-pushbot,5108051,opencv/opencv,,,,,,,,closed,19248.0,,,,,,,,,19248
14697349978,ForkEvent,1,2021-01-04 02:59:58,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,,,mightbxg/opencv,,,,,,,,19253
14697504618,CreateEvent,1,2021-01-04 03:33:15,20889293,mightbxg,326554033,mightbxg/opencv,bugfix_PnPRansac,branch,user,,,,,,,,,,,,,,,19253
15242445112,PushEvent,1,2021-02-19 09:53:05,20889293,mightbxg,326554033,mightbxg/opencv,refs/heads/bugfix_PnPRansac,,,6561734799,1.0,1.0,914ffc07d703650f5e5abed768fc03249c9aff4a,,,,,,,,,,,19253
15499394784,PushEvent,1,2021-03-11 07:54:13,4981219,alalek,326554033,mightbxg/opencv,refs/heads/bugfix_PnPRansac,,,6689037054,1.0,1.0,a29fb191e6bfbd5c14b875d9cfd5a468513f1c44,,,,,,,,,,,19253
15499706041,PushEvent,1,2021-03-11 08:20:47,4981219,alalek,326554033,mightbxg/opencv,refs/heads/bugfix_PnPRansac,,,6689184751,1.0,1.0,f96e710ea31141f271db9a15672101c0195c1dd0,,,,,,,,,,,19253
14697663732,PullRequestEvent,1,2021-01-04 04:08:23,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,opened,19253.0,,,,,,,,,19253
14880963100,PullRequestReviewEvent,1,2021-01-20 09:53:13,2110786,vpisarev,5108051,opencv/opencv,,,,,,,,created,19253.0,,,changes_requested,CONTRIBUTOR,,,,,19253
15014568617,PullRequestReviewEvent,1,2021-02-01 06:51:57,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15036906318,PullRequestReviewEvent,1,2021-02-02 15:45:54,2110786,vpisarev,5108051,opencv/opencv,,,,,,,,created,19253.0,,,approved,CONTRIBUTOR,,,,,19253
15057944520,PullRequestReviewEvent,1,2021-02-03 22:31:42,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15057944541,PullRequestReviewCommentEvent,1,2021-02-03 22:31:41,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15059736779,PullRequestReviewEvent,1,2021-02-04 02:24:56,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15059736788,PullRequestReviewCommentEvent,1,2021-02-04 02:24:56,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15059820473,PullRequestEvent,1,2021-02-04 02:36:55,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,closed,19253.0,,,,,,,,,19253
15061564570,PullRequestEvent,1,2021-02-04 06:43:30,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,reopened,19253.0,,,,,,,,,19253
15070142320,PullRequestReviewEvent,1,2021-02-04 17:21:49,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15070142372,PullRequestReviewCommentEvent,1,2021-02-04 17:21:49,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15075421350,PullRequestReviewEvent,1,2021-02-05 02:02:17,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15075421356,PullRequestReviewCommentEvent,1,2021-02-05 02:02:16,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15135990672,PullRequestReviewEvent,1,2021-02-10 13:14:33,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15141137121,PullRequestReviewEvent,1,2021-02-10 19:27:18,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15141137138,PullRequestReviewEvent,1,2021-02-10 19:27:18,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15141137152,PullRequestReviewCommentEvent,1,2021-02-10 19:21:39,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15141137165,PullRequestReviewCommentEvent,1,2021-02-10 19:18:50,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15141271490,PullRequestReviewEvent,1,2021-02-10 19:38:49,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15141271507,PullRequestReviewCommentEvent,1,2021-02-10 19:38:49,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15144716527,PullRequestReviewEvent,1,2021-02-11 02:07:04,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15144716542,PullRequestReviewCommentEvent,1,2021-02-11 02:07:04,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15144809139,PullRequestReviewEvent,1,2021-02-11 02:24:29,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15144809146,PullRequestReviewCommentEvent,1,2021-02-11 02:24:28,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15145324133,PullRequestReviewEvent,1,2021-02-11 04:08:25,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15145324140,PullRequestReviewCommentEvent,1,2021-02-11 04:08:25,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15145916362,PullRequestReviewEvent,1,2021-02-11 05:56:22,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15155708711,PullRequestReviewEvent,1,2021-02-11 20:09:14,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15155708743,PullRequestReviewCommentEvent,1,2021-02-11 20:09:13,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15155722367,PullRequestReviewEvent,1,2021-02-11 20:10:30,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15155722385,PullRequestReviewCommentEvent,1,2021-02-11 20:10:29,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15155979140,PullRequestReviewEvent,1,2021-02-11 20:33:46,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15155979141,PullRequestReviewEvent,1,2021-02-11 20:33:46,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15155979168,PullRequestReviewCommentEvent,1,2021-02-11 20:20:56,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15155979225,PullRequestReviewCommentEvent,1,2021-02-11 20:30:09,8229425,catree,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15159198614,PullRequestReviewEvent,1,2021-02-12 03:29:11,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15159198623,PullRequestReviewCommentEvent,1,2021-02-12 03:29:11,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15239299062,PullRequestReviewEvent,1,2021-02-19 04:06:58,2110786,vpisarev,5108051,opencv/opencv,,,,,,,,created,19253.0,,,approved,CONTRIBUTOR,,,,,19253
15240472650,PullRequestReviewEvent,1,2021-02-19 06:45:52,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,changes_requested,CONTRIBUTOR,,,,,19253
15240472668,PullRequestReviewEvent,1,2021-02-19 06:45:52,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,changes_requested,CONTRIBUTOR,,,,,19253
15240472672,PullRequestReviewCommentEvent,1,2021-02-19 06:40:06,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15242209909,PullRequestReviewEvent,1,2021-02-19 09:33:28,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,NONE,,,,,19253
15242209930,PullRequestReviewCommentEvent,1,2021-02-19 09:33:27,20889293,mightbxg,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15242703844,PullRequestReviewEvent,1,2021-02-19 10:13:59,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,changes_requested,CONTRIBUTOR,,,,,19253
15242721455,PullRequestReviewEvent,1,2021-02-19 10:15:21,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,changes_requested,CONTRIBUTOR,,,,,19253
15242751744,PullRequestReviewEvent,1,2021-02-19 10:17:44,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15242751787,PullRequestReviewCommentEvent,1,2021-02-19 10:17:44,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15242767327,PullRequestReviewEvent,1,2021-02-19 10:19:00,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19253.0,,,changes_requested,CONTRIBUTOR,,,,,19253
15245414378,PullRequestReviewEvent,1,2021-02-19 14:08:06,391371,asmaloney,5108051,opencv/opencv,,,,,,,,created,19253.0,,,commented,CONTRIBUTOR,,,,,19253
15245414398,PullRequestReviewCommentEvent,1,2021-02-19 14:08:05,391371,asmaloney,5108051,opencv/opencv,,,,,,,,created,19253.0,,,,,,,,,19253
15510509161,PullRequestEvent,1,2021-03-11 21:53:06,4981219,alalek,5108051,opencv/opencv,,,,,,,,closed,19253.0,,,,,,,,,19253
14708360742,ForkEvent,1,2021-01-04 23:30:31,1588456,notmatthancock,5108051,opencv/opencv,,,,,,,,,,notmatthancock/opencv,,,,,,,,19258
14708416064,CreateEvent,1,2021-01-04 23:39:03,1588456,notmatthancock,326833012,notmatthancock/opencv,doc/update-sift-patent-blurb,branch,user,,,,,,,,,,,,,,,19258
14709149556,PushEvent,1,2021-01-05 01:36:29,1588456,notmatthancock,326833012,notmatthancock/opencv,refs/heads/doc/update-sift-patent-blurb,,,6295745131,4.0,1.0,8f66dad65b8ffef1e6aea59159f38258da480318#5b598c1812a691b5bb38863e86f4c8b42e42cd4f#4f9cb3871a5d6552ef25229c2f81d2e1531c7df9#6a39053f61c5062d745eb50982c955e2dd852c43,,,,,,,,,,,19258
14709259448,PushEvent,1,2021-01-05 01:54:26,1588456,notmatthancock,326833012,notmatthancock/opencv,refs/heads/doc/update-sift-patent-blurb,,,6295800799,1.0,1.0,19962024f1807ee64bbad90a53d673e79d59bf49,,,,,,,,,,,19258
14708442501,PullRequestEvent,1,2021-01-04 23:43:13,1588456,notmatthancock,5108051,opencv/opencv,,,,,,,,opened,19258.0,,,,,,,,,19258
14708652235,PullRequestReviewEvent,1,2021-01-05 00:16:31,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19258.0,,,commented,CONTRIBUTOR,,,,,19258
14708652246,PullRequestReviewEvent,1,2021-01-05 00:16:31,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19258.0,,,commented,CONTRIBUTOR,,,,,19258
14708652256,PullRequestReviewCommentEvent,1,2021-01-05 00:14:32,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19258.0,,,,,,,,,19258
14709296766,PullRequestReviewEvent,1,2021-01-05 02:00:32,1588456,notmatthancock,5108051,opencv/opencv,,,,,,,,created,19258.0,,,commented,NONE,,,,,19258
14709296789,PullRequestReviewCommentEvent,1,2021-01-05 02:00:32,1588456,notmatthancock,5108051,opencv/opencv,,,,,,,,created,19258.0,,,,,,,,,19258
14714212991,PullRequestReviewEvent,1,2021-01-05 11:33:27,4981219,alalek,5108051,opencv/opencv,,,,,,,,created,19258.0,,,approved,CONTRIBUTOR,,,,,19258
14714218712,PullRequestEvent,1,2021-01-05 11:33:59,4981219,alalek,5108051,opencv/opencv,,,,,,,,closed,19258.0,,,,,,,,,19258
14711544542,CreateEvent,1,2021-01-05 07:36:04,25655570,nglee,117502292,nglee/opencv,dev_gpumatnd1,branch,user,,,,,,,,,,,,,,,19259
14752298718,PushEvent,1,2021-01-08 07:16:31,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6316490593,1.0,1.0,b0f109c289d17dde2f3fba0f7d3255e95d302d4e,,,,,,,,,,,19259
14785640016,PushEvent,1,2021-01-12 03:18:19,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6334128355,1.0,1.0,27d85da2bd546331ac2ccef7ce3b23aa6fba13e9,,,,,,,,,,,19259
14791016950,PushEvent,1,2021-01-12 12:55:00,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6336735446,1.0,1.0,ddebc2c26bee2b3da653693496212549476d4612,,,,,,,,,,,19259
14856893382,PushEvent,1,2021-01-18 14:44:10,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6370118062,1.0,1.0,ab648b55f0279c38ae1219e4d9899a0cf8cad2cf,,,,,,,,,,,19259
14866865093,PushEvent,1,2021-01-19 10:47:40,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6375144537,1.0,1.0,4e060411ea5ce2cbfe8047e039a7e4f18033cc06,,,,,,,,,,,19259
14868074475,PushEvent,1,2021-01-19 12:36:38,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6375728240,1.0,1.0,d74dab49f5c52b226fc188d0ca07863d949a2b52,,,,,,,,,,,19259
15044457179,PushEvent,1,2021-02-03 03:01:56,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6463639405,1.0,1.0,eb7ed3159067394aed2a7c6b611a54245fa5725c,,,,,,,,,,,19259
15045217844,PushEvent,1,2021-02-03 04:56:02,25655570,nglee,117502292,nglee/opencv,refs/heads/dev_gpumatnd1,,,6464022760,1.0,1.0,29cf09eaeec69242ac2433834a5a2b702fc841a5,,,,,,,,,,,19259
