CaseID,StartTimestamp,Activity,People
3338,2021-01-03 11:51:04,ForkRepository,sgc109
3338,2021-01-03 11:52:56,SubmitCommit,sgc109
3338,2021-01-03 11:53:02,OpenPR,sgc109
3338,2021-01-03 15:47:40,MergePR,jorgheymans
3339,2021-01-04 06:26:53,CreateBranch,tacigar
3339,2021-01-05 14:11:20,SubmitCommit,tacigar
3339,2021-01-04 06:32:46,OpenPR,tacigar
3339,2021-01-05 06:23:06,PRReviewApprove,anuraaga
3339,2021-01-05 14:24:57,MergePR,tacigar
3375,2021-09-08 19:32:38,CreateBranch,llinder
3375,2021-09-08 23:50:22,SubmitCommit,llinder
3375,2021-09-08 19:32:52,OpenPR,llinder
3375,2021-09-09 00:07:45,PRReviewApprove,codefromthecrypt
3375,2021-09-09 02:15:49,MergePR,llinder
3376,2021-09-09 02:40:46,CreateBranch,llinder
3376,2021-09-09 02:41:15,OpenPR,llinder
3376,2021-09-09 02:59:05,PRReviewApprove,codefromthecrypt
3376,2021-09-09 03:00:13,MergePR,llinder
3377,2021-09-09 20:27:39,CreateBranch,llinder
3377,2021-09-09 21:01:17,SubmitCommit,llinder
3377,2021-09-09 21:30:41,SubmitCommit,llinder
3377,2021-09-09 20:28:11,OpenPR,llinder
3377,2021-09-09 20:35:15,PRReviewApprove,codefromthecrypt
3377,2021-09-09 20:35:15,PRReviewApprove,codefromthecrypt
3377,2021-09-09 20:33:17,PRReviewComment,codefromthecrypt
3377,2021-09-09 20:34:06,PRReviewComment,codefromthecrypt
3377,2021-09-09 20:35:40,PRReviewApprove,codefromthecrypt
3377,2021-09-09 21:41:19,MergePR,llinder
3378,2021-09-08 07:56:50,ForkRepository,equinix-ms
3378,2021-09-27 09:22:44,CreateBranch,jonkerj
3378,2021-11-23 15:04:25,SubmitCommit,jonkerj
3378,2021-09-27 09:36:16,OpenPR,jonkerj
3378,2021-12-02 13:05:06,MergePR,jcchavezs
3378,2021-12-02 19:05:26,PRReviewComment,jcchavezs
