CaseID,StartTimestamp,Activity,People
542,2021-01-04 09:52:33,ForkRepository,nicolas-cellier-aka-nice
542,2021-01-04 10:00:48,CreateBranch,nicolas-cellier-aka-nice
542,2021-01-05 00:33:02,OpenPR,nicolas-cellier-aka-nice
543,2021-01-19 00:19:53,CreateBranch,WildCard65
543,2021-01-19 01:08:11,OpenPR,WildCard65
552,2021-03-25 09:09:24,ForkRepository,thingdust
552,2021-03-25 09:17:16,OpenPR,adrianimboden
554,2021-03-31 13:27:45,ForkRepository,odubaj
554,2021-03-31 13:36:19,OpenPR,odubaj
554,2021-05-21 10:27:31,PRReviewComment,tbeu
554,2021-05-21 10:27:31,PRReviewComment,tbeu
554,2021-05-21 10:23:13,PRReviewComment,tbeu
554,2021-05-21 10:26:57,PRReviewComment,tbeu
554,2021-05-21 10:23:39,PRReviewComment,tbeu
557,2021-04-23 11:53:29,ForkRepository,eugenegff
557,2021-04-23 14:03:07,OpenPR,eugenegff
560,2021-06-02 05:31:55,ForkRepository,dbezhetskov
560,2021-06-02 05:50:06,CreateBranch,dbezhetskov
560,2021-06-02 05:50:36,OpenPR,dbezhetskov
560,2021-06-03 03:44:19,ClosePR,madler
561,2021-06-04 16:12:49,ForkRepository,ahunt
561,2021-06-07 17:14:39,CreateBranch,ahunt
561,2021-06-07 17:17:07,OpenPR,ahunt
566,2021-07-08 19:59:41,ForkRepository,scovetta
566,2021-07-08 20:03:42,CreateBranch,scovetta
566,2021-07-08 20:06:23,OpenPR,scovetta
567,2021-07-22 16:30:57,ForkRepository,FnControlOption
567,2021-07-22 16:31:24,CreateBranch,FnControlOption
567,2021-07-22 16:35:19,OpenPR,FnControlOption
567,2021-07-22 17:03:07,ClosePR,madler
581,2021-10-13 13:38:31,ForkRepository,rafael-santiago
589,2021-12-22 23:52:37,ForkRepository,Bagira80
589,2021-12-23 00:03:12,CreateBranch,Bagira80
589,2021-12-23 00:07:25,OpenPR,Bagira80
590,2021-12-29 23:37:18,ForkRepository,gvollant
590,2021-12-29 23:46:26,CreateBranch,gvollant
590,2022-01-01 13:51:55,SubmitCommit,gvollant
590,2021-12-29 23:50:06,OpenPR,gvollant
590,2022-01-01 20:14:19,ClosePR,madler
591,2021-12-29 23:37:18,ForkRepository,gvollant
591,2021-12-29 23:47:30,CreateBranch,gvollant
591,2021-12-29 23:50:58,OpenPR,gvollant
591,2022-01-01 01:25:23,ClosePR,madler
592,2021-12-31 19:07:53,ForkRepository,sredna
592,2021-12-31 19:20:52,OpenPR,sredna
595,2022-02-02 06:03:58,ForkRepository,Tythos
595,2022-02-02 06:13:11,OpenPR,Tythos
596,2022-02-08 07:37:22,ForkRepository,wfly1998
596,2022-02-08 07:50:04,OpenPR,wfly1998
598,2022-03-06 07:20:15,ForkRepository,ken-matsui
598,2022-05-04 23:54:34,DeleteBranch,ken-matsui
598,2022-03-06 07:23:00,SubmitCommit,ken-matsui
598,2022-03-06 07:23:52,OpenPR,ken-matsui
598,2022-05-04 23:54:25,ClosePR,ken-matsui
599,2022-03-09 06:42:00,ForkRepository,kraj
599,2022-03-09 06:44:13,OpenPR,kraj
602,2022-03-16 23:37:07,ForkRepository,fmayer
602,2022-03-17 00:21:53,OpenPR,fmayer
603,2022-03-24 07:02:31,ForkRepository,ynezz
603,2022-03-24 07:04:31,CreateBranch,ynezz
603,2022-03-26 10:34:36,SubmitCommit,ynezz
603,2022-03-24 07:05:00,OpenPR,ynezz
603,2022-03-28 06:14:12,ClosePR,ynezz
610,2021-12-29 23:37:18,ForkRepository,gvollant
610,2022-03-28 13:14:16,CreateBranch,gvollant
610,2022-03-28 13:19:41,OpenPR,gvollant
610,2022-03-29 02:01:45,ClosePR,madler
