CaseID,StartTimestamp,Activity,People
1730,2021-07-27 16:14:47,CreateBranch,ctubbsii
1730,2021-07-28 16:03:53,DeleteBranch,ctubbsii
1730,2021-07-27 16:15:10,OpenPR,ctubbsii
1730,2021-07-27 16:22:59,PRReviewApprove,eolivelli
1730,2021-07-27 16:23:34,PRReviewComment,eolivelli
1730,2021-07-28 05:43:52,MergePR,eolivelli
1795,2021-01-06 07:59:44,ForkRepository,Shoothzj
1795,2022-01-08 09:02:51,CreateBranch,Shoothzj
1795,2022-01-08 10:31:55,DeleteBranch,Shoothzj
1795,2022-01-08 09:02:56,OpenPR,Shoothzj
1795,2022-01-08 10:31:13,PRReviewApprove,eolivelli
1795,2022-01-08 10:31:35,MergePR,eolivelli
1799,2022-01-26 08:49:30,CreateBranch,eolivelli
1799,2022-01-26 12:28:02,DeleteBranch,eolivelli
1799,2022-01-26 08:50:09,OpenPR,eolivelli
1799,2022-01-26 12:11:05,PRReviewReject,symat
1799,2022-01-26 12:11:06,PRReviewReject,symat
1799,2022-01-26 12:10:19,PRReviewComment,symat
1799,2022-01-26 12:12:18,PRReviewComment,eolivelli
1799,2022-01-26 12:12:18,PRReviewComment,eolivelli
1799,2022-01-26 12:13:53,PRReviewComment,eolivelli
1799,2022-01-26 12:13:52,PRReviewComment,eolivelli
1799,2022-01-26 12:16:31,PRReviewComment,eolivelli
1799,2022-01-26 12:16:30,PRReviewComment,eolivelli
1799,2022-01-26 12:17:58,PRReviewComment,eolivelli
1799,2022-01-26 12:17:59,PRReviewComment,eolivelli
1799,2022-01-26 12:18:08,PRReviewComment,symat
1799,2022-01-26 12:18:09,PRReviewComment,symat
1799,2022-01-26 12:23:11,MergePR,eolivelli
1799,2022-01-26 12:23:32,PRReviewComment,eolivelli
1799,2022-01-26 12:23:32,PRReviewComment,eolivelli
1799,2022-01-26 12:23:59,PRReviewComment,eolivelli
1799,2022-01-26 12:23:59,PRReviewComment,eolivelli
1799,2022-01-26 12:24:24,PRReviewComment,eolivelli
1799,2022-01-26 12:24:23,PRReviewComment,eolivelli
1834,2022-03-02 11:05:42,CreateBranch,anmolnar
1834,2022-03-02 11:07:38,SubmitCommit,anmolnar
1834,2022-03-02 13:37:34,SubmitCommit,anmolnar
1834,2022-03-02 11:13:18,OpenPR,anmolnar
1834,2022-03-02 12:19:15,PRReviewComment,symat
1834,2022-03-02 12:19:15,PRReviewComment,symat
1834,2022-03-02 12:14:27,PRReviewComment,symat
1834,2022-03-02 13:37:48,PRReviewComment,anmolnar
1834,2022-03-02 13:37:47,PRReviewComment,anmolnar
1834,2022-03-02 15:12:48,PRReviewApprove,ctubbsii
