CaseID,StartTimestamp,Activity,People
7104,2021-01-15 15:50:20,DeleteBranch,chickenlj
7104,2021-01-07 09:36:02,SubmitCommit,chickenlj
7104,2021-01-15 09:41:09,SubmitCommit,chickenlj
7104,2021-01-15 15:43:22,SubmitCommit,chickenlj
7104,2021-01-15 15:47:59,OpenPR,chickenlj
7104,2021-01-15 15:48:29,MergePR,chickenlj
7308,2021-03-03 06:41:23,CreateBranch,chickenlj
7308,2021-03-04 06:18:06,DeleteBranch,chickenlj
7308,2021-03-03 06:41:33,OpenPR,chickenlj
7308,2021-03-03 07:51:53,PRReviewApprove,AlbumenJ
7308,2021-03-03 08:08:02,MergePR,chickenlj
7387,2021-03-16 15:18:25,CreateBranch,chickenlj
7387,2021-03-16 15:18:51,DeleteBranch,chickenlj
7387,2021-03-16 15:18:31,OpenPR,chickenlj
7387,2021-03-16 15:18:44,MergePR,chickenlj
7532,2021-04-11 09:48:09,CreateBranch,AlbumenJ
7532,2021-04-11 09:48:37,DeleteBranch,AlbumenJ
7532,2021-04-11 09:48:15,OpenPR,AlbumenJ
7532,2021-04-11 09:48:27,MergePR,AlbumenJ
7561,2021-04-15 08:56:45,CreateBranch,AlbumenJ
7561,2021-04-15 08:57:11,DeleteBranch,AlbumenJ
7561,2021-04-15 08:56:51,OpenPR,AlbumenJ
7561,2021-04-15 08:57:07,MergePR,AlbumenJ
7569,2021-04-16 03:51:47,CreateBranch,AlbumenJ
7569,2021-04-16 03:53:20,DeleteBranch,AlbumenJ
7569,2021-04-16 03:53:02,OpenPR,AlbumenJ
7569,2021-04-16 03:53:14,MergePR,AlbumenJ
7927,2021-05-26 14:47:22,CreateBranch,AlbumenJ
7927,2021-05-26 15:42:13,SubmitCommit,AlbumenJ
7927,2021-05-27 07:53:46,SubmitCommit,AlbumenJ
7927,2021-05-28 09:51:02,SubmitCommit,AlbumenJ
7927,2021-05-31 02:00:11,OpenPR,AlbumenJ
7927,2021-06-01 06:14:14,PRReviewApprove,chickenlj
7927,2021-06-01 06:14:36,MergePR,chickenlj
