CaseID,StartTimestamp,Activity,People
46525,2021-01-19 04:51:05,CreateBranch,rmothukuru
46525,2021-01-19 04:51:20,OpenPR,rmothukuru
46525,2021-01-19 05:23:10,PRReviewReject,zhitaoli
46525,2021-01-19 05:23:10,PRReviewReject,zhitaoli
46525,2021-01-19 05:23:03,PRReviewComment,zhitaoli
46525,2021-01-19 05:27:21,ClosePR,rmothukuru
47273,2021-02-19 22:14:20,CreateBranch,anirudh161
47273,2021-02-19 22:17:28,SubmitCommit,anirudh161
47273,2021-02-19 22:21:04,SubmitCommit,anirudh161
47273,2021-02-19 22:22:24,OpenPR,anirudh161
47273,2021-03-22 20:00:46,ClosePR,anirudh161
48092,2021-03-26 01:01:03,CreateBranch,mihaimaruseac
48092,2021-03-26 01:01:20,DeleteBranch,mihaimaruseac
48092,2021-03-26 01:01:04,OpenPR,mihaimaruseac
48092,2021-03-26 01:01:12,ClosePR,mihaimaruseac
48172,2021-03-30 00:06:16,CreateBranch,geetachavan1
48172,2021-06-03 17:30:33,DeleteBranch,mihaimaruseac
48172,2021-03-30 00:27:45,OpenPR,geetachavan1
48172,2021-03-30 00:33:36,ClosePR,geetachavan1
48181,2021-03-30 09:09:50,OpenPR,wanbeRichMan
48181,2021-03-31 05:47:31,ClosePR,gbaned
48446,2021-04-09 22:01:05,CreateBranch,rthadur
48446,2021-04-09 22:27:04,DeleteBranch,rthadur
48446,2021-04-09 22:01:15,OpenPR,rthadur
48446,2021-04-09 22:06:19,PRReviewApprove,nikitamaia
48446,2021-04-09 22:26:53,ClosePR,rthadur
48576,2021-04-16 22:10:22,CreateBranch,jvishnuvardhan
48576,2021-04-16 22:10:26,OpenPR,jvishnuvardhan
48686,2021-04-21 23:31:21,CreateBranch,tensorflowbutler
48686,2021-04-21 23:32:16,DeleteBranch,tensorflowbutler
48686,2021-04-21 23:31:32,OpenPR,tensorflowbutler
48686,2021-04-21 23:32:03,ClosePR,tensorflowbutler
48754,2021-04-26 11:03:20,OpenPR,adityamohan29
48754,2021-04-30 02:33:19,PRReviewReject,mihaimaruseac
48754,2021-04-30 02:34:12,ClosePR,mihaimaruseac
48790,2021-04-27 22:29:49,CreateBranch,angerson
48790,2021-06-03 17:35:46,DeleteBranch,mihaimaruseac
48790,2021-04-27 22:29:56,OpenPR,angerson
48790,2021-04-30 02:31:29,PRReviewApprove,mihaimaruseac
48790,2021-04-30 13:29:33,PRReviewApprove,gbaned
48790,2021-05-01 15:19:20,PRReviewApprove,gbaned
48790,2021-05-04 13:35:37,PRReviewApprove,gbaned
48790,2021-05-06 13:46:25,PRReviewApprove,gbaned
48790,2021-05-12 18:14:06,PRReviewApprove,mihaimaruseac
48790,2021-05-12 19:30:46,ClosePR,angerson
49466,2021-05-24 19:11:32,DeleteBranch,dependabot[bot]
49466,2021-05-24 04:32:41,SubmitCommit,dependabot[bot]
49466,2021-05-21 14:35:01,OpenPR,dependabot[bot]
49466,2021-05-22 16:06:54,PRReviewApprove,mihaimaruseac
49466,2021-05-24 19:11:10,ClosePR,dependabot[bot]
49499,2021-01-04 19:35:00,SubmitCommit,mihaimaruseac
49499,2021-01-04 20:19:40,SubmitCommit,mihaimaruseac
49499,2021-05-18 20:51:36,SubmitCommit,mihaimaruseac
49499,2021-05-19 15:42:35,SubmitCommit,mihaimaruseac
49499,2021-05-19 15:43:45,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:13:24,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:19:57,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:20:50,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:23:11,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:24:04,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:25:26,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:26:53,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:27:52,SubmitCommit,mihaimaruseac
49499,2021-05-20 15:33:18,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:12:35,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:13:32,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:14:56,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:15:54,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:16:58,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:18:11,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:21:04,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:22:13,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:23:12,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:24:22,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:25:31,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:28:45,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:29:39,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:30:26,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:31:31,SubmitCommit,mihaimaruseac
49499,2021-05-21 15:34:00,SubmitCommit,mihaimaruseac
49499,2021-05-22 16:00:53,SubmitCommit,mihaimaruseac
49499,2021-05-22 16:01:20,SubmitCommit,mihaimaruseac
49499,2021-05-23 07:51:33,OpenPR,TakahashiYoshikazu
49499,2021-05-23 07:52:56,ClosePR,TakahashiYoshikazu
49562,2021-05-24 21:56:35,CreateBranch,jvishnuvardhan
49562,2021-05-24 21:56:45,OpenPR,jvishnuvardhan
49562,2021-05-24 23:34:44,PRReviewApprove,rthadur
49562,2021-06-03 17:33:25,PRReviewComment,mihaimaruseac
49562,2021-06-03 17:33:25,PRReviewComment,mihaimaruseac
50088,2021-06-04 20:18:53,CreateBranch,geetachavan1
50088,2021-06-04 20:19:09,OpenPR,geetachavan1
50156,2021-06-08 16:47:57,CreateBranch,geetachavan1
50156,2021-06-08 16:48:08,OpenPR,geetachavan1
50156,2021-06-08 16:59:51,ClosePR,geetachavan1
50157,2021-06-08 17:05:47,CreateBranch,rmothukuru
50157,2021-06-08 17:11:08,DeleteBranch,rmothukuru
50157,2021-06-08 17:08:39,SubmitCommit,rmothukuru
50157,2021-06-08 17:05:49,OpenPR,rmothukuru
50157,2021-06-08 17:10:54,ClosePR,rmothukuru
50235,2021-06-12 01:14:40,CreateBranch,jvishnuvardhan
50235,2021-06-12 01:14:51,OpenPR,jvishnuvardhan
50235,2021-06-24 17:42:04,PRReviewApprove,qlzh727
50235,2021-06-25 13:30:41,PRReviewApprove,gbaned
50235,2021-06-28 18:05:30,ClosePR,qlzh727
50390,2021-01-04 20:20:37,SubmitCommit,mihaimaruseac
50390,2021-05-18 20:50:54,SubmitCommit,mihaimaruseac
50390,2021-05-19 15:42:23,SubmitCommit,mihaimaruseac
50390,2021-05-19 15:43:08,SubmitCommit,mihaimaruseac
50390,2021-05-19 15:44:16,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:13:49,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:14:39,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:14:54,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:16:51,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:20:40,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:21:19,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:23:26,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:24:39,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:27:10,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:28:03,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:29:09,SubmitCommit,mihaimaruseac
50390,2021-05-20 15:31:29,SubmitCommit,mihaimaruseac
50390,2021-05-21 15:12:55,SubmitCommit,mihaimaruseac
50390,2021-05-21 15:14:08,SubmitCommit,mihaimaruseac
50390,2021-05-21 15:15:25,SubmitCommit,mihaimaruseac
50390,2021-05-21 15:16:28,SubmitCommit,mihaimaruseac
50390,2021-05-21 15:17:29,SubmitCommit,mihaimaruseac
