case:concept:name,concept:name,time:timestamp,People,Role
46152,CreateBranch,2021-01-04 19:23:04+00:00,mihaimaruseac,Committer
46152,OpenPR,2021-01-04 19:34:14+00:00,mihaimaruseac,Committer
46152,MergePR,2021-01-04 19:34:38+00:00,mihaimaruseac,Maintainer
46152,DeleteBranch,2021-01-04 19:35:18+00:00,mihaimaruseac,Committer
46153,CreateBranch,2021-01-04 19:23:15+00:00,mihaimaruseac,Committer
46153,OpenPR,2021-01-04 19:34:19+00:00,mihaimaruseac,Committer
46153,MergePR,2021-01-04 19:34:46+00:00,mihaimaruseac,Maintainer
46153,DeleteBranch,2021-01-04 19:35:26+00:00,mihaimaruseac,Committer
46154,CreateBranch,2021-01-04 19:23:25+00:00,mihaimaruseac,Committer
46154,OpenPR,2021-01-04 19:34:22+00:00,mihaimaruseac,Committer
46154,MergePR,2021-01-04 19:34:52+00:00,mihaimaruseac,Maintainer
46154,DeleteBranch,2021-01-04 19:35:29+00:00,mihaimaruseac,Committer
46155,CreateBranch,2021-01-04 19:23:36+00:00,mihaimaruseac,Committer
46155,OpenPR,2021-01-04 19:34:25+00:00,mihaimaruseac,Committer
46155,MergePR,2021-01-04 19:34:59+00:00,mihaimaruseac,Maintainer
46155,DeleteBranch,2021-01-04 19:35:31+00:00,mihaimaruseac,Committer
46156,CreateBranch,2021-01-04 19:23:45+00:00,mihaimaruseac,Committer
46156,OpenPR,2021-01-04 19:34:29+00:00,mihaimaruseac,Committer
46156,MergePR,2021-01-04 19:35:05+00:00,mihaimaruseac,Maintainer
46156,DeleteBranch,2021-01-04 19:35:33+00:00,mihaimaruseac,Committer
46157,CreateBranch,2021-01-04 19:23:55+00:00,mihaimaruseac,Committer
46157,OpenPR,2021-01-04 19:34:32+00:00,mihaimaruseac,Committer
46157,MergePR,2021-01-04 19:35:10+00:00,mihaimaruseac,Maintainer
46157,DeleteBranch,2021-01-04 19:35:36+00:00,mihaimaruseac,Committer
46179,CreateBranch,2021-01-05 17:06:03+00:00,mihaimaruseac,Committer
46179,OpenPR,2021-01-05 17:07:55+00:00,mihaimaruseac,Committer
46179,MergePR,2021-01-19 17:19:34+00:00,mihaimaruseac,Maintainer
46179,DeleteBranch,2021-01-19 17:20:51+00:00,mihaimaruseac,Committer
46184,CreateBranch,2021-01-05 19:47:47+00:00,mihaimaruseac,Committer
46184,OpenPR,2021-01-05 19:48:16+00:00,mihaimaruseac,Committer
46184,MergePR,2021-01-05 20:09:50+00:00,mihaimaruseac,Maintainer
46184,DeleteBranch,2021-01-05 20:09:57+00:00,mihaimaruseac,Committer
46185,CreateBranch,2021-01-05 20:28:18+00:00,mihaimaruseac,Committer
46185,OpenPR,2021-01-05 20:28:42+00:00,mihaimaruseac,Committer
46185,MergePR,2021-01-05 20:28:49+00:00,mihaimaruseac,Maintainer
46185,DeleteBranch,2021-01-05 20:29:16+00:00,mihaimaruseac,Committer
46229,CreateBranch,2021-01-06 18:07:51+00:00,geetachavan1,Committer
46229,OpenPR,2021-01-06 18:14:25+00:00,geetachavan1,Committer
46229,PRReviewApprove,2021-01-06 18:21:01+00:00,mihaimaruseac,Reviewer
46229,SubmitCommit,2021-01-19 17:26:29+00:00,mihaimaruseac,Committer
46229,MergePR,2021-01-19 17:26:49+00:00,mihaimaruseac,Maintainer
46229,DeleteBranch,2021-01-19 17:27:11+00:00,mihaimaruseac,Committer
