case:concept:name,concept:name,time:timestamp,People,Role
46117,ForkRepository,2021-01-03 08:58:27+00:00,Daniel-TheProgrammer,Committer
46117,OpenPR,2021-01-03 09:00:11+00:00,Daniel-TheProgrammer,Committer
46117,SubmitCommit,2021-01-03 09:01:00+00:00,Daniel-TheProgrammer,Committer
46117,PRReviewApprove,2021-01-03 10:41:42+00:00,pshroff04,Reviewer
46117,PRReviewReject,2021-01-04 18:30:30+00:00,mihaimaruseac,Reviewer
46117,ClosePR,2021-01-04 18:30:35+00:00,mihaimaruseac,Maintainer
46140,OpenPR,2021-01-04 14:04:38+00:00,arkjedrz,Committer
46140,PRReviewComment,2021-01-28 16:46:05+00:00,edloper,Reviewer
46140,PRReviewComment,2021-01-28 16:46:23+00:00,edloper,Reviewer
46140,PRReviewComment,2021-01-29 23:57:37+00:00,arkjedrz,Reviewer
46140,PRReviewComment,2021-01-29 23:57:38+00:00,arkjedrz,Reviewer
46140,PRReviewComment,2021-01-30 01:02:56+00:00,edloper,Reviewer
46140,PRReviewApprove,2021-01-30 01:03:45+00:00,edloper,Reviewer
46140,SubmitCommit,2021-03-28 17:19:30+00:00,arkjedrz,Committer
46140,ClosePR,2021-05-27 13:19:28+00:00,edloper,Maintainer
46180,CreateBranch,2021-01-05 17:30:38+00:00,WindQAQ,Committer
46180,OpenPR,2021-01-05 17:32:40+00:00,WindQAQ,Committer
46180,PRReviewComment,2021-02-23 19:22:14+00:00,allenlavoie,Reviewer
46180,ClosePR,2021-04-07 17:12:52+00:00,gbaned,Maintainer
46195,ForkRepository,2021-01-03 00:40:30+00:00,takayoshi-k,Committer
46195,CreateBranch,2021-01-06 05:24:25+00:00,takayoshi-k,Committer
46195,OpenPR,2021-01-06 05:31:14+00:00,takayoshi-k,Committer
46195,PRReviewComment,2021-01-14 23:13:14+00:00,petewarden,Reviewer
46195,PRReviewComment,2021-01-14 23:13:15+00:00,petewarden,Reviewer
46195,PRReviewComment,2021-01-14 23:13:52+00:00,petewarden,Reviewer
46195,PRReviewComment,2021-01-14 23:17:31+00:00,petewarden,Reviewer
46195,PRReviewComment,2021-01-14 23:17:32+00:00,petewarden,Reviewer
46195,PRReviewReject,2021-01-14 23:17:57+00:00,petewarden,Reviewer
46195,PRReviewReject,2021-02-02 00:32:06+00:00,petewarden,Reviewer
46195,PRReviewComment,2021-02-02 00:33:39+00:00,petewarden,Reviewer
46195,PRReviewComment,2021-02-02 00:33:40+00:00,petewarden,Reviewer
46195,PRReviewComment,2021-02-02 02:41:19+00:00,takayoshi-k,Reviewer
46195,PRReviewComment,2021-02-02 02:41:20+00:00,takayoshi-k,Reviewer
46195,PRReviewComment,2021-02-02 05:59:18+00:00,takayoshi-k,Reviewer
46195,PRReviewComment,2021-02-02 05:59:19+00:00,takayoshi-k,Reviewer
46195,PRReviewApprove,2021-02-04 00:41:06+00:00,petewarden,Reviewer
46195,PRReviewApprove,2021-02-05 03:18:51+00:00,petewarden,Reviewer
46195,SubmitCommit,2021-02-07 21:19:43+00:00,takayoshi-k,Committer
46195,ClosePR,2021-02-09 14:47:35+00:00,gbaned,Maintainer
46222,OpenPR,2021-01-06 16:15:10+00:00,deven-amd,Committer
46222,PRReviewComment,2021-01-06 19:50:10+00:00,cheshire,Reviewer
46222,PRReviewApprove,2021-01-06 19:50:17+00:00,cheshire,Reviewer
46222,PRReviewComment,2021-01-07 21:48:33+00:00,deven-amd,Reviewer
46222,PRReviewComment,2021-01-07 21:48:34+00:00,deven-amd,Reviewer
46222,PRReviewComment,2021-01-07 21:54:31+00:00,cheshire,Reviewer
46222,PRReviewComment,2021-01-07 21:54:32+00:00,cheshire,Reviewer
46222,ClosePR,2021-01-12 09:25:20+00:00,gbaned,Maintainer
46226,CreateBranch,2021-01-04 18:23:46+00:00,yair-ehrenwald,Committer
46226,SubmitCommit,2021-01-06 16:35:10+00:00,yair-ehrenwald,Committer
46226,SubmitCommit,2021-01-06 16:39:34+00:00,yair-ehrenwald,Committer
46226,SubmitCommit,2021-01-06 16:50:23+00:00,yair-ehrenwald,Committer
46226,OpenPR,2021-01-06 16:53:50+00:00,yair-ehrenwald,Committer
46226,SubmitCommit,2021-01-18 18:13:41+00:00,yair-ehrenwald,Committer
46226,SubmitCommit,2021-01-19 17:32:27+00:00,yair-ehrenwald,Committer
46226,SubmitCommit,2021-01-24 13:31:26+00:00,yair-ehrenwald,Committer
46226,SubmitCommit,2021-02-23 13:45:43+00:00,yair-ehrenwald,Committer
46226,PRReviewComment,2021-03-01 14:21:58+00:00,njeffrie,Reviewer
46226,PRReviewComment,2021-03-01 14:22:46+00:00,njeffrie,Reviewer
46226,PRReviewComment,2021-03-01 14:28:28+00:00,njeffrie,Reviewer
46226,PRReviewReject,2021-03-01 14:31:28+00:00,njeffrie,Reviewer
46226,ClosePR,2021-03-13 18:44:30+00:00,yair-ehrenwald,Maintainer
46241,CreateBranch,2021-01-07 00:14:23+00:00,rsun-bdti,Committer
46241,OpenPR,2021-01-07 00:16:04+00:00,rsun-bdti,Committer
46241,SubmitCommit,2021-01-07 01:03:53+00:00,rsun-bdti,Committer
46241,PRReviewApprove,2021-01-11 01:55:31+00:00,petewarden,Reviewer
46241,SubmitCommit,2021-01-12 18:32:00+00:00,rsun-bdti,Committer
46241,SubmitCommit,2021-01-12 18:37:23+00:00,rsun-bdti,Committer
46241,SubmitCommit,2021-01-12 18:38:10+00:00,rsun-bdti,Committer
46241,SubmitCommit,2021-01-12 18:38:11+00:00,rsun-bdti,Committer
46241,SubmitCommit,2021-01-12 19:12:57+00:00,rsun-bdti,Committer
46241,ClosePR,2021-01-12 19:17:54+00:00,rsun-bdti,Maintainer
46241,DeleteBranch,2021-01-25 03:12:54+00:00,rsun-bdti,Committer
46250,ForkRepository,2021-01-07 13:41:45+00:00,xrkffgg,Committer
46250,SubmitCommit,2021-01-07 13:47:40+00:00,xrkffgg,Committer
46250,OpenPR,2021-01-07 13:48:22+00:00,xrkffgg,Committer
46250,ClosePR,2021-01-12 17:18:56+00:00,mihaimaruseac,Maintainer
46250,DeleteBranch,2021-01-13 01:04:44+00:00,xrkffgg,Committer
46300,CreateBranch,2021-01-08 21:55:12+00:00,nluehr,Committer
46300,OpenPR,2021-01-08 21:58:18+00:00,nluehr,Committer
46300,PRReviewReject,2021-01-09 00:13:04+00:00,reedwm,Reviewer
46300,SubmitCommit,2021-01-13 18:51:34+00:00,nluehr,Committer
46300,PRReviewApprove,2021-01-13 19:53:28+00:00,reedwm,Reviewer
46300,SubmitCommit,2021-01-14 20:37:57+00:00,nluehr,Committer
46300,PRReviewApprove,2021-01-14 20:41:43+00:00,reedwm,Reviewer
46300,PRReviewApprove,2021-01-14 23:19:16+00:00,rthadur,Reviewer
46300,SubmitCommit,2021-01-25 06:06:16+00:00,pkanwar23,Committer
46300,SubmitCommit,2021-01-28 17:40:55+00:00,nluehr,Committer
46300,ClosePR,2021-02-09 14:37:00+00:00,gbaned,Maintainer
46305,OpenPR,2021-01-09 05:43:30+00:00,guywilsonjr,Committer
46305,ClosePR,2021-01-09 05:43:48+00:00,guywilsonjr,Maintainer
46322,CreateBranch,2021-01-10 23:11:11+00:00,WindQAQ,Committer
46322,OpenPR,2021-01-10 23:13:23+00:00,WindQAQ,Committer
46322,PRReviewComment,2021-01-11 01:21:58+00:00,abattery,Reviewer
46322,PRReviewComment,2021-01-11 01:32:11+00:00,abattery,Reviewer
46322,PRReviewComment,2021-01-11 01:41:30+00:00,abattery,Reviewer
46322,SubmitCommit,2021-01-11 20:27:56+00:00,WindQAQ,Committer
46322,PRReviewComment,2021-01-11 21:15:02+00:00,smit-hinsu,Reviewer
46322,PRReviewComment,2021-01-11 21:15:08+00:00,smit-hinsu,Reviewer
46322,PRReviewComment,2021-01-11 21:15:46+00:00,smit-hinsu,Reviewer
46322,PRReviewComment,2021-01-11 21:15:47+00:00,smit-hinsu,Reviewer
46322,PRReviewComment,2021-01-11 22:01:44+00:00,smit-hinsu,Reviewer
46322,SubmitCommit,2021-01-11 22:32:29+00:00,WindQAQ,Committer
46322,PRReviewComment,2021-01-11 22:39:23+00:00,smit-hinsu,Reviewer
46322,SubmitCommit,2021-01-11 22:41:52+00:00,WindQAQ,Committer
46322,ClosePR,2021-01-11 23:11:25+00:00,WindQAQ,Maintainer
46322,DeleteBranch,2021-01-11 23:12:17+00:00,WindQAQ,Committer
46335,OpenPR,2021-01-11 10:14:04+00:00,marbre,Committer
46335,ClosePR,2021-01-11 10:35:26+00:00,marbre,Maintainer
46335,DeleteBranch,2021-01-11 10:36:13+00:00,marbre,Committer
46339,ForkRepository,2021-01-11 11:35:50+00:00,kaanfurkan35,Committer
46339,SubmitCommit,2021-01-11 11:38:11+00:00,kaanfurkan35,Committer
46339,OpenPR,2021-01-11 11:42:31+00:00,kaanfurkan35,Committer
46339,ClosePR,2021-01-11 16:42:11+00:00,mihaimaruseac,Maintainer
46339,DeleteBranch,2021-01-13 06:07:06+00:00,kaanfurkan35,Committer
46352,CreateBranch,2021-01-12 00:11:27+00:00,advaitjain,Committer
46352,OpenPR,2021-01-12 00:35:44+00:00,advaitjain,Committer
46352,SubmitCommit,2021-01-21 17:45:09+00:00,advaitjain,Committer
46352,ClosePR,2021-01-21 17:46:38+00:00,advaitjain,Maintainer
46352,DeleteBranch,2021-01-21 18:54:38+00:00,advaitjain,Committer
46353,OpenPR,2021-01-12 04:19:55+00:00,jordanhubbard,Committer
46353,ClosePR,2021-01-12 04:20:14+00:00,jordanhubbard,Maintainer
46374,CreateBranch,2021-01-12 19:07:39+00:00,geetachavan1,Committer
46374,OpenPR,2021-01-12 19:08:28+00:00,geetachavan1,Committer
46374,SubmitCommit,2021-01-12 19:38:22+00:00,geetachavan1,Committer
46374,ClosePR,2021-01-12 19:45:27+00:00,geetachavan1,Maintainer
46378,CreateBranch,2021-01-12 20:39:23+00:00,WindQAQ,Committer
46378,OpenPR,2021-01-12 21:00:47+00:00,WindQAQ,Committer
46378,SubmitCommit,2021-01-18 19:36:03+00:00,WindQAQ,Committer
46378,SubmitCommit,2021-01-27 15:08:26+00:00,WindQAQ,Committer
46378,ClosePR,2021-04-07 17:16:05+00:00,gbaned,Maintainer
46382,CreateBranch,2021-01-09 16:29:41+00:00,tfeher,Committer
46382,OpenPR,2021-01-12 23:08:35+00:00,tfeher,Committer
46382,PRReviewComment,2021-01-12 23:44:06+00:00,bixia1,Reviewer
46382,PRReviewComment,2021-01-12 23:49:23+00:00,bixia1,Reviewer
46382,PRReviewComment,2021-01-12 23:51:20+00:00,bixia1,Reviewer
46382,PRReviewComment,2021-01-12 23:51:41+00:00,bixia1,Reviewer
46382,PRReviewComment,2021-01-12 23:52:09+00:00,bixia1,Reviewer
46382,PRReviewComment,2021-01-12 23:52:56+00:00,bixia1,Reviewer
46382,PRReviewComment,2021-01-12 23:52:57+00:00,bixia1,Reviewer
46382,PRReviewComment,2021-01-13 11:02:42+00:00,tfeher,Reviewer
46382,PRReviewComment,2021-01-13 11:03:31+00:00,tfeher,Reviewer
46382,PRReviewComment,2021-01-13 11:14:03+00:00,tfeher,Reviewer
46382,PRReviewComment,2021-01-13 11:16:26+00:00,tfeher,Reviewer
46382,PRReviewComment,2021-01-13 11:16:41+00:00,tfeher,Reviewer
46382,PRReviewComment,2021-01-13 11:22:35+00:00,tfeher,Reviewer
46382,PRReviewApprove,2021-01-13 16:13:42+00:00,bixia1,Reviewer
46382,SubmitCommit,2021-01-14 17:58:52+00:00,tfeher,Committer
46382,PRReviewReject,2021-01-14 20:39:28+00:00,bixia1,Reviewer
46382,PRReviewApprove,2021-01-14 20:39:44+00:00,bixia1,Reviewer
46382,ClosePR,2021-01-14 23:17:36+00:00,rthadur,Maintainer
46418,CreateBranch,2021-01-14 05:17:00+00:00,advaitjain,Committer
46418,OpenPR,2021-01-14 05:17:10+00:00,advaitjain,Committer
46418,ClosePR,2021-01-14 05:53:50+00:00,advaitjain,Maintainer
46418,DeleteBranch,2021-01-29 00:23:15+00:00,advaitjain,Committer
46422,ForkRepository,2021-01-14 07:40:55+00:00,WeiChungChang,Committer
46422,CreateBranch,2021-01-14 07:53:41+00:00,WeiChungChang,Committer
46422,OpenPR,2021-01-14 08:24:51+00:00,WeiChungChang,Committer
46422,PRReviewComment,2021-01-14 09:12:46+00:00,abattery,Reviewer
46422,PRReviewComment,2021-01-14 09:13:49+00:00,abattery,Reviewer
46422,PRReviewComment,2021-01-14 11:11:14+00:00,abattery,Reviewer
46422,ClosePR,2021-01-14 12:30:09+00:00,abattery,Maintainer
46434,CreateBranch,2021-01-14 19:09:05+00:00,advaitjain,Committer
46434,OpenPR,2021-01-14 19:09:06+00:00,advaitjain,Committer
46434,PRReviewApprove,2021-01-20 18:21:54+00:00,njeffrie,Reviewer
46434,ClosePR,2021-01-20 21:16:58+00:00,advaitjain,Maintainer
46434,DeleteBranch,2021-01-21 18:55:20+00:00,advaitjain,Committer
46445,ForkRepository,2021-01-15 06:19:56+00:00,jay-jang,Committer
46445,SubmitCommit,2021-01-15 07:12:25+00:00,jay-jang,Committer
46445,OpenPR,2021-01-15 07:15:41+00:00,jay-jang,Committer
46445,ClosePR,2021-01-15 09:47:31+00:00,jay-jang,Maintainer
46451,SubmitCommit,2021-01-15 09:14:45+00:00,wangsiyu,Committer
46451,OpenPR,2021-01-15 09:25:06+00:00,wangsiyu,Committer
46451,ClosePR,2021-01-15 09:29:31+00:00,wangsiyu,Maintainer
46472,CreateBranch,2021-01-16 00:12:55+00:00,mahmoud-abuzaina,Committer
46472,OpenPR,2021-01-16 00:31:57+00:00,mahmoud-abuzaina,Committer
46472,ClosePR,2021-01-16 00:32:19+00:00,mahmoud-abuzaina,Maintainer
46481,ForkRepository,2021-01-16 10:01:28+00:00,vat0599,Committer
46481,SubmitCommit,2021-01-16 10:04:18+00:00,vat0599,Committer
46481,OpenPR,2021-01-16 10:05:11+00:00,vat0599,Committer
46481,ClosePR,2021-01-18 01:38:04+00:00,gbaned,Maintainer
46510,CreateBranch,2021-01-18 09:10:37+00:00,zhuzilin,Committer
46510,OpenPR,2021-01-18 09:22:01+00:00,zhuzilin,Committer
46510,PRReviewApprove,2021-01-18 19:47:38+00:00,mihaimaruseac,Reviewer
46510,SubmitCommit,2021-01-19 03:59:03+00:00,zhuzilin,Committer
46510,PRReviewApprove,2021-01-19 17:08:00+00:00,mihaimaruseac,Reviewer
46510,PRReviewComment,2021-01-20 21:17:03+00:00,jsimsa,Reviewer
46510,PRReviewComment,2021-01-20 21:17:04+00:00,jsimsa,Reviewer
46510,PRReviewComment,2021-01-20 21:18:08+00:00,jsimsa,Reviewer
46510,PRReviewComment,2021-01-20 21:18:09+00:00,jsimsa,Reviewer
46510,PRReviewComment,2021-01-20 21:18:59+00:00,jsimsa,Reviewer
46510,PRReviewComment,2021-01-20 21:19:00+00:00,jsimsa,Reviewer
46510,PRReviewReject,2021-01-20 21:20:00+00:00,jsimsa,Reviewer
