case:concept:name,concept:name,time:timestamp,People,Role
46525,CreateBranch,2021-01-19 04:51:05+00:00,rmothukuru,Committer
46525,OpenPR,2021-01-19 04:51:20+00:00,rmothukuru,Committer
46525,PRReviewComment,2021-01-19 05:23:03+00:00,zhitaoli,Reviewer
46525,PRReviewReject,2021-01-19 05:23:10+00:00,zhitaoli,Reviewer
46525,ClosePR,2021-01-19 05:27:21+00:00,rmothukuru,Maintainer
47273,CreateBranch,2021-02-19 22:14:20+00:00,anirudh161,Committer
47273,SubmitCommit,2021-02-19 22:17:28+00:00,anirudh161,Committer
47273,SubmitCommit,2021-02-19 22:21:04+00:00,anirudh161,Committer
47273,OpenPR,2021-02-19 22:22:24+00:00,anirudh161,Committer
47273,ClosePR,2021-03-22 20:00:46+00:00,anirudh161,Maintainer
48092,CreateBranch,2021-03-26 01:01:03+00:00,mihaimaruseac,Committer
48092,OpenPR,2021-03-26 01:01:04+00:00,mihaimaruseac,Committer
48092,ClosePR,2021-03-26 01:01:12+00:00,mihaimaruseac,Maintainer
48092,DeleteBranch,2021-03-26 01:01:20+00:00,mihaimaruseac,Committer
48172,CreateBranch,2021-03-30 00:06:16+00:00,geetachavan1,Committer
48172,OpenPR,2021-03-30 00:27:45+00:00,geetachavan1,Committer
48172,ClosePR,2021-03-30 00:33:36+00:00,geetachavan1,Maintainer
48172,DeleteBranch,2021-06-03 17:30:33+00:00,mihaimaruseac,Committer
48181,OpenPR,2021-03-30 09:09:50+00:00,wanbeRichMan,Committer
48181,ClosePR,2021-03-31 05:47:31+00:00,gbaned,Maintainer
48446,CreateBranch,2021-04-09 22:01:05+00:00,rthadur,Committer
48446,OpenPR,2021-04-09 22:01:15+00:00,rthadur,Committer
48446,PRReviewApprove,2021-04-09 22:06:19+00:00,nikitamaia,Reviewer
48446,ClosePR,2021-04-09 22:26:53+00:00,rthadur,Maintainer
48446,DeleteBranch,2021-04-09 22:27:04+00:00,rthadur,Committer
48686,CreateBranch,2021-04-21 23:31:21+00:00,tensorflowbutler,Committer
48686,OpenPR,2021-04-21 23:31:32+00:00,tensorflowbutler,Committer
48686,ClosePR,2021-04-21 23:32:03+00:00,tensorflowbutler,Maintainer
48686,DeleteBranch,2021-04-21 23:32:16+00:00,tensorflowbutler,Committer
48754,OpenPR,2021-04-26 11:03:20+00:00,adityamohan29,Committer
48754,PRReviewReject,2021-04-30 02:33:19+00:00,mihaimaruseac,Reviewer
48754,ClosePR,2021-04-30 02:34:12+00:00,mihaimaruseac,Maintainer
48790,CreateBranch,2021-04-27 22:29:49+00:00,angerson,Committer
48790,OpenPR,2021-04-27 22:29:56+00:00,angerson,Committer
48790,PRReviewApprove,2021-04-30 02:31:29+00:00,mihaimaruseac,Reviewer
48790,PRReviewApprove,2021-04-30 13:29:33+00:00,gbaned,Reviewer
48790,PRReviewApprove,2021-05-01 15:19:20+00:00,gbaned,Reviewer
48790,PRReviewApprove,2021-05-04 13:35:37+00:00,gbaned,Reviewer
48790,PRReviewApprove,2021-05-06 13:46:25+00:00,gbaned,Reviewer
